stock	mbranch	sbranch	ssbranch	lsbranch	language	LID	glottolog_LID.2014	ISO639.3.2013
Kwadi-Khoe	Khoekhoe	NA	NA	NA	Nama	199	nama1264	naq
Ju	NA	NA	NA	NA	!Kung	148	kung1261	knw
Hadza	NA	NA	NA	NA	Hadza	94	hadz1240	hts
Sandawe	NA	NA	NA	NA	Sandawe	347	sand1273	sad
Kwadi-Khoe	Kwadi	NA	NA	NA	Kwadi	151	kwad1244	kwz
Kordofanian	NA	NA	NA	NA	Orig	323	tega1236	ras
Kwa	Gbe	NA	NA	NA	Ewe	75	ewee1241	ewe
Mande	West Mande	NA	NA	NA	Mandinka	172	mand1436	mnk
North Atlantic	NA	NA	NA	NA	Fula	80	adam1253	fub
Ijoid	NA	NA	NA	NA	Ijo	305	izon1238	ijc
Adamawa-Ubangi	NA	NA	NA	NA	Gbeya	85	gbay1287	gbp
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Luganda	165	gand1255	lug
Saharan	NA	NA	NA	NA	Kanuri	123	kanu1279	kau
Fur	NA	NA	NA	NA	Fur	81	furr1244	fvr
Kuliak	NA	NA	NA	NA	Ik	111	ikkk1242	ikx
Nera	NA	NA	NA	NA	Nera	207	nara1262	nrb
Nubian	NA	NA	NA	NA	Nubian	69	nubi1251	dgl
Nilotic	Western Nilotic	Lwo	Southern Lwo	NA	Lango	159	lang1324	laj
Nilotic	Eastern Nilotic	Lotuko-Maa	NA	NA	Maa	167	masa1300	mas
Nilotic	Southern Nilotic	NA	NA	NA	Nandi	299	nand1266	niq
Gumuz	NA	NA	NA	NA	Gumuz	91	gumu1244	guk
Benue-Congo	Yoruboid	NA	NA	NA	Yoruba	421	yoru1245	yor
Berber	NA	NA	NA	Berber	Kabyle	120	kaby1243	kab
Chadic	West Chadic	West - A (West Chadic)	NA	Hausa group	Hausa	98	haus1257	hau
Chadic	West Chadic	West - A (West Chadic)	NA	Bole-Angas group	Kanakuru	121	dera1248	kna
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Tera	373	tera1251	ttr
Egyptian	NA	NA	NA	NA	Egyptian (Ancient)	294	egyp1246	egy
Semitic	East Semitic	Akkadian	NA	NA	Akkadian	15	akka1240	akk
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic	23	stan1318	arb
Semitic	West Semitic	Southern (West Semitic)	Ethiopean	NA	Amharic	21	amha1245	amh
Omotic	NA	NA	NA	NA	Dizi	65	dizi1235	mdx
Cushitic	Eastern Cushitic	NA	NA	NA	Oromo	324	east2652	hae
Beja	NA	NA	NA	NA	Beja	34	beja1238	bej
