Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	GA: converged after 185 iterations out of 10000 with residual SSE error 7.25786077638372e-08	(('Deti [i-shg][w-det][a-1287][g-shua1254]':0.0916,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':0.0626)'Kalahari [i-][w-][a-][g-]':0.219,'Nama [i-naq][w-kho][a-199][g-nama1264]':0.151)'Kwadi-Khoe [i-][w-][a-][g-]';
Ju	FAIL	GA: too few languages with non-missing data	
Hadza	FAIL	GA: too few languages	
Sandawe	FAIL	GA: too few languages	
Kordofanian	SUCCESS	GA: converged after 709 iterations out of 10000 with residual SSE error 0.0232332885222618	('Tima [i-tms][w-tia][a-3177][g-tima1241]':0.0345,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.174,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.271,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.531,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.155,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':0.297,'Moro [i-mor][w-mro][a-742][g-moro1285]':0.213,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':0.299)'Kordofanian [i-][w-][a-][g-]';
Kwa	SUCCESS	GA: converged after 1898 iterations out of 10000 with residual SSE error 0.0342440027261218	('Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.0882,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.236,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.123,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':0.483)'Ka-Togo [i-][w-][a-][g-]':0.0299,('Akan [i-aka][w-akn][a-2645][g-akan1250]':0.222,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.116,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.209,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.212,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.0549)'Potou-Tano [i-][w-][a-][g-]':0.00439,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.153,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':0.0363,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':0.295,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.194)'Gbe [i-][w-][a-][g-]':0.0815)'Kwa [i-][w-][a-][g-]';
Mande	SUCCESS	GA: converged after 775 iterations out of 10000 with residual SSE error 0.0134215581065803	(('Wan [i-wan][w-wna][a-3187][g-wann1242]':0.135,'Mano [i-mev][w-man][a-1971][g-mann1248]':0.0946,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.177,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.166)'East Mande [i-][w-][a-][g-]':0.00978,('Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.126,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.0251,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.103,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.184,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.135,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.186,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.0524,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.129)'West Mande [i-][w-][a-][g-]':0.0106)'Mande [i-][w-][a-][g-]';
North Atlantic	FAIL	GA: too few languages with non-missing data	
Ijoid	FAIL	GA: too few languages with non-missing data	
Adamawa-Ubangi	SUCCESS	GA: converged after 1236 iterations out of 10000 with residual SSE error 0.0141842869247879	('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.115,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.21,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.177,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.29,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.0416,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.102,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.0552,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.249,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.198,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.207,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.0823,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.286,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.275,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.071,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.163,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':0.14,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.357,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.33,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.0792,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.273,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.107,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.0697,'Sango [i-sag][w-san][a-466][g-sang1328]':0.105,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':0.156)'Adamawa-Ubangi [i-][w-][a-][g-]';
