Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	GA: converged after 910 iterations out of 10000 with residual SSE error 0.000511393059859497	(('Deti [i-shg][w-det][a-1287][g-shua1254]':0.0496,'Khoe [i-xuu][w-kxo][a-652][g-kxoe1243]':0.0351,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':0.0693)'Kalahari [i-][w-][a-][g-]':0.00271,'Nharo [i-nhr][w-nro][a-606][g-naro1249]':0.0441,('Korana [i-kqz][w-krn][a-739][g-kora1292]':0.0613,'Nama [i-naq][w-kho][a-199][g-nama1264]':0.258)'Khoekhoe [i-][w-][a-][g-]':0.0299)'Kwadi-Khoe [i-][w-][a-][g-]';
Ju	SUCCESS	GA: converged after 100 iterations out of 10000 with residual SSE error 4.08660361957451e-05	(('Ju|`hoan [i-ktz][w-juh][a-1832][g-juho1239]':0.301,'!Xu [i-knw][w-xun][a-579][g-kung1261]':0.00313,'!Kung [i-knw][w-xun][a-148][g-kung1261]':0.00963)'Ju [i-][w-][a-][g-]':1);
Hadza	FAIL	GA: too few languages	
Sandawe	FAIL	GA: too few languages	
Kordofanian	SUCCESS	GA: converged after 716 iterations out of 10000 with residual SSE error 0.000384988668365382	('Tima [i-tms][w-tia][a-3177][g-tima1241]':0.0137,'Jomang [i-tlo][w-jom][a-2583][g-talo1250]':0.0543,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.0277,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.0671,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.0276,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.0513,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':0.0382,'Moro [i-mor][w-mro][a-742][g-moro1285]':0.0722,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':0.0381)'Kordofanian [i-][w-][a-][g-]';
Kwa	SUCCESS	GA: converged after 1603 iterations out of 10000 with residual SSE error 0.00029828135253408	('Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.0199,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.0536,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.0537,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':0.0172,'Avatime [i-avn][w-avt][a-941][g-avat1244]':0.0167)'Ka-Togo [i-][w-][a-][g-]':0.00638,('Akan [i-aka][w-akn][a-2645][g-akan1250]':0.141,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.0454,'Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':0.0234,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.0371,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.0672,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.069,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.0127)'Potou-Tano [i-][w-][a-][g-]':0.00516,'Alladian [i-ald][w-ald][a-875][g-alla1248]':0.0261,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.0584,'Abidji [i-abi][w-abd][a-823][g-abid1235]':0.0269,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':0.0216,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':0.0756,'Wemenugbe [i-wem][w-wmn][a-2715][g-weme1239]':0.0179,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.0636,'Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':0.0144,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':0.0187)'Gbe [i-][w-][a-][g-]':0.00241)'Kwa [i-][w-][a-][g-]';
Mande	SUCCESS	GA: converged after 2065 iterations out of 10000 with residual SSE error 0.00026610054892945	(('Wan [i-wan][w-wna][a-3187][g-wann1242]':0.035,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':0.0112,'Mano [i-mev][w-man][a-1971][g-mann1248]':0.0449,'Guro [i-goa][w-gro][a-1554][g-guro1248]':0.00794,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.0579,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.0447,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':0.015)'East Mande [i-][w-][a-][g-]':0.00134,('Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.0878,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.0289,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.0315,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.0844,'Maninka [i-emk][w-mnk][a-2044][g-east2426]':0.0151,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.0415,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.0735,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0.00652,'Loko [i-lok][w-lok][a-1909][g-loko1255]':0.0171,'Koranko [i-knk][w-kko][a-1745][g-kura1250]':0.0152,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.0458,'Bandi [i-bza][w-bnd][a-1521][g-band1352]':0.00741,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':0.0178,'Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':0.0152,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':0.0177,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.147,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':0.0146)'West Mande [i-][w-][a-][g-]':0.00267)'Mande [i-][w-][a-][g-]';
North Atlantic	SUCCESS	GA: converged after 1418 iterations out of 10000 with residual SSE error 0.000433575166695396	('Diola-Kasa [i-csk][w-csk][a-3144][g-jola1262]':0.007,'Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.169,'Noon [i-snf][w-noo][a-2455][g-noon1242]':0.102,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.0696,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':0.00235,'Mankanya [i-knf][w-mkn][a-1929][g-mank1251]':0.00342,'Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':0.0276,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':0.00631,'Fula {Burkina Faso} [i-fuh][w-fbf-fli][a-1507][g-west2454]':0.00963,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':0.0169,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':0.0129,'Palor [i-fap][w-plr][a-1487][g-palo1243]':0.0163,'Ful {Liptako} [i-fuh][w-fbf-fli][a-1292][g-west2454]':0.0108,'Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':0.0137,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':0.0109,'Konyagi [i-cou][w-kgi][a-1173][g-wame1240]':0.0266,'Basari [i-bsc][w-bsr][a-1071][g-bass1258]':0.0206,'Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':0.00639,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.186,'Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':0.0071)'North Atlantic [i-][w-][a-][g-]';
Ijoid	SUCCESS	GA: converged after 103 iterations out of 10000 with residual SSE error 2.91524415721937e-13	(('Defaka [i-afn][w-def][a-845][g-defa1248]':0.109,'Ijo [i-ijc][w-ijo][a-305][g-izon1238]':0.12)'Ijoid [i-][w-][a-][g-]':1);
Adamawa-Ubangi	SUCCESS	GA: converged after 1758 iterations out of 10000 with residual SSE error 0.000664358147787182	('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.0365,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.0337,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.0257,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':0.0553,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.12,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':0.0329,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.0257,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.0396,'Lua [i-nie][w-lua][a-2170][g-niel1243]':0.0349,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.0317,'Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':0.0356,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.0537,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.0265,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.102,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':0.0451,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.0378,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.0596,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.0632,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.0565,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.096,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':0.0331,'Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':0.0379,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':0.0535,'Gula Iro [i-glj][w-gir][a-1548][g-gula1265]':0.0297,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.144,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.0598,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.0344,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.0945,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.0631,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.0359,'Dii [i-dur][w-ygd][a-489][g-diii1241]':0.0259,'Sango [i-sag][w-san][a-466][g-sang1328]':0.18,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':0.109)'Adamawa-Ubangi [i-][w-][a-][g-]';
