Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	Grafen's (1989) method	((('Deti [i-shg][w-det][a-1287][g-shua1254]':2,'Khoe [i-xuu][w-kxo][a-652][g-kxoe1243]':2,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':2)'Kalahari [i-][w-][a-][g-]':4,'Nharo [i-nhr][w-nro][a-606][g-naro1249]':6,('Kwadi [i-kwz][w-][a-151][g-kwad1244]':0)'Kwadi [i-][w-][a-][g-]':6,('Korana [i-kqz][w-krn][a-739][g-kora1292]':1,'Nama [i-naq][w-kho][a-199][g-nama1264]':1)'Khoekhoe [i-][w-][a-][g-]':5)'Kwadi-Khoe [i-][w-][a-][g-]':0);
Ju	SUCCESS	Grafen's (1989) method	(('Ju|`hoan [i-ktz][w-juh][a-1832][g-juho1239]':2,'!Xu [i-knw][w-xun][a-579][g-kung1261]':2,'!Kung [i-knw][w-xun][a-148][g-kung1261]':2)'Ju [i-][w-][a-][g-]':0);
Hadza	SUCCESS	Grafen's (1989) method	(('Hadza [i-hts][w-had][a-94][g-hadz1240]':0)'Hadza [i-][w-][a-][g-]':0);
Sandawe	SUCCESS	Grafen's (1989) method	(('Sandawe [i-sad][w-sdw][a-347][g-sand1273]':0)'Sandawe [i-][w-][a-][g-]':0);
Kordofanian	SUCCESS	Grafen's (1989) method	(('Tima [i-tms][w-tia][a-3177][g-tima1241]':9,'Jomang [i-tlo][w-jom][a-2583][g-talo1250]':9,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':9,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':9,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':9,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':9,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':9,'Tiro [i-tic][w-][a-743][g-tira1254]':9,'Moro [i-mor][w-mro][a-742][g-moro1285]':9,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':9)'Kordofanian [i-][w-][a-][g-]':0);
Kwa	SUCCESS	Grafen's (1989) method	(('Avikam [i-avi][w-avk][a-3137][g-avik1243]':22,'Dangme [i-ada][w-][a-3046][g-adan1247]':22,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':22,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':2,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':2,'Avatime [i-avn][w-avt][a-941][g-avat1244]':2)'Ka-Togo [i-][w-][a-][g-]':20,('Logba [i-lgq][w-][a-2973][g-logb1245]':7,'Akan [i-aka][w-akn][a-2645][g-akan1250]':7,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':7,'Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':7,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':7,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':7,'Baule [i-bci][w-ble][a-974][g-baou1238]':7,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':7)'Potou-Tano [i-][w-][a-][g-]':15,'Alladian [i-ald][w-ald][a-875][g-alla1248]':22,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':22,'Abidji [i-abi][w-abd][a-823][g-abid1235]':22,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':5,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':5,'Wemenugbe [i-wem][w-wmn][a-2715][g-weme1239]':5,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':5,'Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':5,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':5)'Gbe [i-][w-][a-][g-]':17)'Kwa [i-][w-][a-][g-]':0);
Mande	SUCCESS	Grafen's (1989) method	((('Wan [i-wan][w-wna][a-3187][g-wann1242]':10,'Toura [i-neb][w-][a-2864][g-tour1242]':10,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':10,'Mano [i-mev][w-man][a-1971][g-mann1248]':10,'Guro [i-goa][w-gro][a-1554][g-guro1248]':10,'Dan {Blowo} [i-dnj][w-][a-1259][g-blow1238]':10,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':10,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':10,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':10,'Yaoure [i-yre][w-][a-507][g-yaou1238]':10,'Dan [i-dnj][w-][a-490][g-dann1241]':10)'East Mande [i-][w-][a-][g-]':21,('Jalonke [i-yal][w-][a-2983][g-yalu1240]':20,'Vai [i-vai][w-vai][a-2683][g-vaii1241]':20,'Susu [i-sus][w-sus][a-2493][g-susu1250]':20,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':20,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':20,'Maninka [i-emk][w-mnk][a-2044][g-east2426]':20,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':20,'Mende [i-men][w-mde][a-1978][g-mend1266]':20,'Loma [i-lom][w-lma][a-1910][g-loma1260]':20,'Loko [i-lok][w-lok][a-1909][g-loko1255]':20,'Kpelle [i-kpe][w-][a-1800][g-kpel1252]':20,'Koranko [i-knk][w-kko][a-1745][g-kura1250]':20,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':20,'Bandi [i-bza][w-bnd][a-1521][g-band1352]':20,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':20,'Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':20,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':20,'Bobo Fing [i-bbo][w-][a-972][g-nort2819]':20,'Jeli [i-jek][w-][a-649][g-jeri1242]':20,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':20,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':20)'West Mande [i-][w-][a-][g-]':11)'Mande [i-][w-][a-][g-]':0);
North Atlantic	SUCCESS	Grafen's (1989) method	(('Diola-Kasa [i-csk][w-csk][a-3144][g-jola1262]':21,'Bandial [i-bqj][w-][a-3026][g-band1340]':21,'Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':21,'Noon [i-snf][w-noo][a-2455][g-noon1242]':21,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':21,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':21,'Mankanya [i-knf][w-mkn][a-1929][g-mank1251]':21,'Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':21,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':21,'Fula {Burkina Faso} [i-fuh][w-fbf-fli][a-1507][g-west2454]':21,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':21,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':21,'Palor [i-fap][w-plr][a-1487][g-palo1243]':21,'Ful {Liptako} [i-fuh][w-fbf-fli][a-1292][g-west2454]':21,'Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':21,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':21,'Konyagi [i-cou][w-kgi][a-1173][g-wame1240]':21,'Basari [i-bsc][w-bsr][a-1071][g-bass1258]':21,'Balanta [i-bjt][w-][a-1027][g-bala1302]':21,'Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':21,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':21,'Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':21)'North Atlantic [i-][w-][a-][g-]':0);
Ijoid	SUCCESS	Grafen's (1989) method	(('Defaka [i-afn][w-def][a-845][g-defa1248]':1,'Ijo [i-ijc][w-ijo][a-305][g-izon1238]':1)'Ijoid [i-][w-][a-][g-]':0);
Adamawa-Ubangi	SUCCESS	Grafen's (1989) method	(('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':35,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':35,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':35,'Mono [i-mnh][w-][a-3088][g-mono1270]':35,'Waja [i-wja][w-][a-3041][g-waja1259]':35,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':35,'Zande [i-zne][w-zan][a-2802][g-zand1248]':35,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':35,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':35,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':35,'Lua [i-nie][w-lua][a-2170][g-niel1243]':35,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':35,'Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':35,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':35,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':35,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':35,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':35,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':35,'Ma [i-msj][w-ma][a-2083][g-made1252]':35,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':35,'Mbodomo [i-gso][w-][a-1961][g-sout2785]':35,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':35,'Linda [i-liy][w-lnd][a-1892][g-band1344]':35,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':35,'Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':35,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':35,'Gula Iro [i-glj][w-gir][a-1548][g-gula1265]':35,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':35,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':35,'Day [i-dai][w-day][a-1214][g-dayy1236]':35,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':35,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':35,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':35,(((('Dii [i-dur][w-ygd][a-489][g-diii1241]':0)'Adamawa-Ubangi [i-][w-][a-][g-]':0)'Group3 [i-][w-][a-][g-]':0)'Group2 [i-][w-][a-][g-]':0)'Group1 [i-][w-][a-][g-]':35,'Sango [i-sag][w-san][a-466][g-sang1328]':35,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':35)'Adamawa-Ubangi [i-][w-][a-][g-]':0);
