Family	Success	Comments	Tree
Kwadi-Khoe	FAIL	NJ: the distances matrix is too small	
Ju	FAIL	NJ: the distances matrix is too small	
Hadza	FAIL	NJ: too few languages	
Sandawe	FAIL	NJ: too few languages	
Kordofanian	SUCCESS	NJ	('Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.435,(('Moro [i-mor][w-mro][a-742][g-moro1285]':0.271,'Tiro [i-tic][w-][a-743][g-tira1254]':0.258):0.0809,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.324):0.105,(('Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.341,'Tima [i-tms][w-tia][a-3177][g-tima1241]':0.366):0.0626,('Jomang [i-tlo][w-jom][a-2583][g-talo1250]':0.302,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.307):0.11):0.00641);
Kwa	SUCCESS	NJ	('Dangme [i-ada][w-][a-3046][g-adan1247]':0.413,((('Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':0.355,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.339):0.0308,((('Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.249,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.249):0.0461,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.306):0.0445,'Akan [i-aka][w-akn][a-2645][g-akan1250]':0.328):0.0484):0.0172,'Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.406):0.00654,(((('Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':0,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':0):0.299,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.303):0.131,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.453):0.00633,(('Avatime [i-avn][w-avt][a-941][g-avat1244]':0.404,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.397):0.00421,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.375,'Logba [i-lgq][w-][a-2973][g-logb1245]':0.368):0.0418):0.0143):0.00607);
Mande	SUCCESS	NJ	((((((('Bandi [i-bza][w-bnd][a-1521][g-band1352]':0.146,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.174):0.0877,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0.247):0.166,('Jalonke [i-yal][w-][a-2983][g-yalu1240]':0.113,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.119):0.24):0.0217,(((((('Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.193,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.164):0.0605,(('Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':0,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':0):0.0992,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.0946):0.13):0.0157,'Koranko [i-knk][w-kko][a-1745][g-kura1250]':0.231):0.0229,('Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':0.213,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.192):0.0906):0.0249,'Jeli [i-jek][w-][a-649][g-jeri1242]':0.319):0.0205,'Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.321):0.0238):0.025,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':0.384):0.00871,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.386):0.0683,((('Mano [i-mev][w-man][a-1971][g-mann1248]':0.227,'Toura [i-neb][w-][a-2864][g-tour1242]':0.257):0.0162,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':0.329):0.0153,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':0.337):0.0168,((('Guro [i-goa][w-gro][a-1554][g-guro1248]':0.114,'Yaoure [i-yre][w-][a-507][g-yaou1238]':0.133):0.158,'Wan [i-wan][w-wna][a-3187][g-wann1242]':0.323):0.023,('Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.116,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.099):0.219):0.0106);
North Atlantic	SUCCESS	NJ	('Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':0.423,(((((('Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':0,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':0):0.156,('Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':0,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':0):0.158):0.0619,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':0.221):0.00724,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':0.235):0.0277,'Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':0.258):0.159,('Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.27,'Noon [i-snf][w-noo][a-2455][g-noon1242]':0.286):0.138):0.00652,((('Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.405,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':0.394):0.0386,'Balanta [i-bjt][w-][a-1027][g-bala1302]':0.427):0.0178,'Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.428):0.00177);
Ijoid	FAIL	NJ: the distances matrix is too small	
Adamawa-Ubangi	SUCCESS	NJ	(('Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.378,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.383):0.0388,(((('Day [i-dai][w-day][a-1214][g-dayy1236]':0.413,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':0.411):0.00736,(((('Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':0.318,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.316):0.0498,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.361):0.0137,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.381):0.0232,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.408):0.0194):0.0126,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.438):0.00745,('Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.392,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.406):0.0392):0.00507,(((('Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.244,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.248):0.166,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.406):0.00755,(((('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.331,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':0.33):0.00676,('Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.289,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':0.284):0.0369):0.0392,(('Sango [i-sag][w-san][a-466][g-sang1328]':0.169,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':0.165):0.0301,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.192):0.183):0.0147,'Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':0.411):0.0219):0.00308,('Linda [i-liy][w-lnd][a-1892][g-band1344]':0.222,'Mono [i-mnh][w-][a-3088][g-mono1270]':0.224):0.194):0.00193);
