Family	Success	Comments	Tree
Kwadi-Khoe	FAIL	NJ: the distances matrix has too few non-missing data	
Ju	FAIL	NJ: the distances matrix is too small	
Hadza	FAIL	NJ: too few languages	
Sandawe	FAIL	NJ: too few languages	
Kordofanian	FAIL	NJ: the distances matrix has too few non-missing data	
Kwa	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Mande	SUCCESS	NJ	((((('Bisa [i-bib][w-bis][a-1016][g-biss1248]':6.94,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':4.58):9.58,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':3.12):7.76,'Vai [i-vai][w-vai][a-2683][g-vaii1241]':5.94):8.22,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':3.54):6.82,((((('Bambara [i-bam][w-bam][a-516][g-bamb1269]':2.92,'Loko [i-lok][w-lok][a-1909][g-loko1255]':8.61):14.1,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':0.229):1.97,'Maninka [i-emk][w-mnk][a-2044][g-east2426]':4.02):6.94,'Bandi [i-bza][w-bnd][a-1521][g-band1352]':0):6.32,'Guro [i-goa][w-gro][a-1554][g-guro1248]':4.02):8.67,(((((('Koranko [i-knk][w-kko][a-1745][g-kura1250]':7.17,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':4.36):11.1,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':15.7):9.34,((('Busa [i-bqp][w-bus][a-1059][g-busa1253]':6.85,'Wan [i-wan][w-wna][a-3187][g-wann1242]':4.67):11.3,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.262):6.84,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':23.2):10.2):9.56,'Mende [i-men][w-mde][a-1978][g-mend1266]':11.6):8.18,((('Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':6.38,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':5.14):5.29,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':6.23):11.2,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0):5.67):7.64,'Mano [i-mev][w-man][a-1971][g-mann1248]':7.88):7.09);
North Atlantic	FAIL	NJ: the distances matrix has too few non-missing data	
Ijoid	FAIL	NJ: the distances matrix is too small	
Adamawa-Ubangi	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Benue-Congo	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Saharan	FAIL	NJ: the distances matrix has too few non-missing data	
Fur	FAIL	NJ: too few languages	
Kuliak	FAIL	NJ: the distances matrix is too small	
Nera	FAIL	NJ: too few languages	
Nubian	FAIL	NJ: the distances matrix has too few non-missing data	
Nilotic	SUCCESS	NJ	('Luo [i-luo][w-luo][a-1919][g-luok1236]':3.43,'Datooga [i-tcc][w-dat][a-2532][g-dato1239]':0,('Lango [i-laj][w-lan][a-159][g-lang1324]':20.3,'Maa [i-mas][w-maa][a-167][g-masa1300]':0.895):11);
Gumuz	FAIL	NJ: too few languages	
Berber	SUCCESS	NJ	('Tamazight {Ayt Ndhir} [i-tzm][w-bma-bse][a-571][g-cent2194]':8.78,'Berber {Figuig} [i-tzm][w-bma-bse][a-750][g-cent2194]':8.78,((('Shilha [i-shi][w-tas][a-2969][g-tach1250]':8.78,'Tashlhiyt [i-shi][w-tas][a-2421][g-tach1250]':8.78):17.6,'Berber {Wargla} [i-oua][w-bou][a-2264][g-taga1278]':0):17.6,'Berber {Ayt Seghrouchen Middle Atlas} [i-tzm][w-bma-bse][a-1435][g-cent2194]':8.78):8.78);
