Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	NJ	('Deti [i-shg][w-det][a-1287][g-shua1254]':12.6,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':17.3,((('Korana [i-kqz][w-krn][a-739][g-kora1292]':46.6,'Nama [i-naq][w-kho][a-199][g-nama1264]':88.1):5.19,'Khoe [i-xuu][w-kxo][a-652][g-kxoe1243]':35.2):5.99,'Nharo [i-nhr][w-nro][a-606][g-naro1249]':17):3.3);
Ju	SUCCESS	NJ	('!Xu [i-knw][w-xun][a-579][g-kung1261]':0,'!Kung [i-knw][w-xun][a-148][g-kung1261]':0,'Ju|`hoan [i-ktz][w-juh][a-1832][g-juho1239]':138);
Hadza	FAIL	NJ: too few languages	
Sandawe	FAIL	NJ: too few languages	
Kordofanian	SUCCESS	NJ	('Moro [i-mor][w-mro][a-742][g-moro1285]':15.6,(('Masakin [i-jle][w-msk][a-1931][g-ngil1242]':64,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':42.8):11.9,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':15.4):3.36,((('Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':2.98,'Tima [i-tms][w-tia][a-3177][g-tima1241]':2.43):3.81,('Orig [i-ras][w-ori-ras][a-323][g-tega1236]':0,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':0):11.1):1.92,'Jomang [i-tlo][w-jom][a-2583][g-talo1250]':13.4):1.22);
Kwa	SUCCESS	NJ	(('Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':0,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':0):11,((('Avikam [i-avi][w-avk][a-3137][g-avik1243]':2.48,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':2.8):0.945,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':3.07):1.01,'Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':5.78):1.27,(((('Alladian [i-ald][w-ald][a-875][g-alla1248]':6,'Lelemi [i-lef][w-llm][a-1878][g-lele1264]':9.55):3.58,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':8.46):0.403,((((((('Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':56.7,'Baule [i-bci][w-ble][a-974][g-baou1238]':129):6.29,'Abidji [i-abi][w-abd][a-823][g-abid1235]':46.8):8.39,'Akan [i-aka][w-akn][a-2645][g-akan1250]':26.8):2.02,('Avatime [i-avn][w-avt][a-941][g-avat1244]':0,'Wemenugbe [i-wem][w-wmn][a-2715][g-weme1239]':0):23.9):1.31,'Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':30.4):0.934,(('Adioukrou [i-adj][w-adi][a-835][g-adio1239]':7.7,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':12.2):2,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':11):10.4):1.23,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':18.8):1.62):0.645,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':11.8):0.487);
Mande	SUCCESS	NJ	('Koranko [i-knk][w-kko][a-1745][g-kura1250]':21.3,((((('Vai [i-vai][w-vai][a-2683][g-vaii1241]':474,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':484):159,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':43.7):13.9,'Loko [i-lok][w-lok][a-1909][g-loko1255]':38.9):6.11,((('Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':10.4,'Mano [i-mev][w-man][a-1971][g-mann1248]':12.7):0.408,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':12.8):7.73,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':9.19):8.16):3.78,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':12):2.83,(((((((('Bandi [i-bza][w-bnd][a-1521][g-band1352]':0,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0):2.76,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':3.66):1.05,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':5.84):0.742,('Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':0,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':0):6.04):1.22,('Busa [i-bqp][w-bus][a-1059][g-busa1253]':7.98,'Wan [i-wan][w-wna][a-3187][g-wann1242]':4.45):2.86):0.963,'Susu [i-sus][w-sus][a-2493][g-susu1250]':13.6):0.789,('Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':13.3,'Mende [i-men][w-mde][a-1978][g-mend1266]':14.7):1.52):1.13,(('Guro [i-goa][w-gro][a-1554][g-guro1248]':0,'Maninka [i-emk][w-mnk][a-2044][g-east2426]':0):3.02,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':3.21):17):0.49);
North Atlantic	SUCCESS	NJ	('Mankanya [i-knf][w-mkn][a-1929][g-mank1251]':0,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':0,((((((((((((('Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':45.1,'Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':31.3):2.79,'Noon [i-snf][w-noo][a-2455][g-noon1242]':20.5):2.64,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':13.7):6.65,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':23.3):2.34,(('Fula {Burkina Faso} [i-fuh][w-fbf-fli][a-1507][g-west2454]':0,'Ful {Liptako} [i-fuh][w-fbf-fli][a-1292][g-west2454]':0):2.26,('Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':0,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':0):2.59):17.2):2.86,('Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':4.66,'Palor [i-fap][w-plr][a-1487][g-palo1243]':3.17):6.68):0.949,'Konyagi [i-cou][w-kgi][a-1173][g-wame1240]':9.66):2.31,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':4.42):0.508,'Diola-Kasa [i-csk][w-csk][a-3144][g-jola1262]':4.17):0.355,'Basari [i-bsc][w-bsr][a-1071][g-bass1258]':3.79):1.96,'Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':0):0,'Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':0):0,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':0):0);
Ijoid	FAIL	NJ: the distances matrix is too small	
Adamawa-Ubangi	SUCCESS	NJ	(('Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':2.53,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':5.03):0.57,(((((((((('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':4.12,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':3.26):0.238,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':4.54):2.4,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':10.5):1.61,('Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':9.19,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':15.2):2.81):0.992,(((('Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':22.4,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':29.9):1.62,((((((('Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':11.6,'Gula Iro [i-glj][w-gir][a-1548][g-gula1265]':10.7):32.7,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':135):36,'Sango [i-sag][w-san][a-466][g-sang1328]':79.5):2.59,('Barambu [i-brm][w-bbu][a-1065][g-bara1361]':93.1,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':35.8):22.8):4.64,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':66.3):7.55,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':41.9):3.86,'Zande [i-zne][w-zan][a-2802][g-zand1248]':31.4):3.3):1.72,('Linda [i-liy][w-lnd][a-1892][g-band1344]':24.3,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':11.1):4.2):0.999,'Ma [i-msj][w-ma][a-2083][g-made1252]':13.6):1.6):1.61,('Day [i-dai][w-day][a-1214][g-dayy1236]':3.04,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':2.97):24.2):1.57,('Lua [i-nie][w-lua][a-2170][g-niel1243]':5.56,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':13.1):2.63):1.9,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':9.42):0.603,'Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':8.85):1.26,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':5.15):0.602,((('Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':2.34,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':2.09):0.816,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':1.92):0.478,'Dii [i-dur][w-ygd][a-489][g-diii1241]':1.89):0.369);
