Family	Success	Comments	Tree
Kwadi-Khoe	FAIL	NJ: the distances matrix has too few non-missing data	
Ju	FAIL	NJ: the distances matrix has too few non-missing data	
Hadza	FAIL	NJ: too few languages	
Sandawe	FAIL	NJ: too few languages	
Kordofanian	FAIL	NJ: the distances matrix has too few non-missing data	
Kwa	FAIL	NJ: the distances matrix has too few non-missing data	
Mande	FAIL	NJ: the distances matrix has too few non-missing data	
North Atlantic	FAIL	NJ: the distances matrix has too few non-missing data	
Ijoid	FAIL	NJ: the distances matrix is too small	
Adamawa-Ubangi	FAIL	NJ: the distances matrix has too few non-missing data	
Benue-Congo	FAIL	NJ: the distances matrix has too few non-missing data	
Saharan	FAIL	NJ: the distances matrix is too small	
Fur	FAIL	NJ: too few languages	
Kuliak	FAIL	NJ: the distances matrix has too few non-missing data	
Nera	FAIL	NJ: too few languages	
Nubian	FAIL	NJ: the distances matrix has too few non-missing data	
Nilotic	SUCCESS	NJ	(((('Anywa [i-anu][w-any][a-900][g-anua1242]':0.272,'Jur Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':0):0.165,'Nuer [i-nus][w-nue][a-2219][g-nuer1246]':0.317):0.168,'Pari [i-lkr][w-par][a-1894][g-pari1256]':0.364):0.2,(('Lango [i-laj][w-lan][a-159][g-lang1324]':0.209,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':0.157):0.187,'Luo [i-luo][w-luo][a-1919][g-luok1236]':0.208):0.16,((((('Teso [i-teo][w-tes][a-2548][g-teso1249]':0.255,'Turkana [i-tuv][w-tna][a-2641][g-turk1308]':0.275):0.188,(('Datooga [i-tcc][w-dat][a-2532][g-dato1239]':0.0549,'Maa [i-mas][w-maa][a-167][g-masa1300]':0.217):0.139,'Karimojong [i-kdj][w-kmj][a-1723][g-kara1483]':0.247):0.201):0.147,('Pokot [i-pko][w-pkt][a-2304][g-poko1263]':0.236,'Sebei [i-kpz][w-seb][a-1809][g-kups1238]':0.114):0.257):0.212,'Acholi [i-ach][w-acl][a-603][g-acol1236]':0.247):0.16,('Bari [i-bfa][w-bar-kuk][a-1000][g-bari1284]':0.136,'Kuku [i-bfa][w-bar-kuk][a-1233][g-bari1284]':0.136):0.252):0.157);
Gumuz	FAIL	NJ: too few languages	
Berber	SUCCESS	NJ	((('Shilha [i-shi][w-tas][a-2969][g-tach1250]':0.149,'Tashlhiyt [i-shi][w-tas][a-2421][g-tach1250]':0.149):0.297,'Berber {Wargla} [i-oua][w-bou][a-2264][g-taga1278]':0):0.362,(((((('Berber {Kabyle} [i-kab][w-kbl][a-2882][g-kaby1243]':0.149,'Kabyle [i-kab][w-kbl][a-120][g-kaby1243]':0.149):0.229,'Tuareg {Ghat} [i-thv][w-tai-tgh-tug][a-1421][g-taha1241]':0.068):0.183,'Berber {Siwa} [i-siz][w-bsi][a-2432][g-siwi1239]':0.114):0.173,'Tuareg {Air} [i-thv][w-tai-tgh-tug][a-1420][g-taha1241]':0.124):0.163,'Tuareg {Ahaggar} [i-thv][w-tai-tgh-tug][a-2566][g-taha1241]':0.134):0.213,('Berber {Chaouia} [i-shy][w-bch][a-2426][g-tach1249]':0.121,'Berber {Mzab} [i-mzb][w-bmz][a-2123][g-tumz1238]':0.176):0.226):0.199,(((('Tamashek {Burkin Faso} [i-taq][w-tsk][a-3042][g-tama1365]':0.149,'Tamashek {Mali} [i-taq][w-tsk][a-3040][g-tama1365]':0.149):0.198,(('Berber {Figuig} [i-tzm][w-bma-bse][a-750][g-cent2194]':0.149,'Tamazight {Ayt Ndhir} [i-tzm][w-bma-bse][a-571][g-cent2194]':0.149):0.149,'Berber {Ayt Seghrouchen Middle Atlas} [i-tzm][w-bma-bse][a-1435][g-cent2194]':0.149):0.141):0.23,'Berber {Rif} [i-rif][w-brf][a-2369][g-tari1263]':0.246):0.179,'Zenaga [i-zen][w-zen][a-2806][g-zena1248]':0.0187):0.167);
Chadic	FAIL	NJ: the distances matrix has too few non-missing data	
Egyptian	FAIL	NJ: the distances matrix is too small	
Semitic	FAIL	NJ: the distances matrix has too few non-missing data	
Omotic	FAIL	NJ: the distances matrix has too few non-missing data	
Cushitic	FAIL	NJ: the distances matrix has too few non-missing data	
Beja	FAIL	NJ: too few languages	
Sumerian	FAIL	NJ: too few languages	
Elamite	FAIL	NJ: too few languages	
Hurro-Urartean	FAIL	NJ: too few languages	
