Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	NNLS	(('Deti [i-shg][w-det][a-1287][g-shua1254]':0.103,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':0.103)'Kalahari [i-][w-][a-][g-]':0.0914,'Nama [i-naq][w-kho][a-199][g-nama1264]':0.195)'Kwadi-Khoe [i-][w-][a-][g-]';
Ju	SUCCESS	NNLS	('Ju|`hoan [i-ktz][w-juh][a-1832][g-juho1239]':0,'!Kung [i-knw][w-xun][a-148][g-kung1261]':0)'Ju [i-][w-][a-][g-]';
Hadza	FAIL	NNLS: too few languages	
Sandawe	FAIL	NNLS: too few languages	
Kordofanian	FAIL	NNLS: too few languages with non-missing data	
Kwa	FAIL	NNLS: too few languages with non-missing data	
Mande	FAIL	NNLS: too few languages with non-missing data	
North Atlantic	FAIL	NNLS: too few languages with non-missing data	
Ijoid	FAIL	NNLS: too few languages with non-missing data	
Adamawa-Ubangi	FAIL	NNLS: too few languages with non-missing data	
Benue-Congo	FAIL	NNLS: too few languages with non-missing data	
Saharan	FAIL	NNLS: too few languages with non-missing data	
Fur	FAIL	NNLS: too few languages	
Kuliak	SUCCESS	NNLS	('So [i-teu][w-so][a-2552][g-sooo1256]':0.0526,'Ik [i-ikx][w-ik][a-111][g-ikkk1242]':0.0526)'Kuliak [i-][w-][a-][g-]';
Nera	FAIL	NNLS: too few languages	
Nubian	FAIL	NNLS: too few languages with non-missing data	
Nilotic	SUCCESS	NNLS	(('Markweeta [i-enb][w-][a-3004][g-mark1255]':0.287,'Nandi [i-niq][w-][a-299][g-nand1266]':0.287)'Southern Nilotic [i-][w-][a-][g-]':0,'Maa [i-mas][w-maa][a-167][g-masa1300]':0.287,'Lango [i-laj][w-lan][a-159][g-lang1324]':0.287)'Nilotic [i-][w-][a-][g-]';
Gumuz	FAIL	NNLS: too few languages	
Berber	SUCCESS	NNLS	('Zenaga [i-zen][w-zen][a-2806][g-zena1248]':0.05,('Berber {Figuig} [i-tzm][w-bma-bse][a-750][g-cent2194]':0.0345,'Tamazight {Ayt Ndhir} [i-tzm][w-bma-bse][a-571][g-cent2194]':0.0345)'Berber [i-][w-][a-][g-]':0.0155)'Berber [i-][w-][a-][g-]';
