Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	NNLS	(('Deti [i-shg][w-det][a-1287][g-shua1254]':6.76,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':6.76)'Kalahari [i-][w-][a-][g-]':3.12,'Nama [i-naq][w-kho][a-199][g-nama1264]':9.88)'Kwadi-Khoe [i-][w-][a-][g-]';
Ju	FAIL	NNLS: too few languages with non-missing data	
Hadza	FAIL	NNLS: too few languages	
Sandawe	FAIL	NNLS: too few languages	
Kordofanian	SUCCESS	NNLS	('Tima [i-tms][w-tia][a-3177][g-tima1241]':9.83,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':9.83,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':9.83,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':9.83,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':9.83,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':9.83,'Moro [i-mor][w-mro][a-742][g-moro1285]':9.83,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':9.83)'Kordofanian [i-][w-][a-][g-]';
Kwa	SUCCESS	NNLS	('Avikam [i-avi][w-avk][a-3137][g-avik1243]':20.4,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':20.4,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':11.1,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':11.1)'Ka-Togo [i-][w-][a-][g-]':9.33,('Akan [i-aka][w-akn][a-2645][g-akan1250]':20.4,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':20.4,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':20.4,'Baule [i-bci][w-ble][a-974][g-baou1238]':20.4,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':20.4)'Potou-Tano [i-][w-][a-][g-]':3.55e-15,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':20.4,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':9.68,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':9.68,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':9.68)'Gbe [i-][w-][a-][g-]':10.8)'Kwa [i-][w-][a-][g-]';
Mande	SUCCESS	NNLS	(('Wan [i-wan][w-wna][a-3187][g-wann1242]':9.14,'Mano [i-mev][w-man][a-1971][g-mann1248]':9.14,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':9.14,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':9.14)'East Mande [i-][w-][a-][g-]':0,('Vai [i-vai][w-vai][a-2683][g-vaii1241]':6.97,'Susu [i-sus][w-sus][a-2493][g-susu1250]':6.97,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':6.97,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':6.97,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':6.97,'Mende [i-men][w-mde][a-1978][g-mend1266]':6.97,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':6.97,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':6.97)'West Mande [i-][w-][a-][g-]':2.16)'Mande [i-][w-][a-][g-]';
North Atlantic	FAIL	NNLS: too few languages with non-missing data	
Ijoid	FAIL	NNLS: too few languages with non-missing data	
Adamawa-Ubangi	SUCCESS	NNLS	('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':13.3,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':13.3,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':13.3,'Zande [i-zne][w-zan][a-2802][g-zand1248]':13.3,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':13.3,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':13.3,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':13.3,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':13.3,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':13.3,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':13.3,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':13.3,'Ma [i-msj][w-ma][a-2083][g-made1252]':13.3,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':13.3,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':13.3,'Linda [i-liy][w-lnd][a-1892][g-band1344]':13.3,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':13.3,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':13.3,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':13.3,'Day [i-dai][w-day][a-1214][g-dayy1236]':13.3,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':13.3,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':13.3,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':13.3,'Sango [i-sag][w-san][a-466][g-sang1328]':13.3,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':13.3)'Adamawa-Ubangi [i-][w-][a-][g-]';
