Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	NNLS	(('Deti [i-shg][w-det][a-1287][g-shua1254]':0.0769,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':0.0769)'Kalahari [i-][w-][a-][g-]':0.146,'Nama [i-naq][w-kho][a-199][g-nama1264]':0.223)'Kwadi-Khoe [i-][w-][a-][g-]';
Ju	FAIL	NNLS: too few languages with non-missing data	
Hadza	FAIL	NNLS: too few languages	
Sandawe	FAIL	NNLS: too few languages	
Kordofanian	SUCCESS	NNLS	('Tima [i-tms][w-tia][a-3177][g-tima1241]':0.246,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.246,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.246,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.246,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.246,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':0.246,'Moro [i-mor][w-mro][a-742][g-moro1285]':0.246,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':0.246)'Kordofanian [i-][w-][a-][g-]';
Kwa	SUCCESS	NNLS	('Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.213,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.213,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.213,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':0.213)'Ka-Togo [i-][w-][a-][g-]':0,('Akan [i-aka][w-akn][a-2645][g-akan1250]':0.162,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.162,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.162,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.162,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.162)'Potou-Tano [i-][w-][a-][g-]':0.0515,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.213,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':0.183,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':0.183,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.183)'Gbe [i-][w-][a-][g-]':0.0303)'Kwa [i-][w-][a-][g-]';
Mande	SUCCESS	NNLS	(('Wan [i-wan][w-wna][a-3187][g-wann1242]':0.141,'Mano [i-mev][w-man][a-1971][g-mann1248]':0.141,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.141,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.141)'East Mande [i-][w-][a-][g-]':0,('Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.116,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.116,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.116,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.116,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.116,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.116,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.116,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.116)'West Mande [i-][w-][a-][g-]':0.0245)'Mande [i-][w-][a-][g-]';
North Atlantic	FAIL	NNLS: too few languages with non-missing data	
Ijoid	FAIL	NNLS: too few languages with non-missing data	
Adamawa-Ubangi	SUCCESS	NNLS	('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.171,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.171,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.171,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.171,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.171,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.171,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.171,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.171,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.171,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.171,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.171,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.171,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.171,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.171,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.171,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':0.171,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.171,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.171,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.171,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.171,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.171,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.171,'Sango [i-sag][w-san][a-466][g-sang1328]':0.171,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':0.171)'Adamawa-Ubangi [i-][w-][a-][g-]';
