ISO	WALS	AUTOTYP	Glottolog	Name.ethn	Name.wals	Name.autotyp	Name.glottlog	Latitude	Longitude	UULID
			3adt1234				3Ad-Tekles	NA	NA	[i-][w-][a-][g-3adt1234]
			aala1237				Aalawa	NA	NA	[i-][w-][a-][g-aala1237]
			aant1238				Aantantara	NA	NA	[i-][w-][a-][g-aant1238]
			aasd1234				Aasdring	NA	NA	[i-][w-][a-][g-aasd1234]
			aata1238				Aatasaara	NA	NA	[i-][w-][a-][g-aata1238]
			abaa1238				Rngaba	NA	NA	[i-][w-][a-][g-abaa1238]
			abab1239				Ababda	NA	NA	[i-][w-][a-][g-abab1239]
			abad1240				Abadzex	NA	NA	[i-][w-][a-][g-abad1240]
			abad1242				Abadei	NA	NA	[i-][w-][a-][g-abad1242]
			abad1243				Abadani	NA	NA	[i-][w-][a-][g-abad1243]
			abai1239				Abai	NA	NA	[i-][w-][a-][g-abai1239]
			abai1241				Abai Tubu-Abai Sembuak	3.524226	116.162455	[i-][w-][a-][g-abai1241]
			abaj1234				Abajeno Mexican Spanish	NA	NA	[i-][w-][a-][g-abaj1234]
			abak1242				Abak	NA	NA	[i-][w-][a-][g-abak1242]
			abak1243				Abaka	NA	NA	[i-][w-][a-][g-abak1243]
			abal1238				Abaletti	NA	NA	[i-][w-][a-][g-abal1238]
			abam1239				Abam	NA	NA	[i-][w-][a-][g-abam1239]
			aban1243				Abancay	NA	NA	[i-][w-][a-][g-aban1243]
			abar1239				Abar	NA	NA	[i-][w-][a-][g-abar1239]
			abay1238				Abayongo	NA	NA	[i-][w-][a-][g-abay1238]
			abbe1238				Abbey-Ve	NA	NA	[i-][w-][a-][g-abbe1238]
			abbr1238				Abbruzzesi	NA	NA	[i-][w-][a-][g-abbr1238]
			abch1234				Abchuya`i	NA	NA	[i-][w-][a-][g-abch1234]
			abda1238				`Abd Al-Kuri	12.1959	52.2282	[i-][w-][a-][g-abda1238]
			abed1238				Abedju-Azaki	NA	NA	[i-][w-][a-][g-abed1238]
			abee1243				Abe {Anyin}	NA	NA	[i-][w-][a-][g-abee1243]
			aben1247				Abeng	NA	NA	[i-][w-][a-][g-aben1247]
			aben1248				A`beng	NA	NA	[i-][w-][a-][g-aben1248]
			abgu1238				Abgue	NA	NA	[i-][w-][a-][g-abgu1238]
			abie1238				Abiem	NA	NA	[i-][w-][a-][g-abie1238]
			abig1238				Abigar	NA	NA	[i-][w-][a-][g-abig1238]
			abil1238				Abiliang	NA	NA	[i-][w-][a-][g-abil1238]
			abin1242				Abini	NA	NA	[i-][w-][a-][g-abin1242]
			abka1238				Abkar	NA	NA	[i-][w-][a-][g-abka1238]
			able1237				Ableg-Salegseg	NA	NA	[i-][w-][a-][g-able1237]
			aboo1241				Abo {Bokyi}	NA	NA	[i-][w-][a-][g-aboo1241]
			aboo1242				Abo	NA	NA	[i-][w-][a-][g-aboo1242]
			abou1238				Abou Charib	NA	NA	[i-][w-][a-][g-abou1238]
			abra1237				Abra-De-Ilog	NA	NA	[i-][w-][a-][g-abra1237]
			abru1239				Abruzzese-Calabrian-Molisean Romani	NA	NA	[i-][w-][a-][g-abru1239]
			absh1238				Absheron	NA	NA	[i-][w-][a-][g-absh1238]
			abuj1237				Abujmaria	NA	NA	[i-][w-][a-][g-abuj1237]
			abul1238				Abuldugu	NA	NA	[i-][w-][a-][g-abul1238]
