Family	Success	Comments	Tree
Afro-Asiatic	SUCCESS	GA: converged after 1987 iterations out of 10000 with residual SSE error 1356.66093170887	(((('Soqotri [i-sqt][w-soq][a-2469][g-soqo1240]':9.34,'Shehri [i-shv][w-jib][a-2425][g-sheh1240]':9.62,'Mehri [i-gdq][w-meh][a-1994][g-mehr1241]':13.1,'Harsusi [i-hss][w-hrs][a-1618][g-hars1241]':7.24,'Bathari [i-bhm][w-bth][a-1354][g-bath1244]':5.04)'South Arabian [i-][w-][a-][g-]':3.53,('Amharic [i-amh][w-amh][a-21][g-amha1245]':21.1,('Sebat Bet Gurage [i-sgw][w-chh-muh][a-1313-1314-3044][g-seba1251]':20.1,'Kistane [i-gru][w-sod][a-1562][g-kist1241]':4.79)'Outer [i-][w-][a-][g-]':8.09)'South [i-][w-][a-][g-]':3.14)'South [i-][w-][a-][g-]':1.87,(('Maltese [i-mlt][w-mlt][a-2033][g-malt1254]':6.46,'Arabic. Moroccan Spoken [i-ary][w-amr][a-928][g-moro1292]':18.6,'Arabic. Egyptian Spoken [i-arz][w-aeg][a-642][g-egyp1253]':13)'Arabic [i-][w-][a-][g-]':8.42,'Mandaic [i-mid][w-mma][a-2002][g-nucl1706]':8.1)'Central [i-][w-][a-][g-]':6.65)'Semitic [i-][w-][a-][g-]':5.19,('Iraqw [i-irk][w-irq][a-534][g-iraq1241]':13.4,'Bedawiyet [i-bej][w-bej][a-34][g-beja1238]':12.4,('Somali [i-som][w-som][a-355][g-soma1255]':10,'Oromo. Eastern [i-hae][w-orh][a-324][g-east2652]':48.4)'East [i-][w-][a-][g-]':6.97)'Cushitic [i-][w-][a-][g-]':8.5,('Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]':20.2,'Hausa [i-hau][w-hau][a-98][g-haus1257]':13.6)'West [i-][w-][a-][g-]':4.69,('Tamazight. Central Atlas [i-tzm][w-bma-bse][a-1435-571-750][g-cent2194]':13.4,'Tachelhit [i-shi][w-tas][a-2421-2969][g-tach1250]':22)'Atlas [i-][w-][a-][g-]':11.5)'Afro-Asiatic [i-][w-][a-][g-]';
East Bird`s Head-Sentani	SUCCESS	GA: converged after 450 iterations out of 10000 with residual SSE error 39.8081432045432	(('Tabla [i-tnm][w-tbl][a-2594][g-tabl1243]':139,'Sentani [i-set][w-snt][a-350][g-nucl1632]':6.5)'Sentani Proper [i-][w-][a-][g-]':3.43,('Meyah [i-mej][w-mea][a-1967][g-meya1236]':5.69,'Manikion [i-mnx][w-sgb][a-2048][g-mani1235]':4.6)'East Bird<U+FFFD><U+FFFD><U+FFFD>s Head [i-][w-][a-][g-]':12)'East Bird`s Head-Sentani [i-][w-][a-][g-]';
Mapudungu	FAIL	GA: the distances matrix is too small	
Sino-Tibetan	SUCCESS	GA: converged after 9276 iterations out of 10000 with residual SSE error 40.5895613799649	(((((('Wayu [i-vay][w-hay][a-632][g-wayu1241]':7.39,'Wambule [i-wme][w-wme][a-2865][g-wamb1257]':7.21,'Thulung [i-tdh][w-thu][a-2979-2999-667][g-thul1246]':7.35,'Khaling [i-klr][w-khg][a-1778][g-khal1275]':7,'Dumi [i-dus][w-dmi][a-1439][g-dumi1241]':7.02)'Western [i-][w-][a-][g-]':1.66,('Limbu [i-lif][w-lim][a-674][g-limb1266]':10.6,'Kulung [i-kle][w-klg][a-1775][g-kulu1253]':12.9,'Chamling [i-rab][w-cml][a-2360][g-caml1239]':9.27,'Belhariya [i-byw][w-bel][a-35][g-belh1239]':6.86,'Athpariya [i-aph][w-ath][a-908][g-athp1241]':7.78)'Eastern [i-][w-][a-][g-]':0.415)'Kiranti [i-][w-][a-][g-]':1.49,('Thangmi [i-thf][w-thn][a-2563][g-than1259]':5.16,'Raji [i-rji][w-rji][a-735][g-raji1240]':16.6,'Newar [i-new][w-new-nwd][a-468-640][g-newa1246]':5.62,('Magar. Eastern [i-mgp][w-mag][a-729][g-east2352]':2.5,'Kham. Gamale [i-kgj][w-kmh][a-][g-gama1251]':1.43)'Kham-Magar [i-][w-][a-][g-]':3.51,'Chepang [i-cdm][w-cpn][a-1130][g-chep1245]':9.11)'Central Himalayan [i-][w-][a-][g-]':1.79)'Himalayan [i-][w-][a-][g-]':0.746,((('Tukpa [i-tpq][w-nyk][a-2605][g-tukp1239]':5.7,'Tinani [i-lbf][w-tni][a-1868][g-tina1246]':6.29,'Rongpo [i-rnp][w-mrc][a-786][g-rong1264]':6.32,'Pattani [i-lae][w-ptt][a-1862][g-patt1248]':4.16,'Kinnauri [i-kfk][w-knn][a-626][g-kinn1249]':5.05,'Kanashi [i-xns][w-xns][a-3190][g-kana1283]':2.94,'Gahri [i-bfu][w-ghr][a-1004][g-gahr1239]':3.35)'Kinauri [i-][w-][a-][g-]':1.15,('Darmiya [i-drd][w-drm][a-1388][g-darm1243]':9.07,'Chaudangsi [i-cdn][w-chd][a-1131][g-chau1259]':6.71,'Byangsi [i-bee][w-bya][a-628][g-byan1241]':7.23)'Almora [i-][w-][a-][g-]':2.53)'West Himalayish [i-][w-][a-][g-]':1.79,('Tamang. Eastern [i-taj][w-tam][a-724][g-east2347]':6.61,('Thakali [i-ths][w-thk][a-730][g-thak1245]':4.33,'Nar Phu [i-npa][w-nph][a-2196][g-narp1239]':4.97,'Manangba [i-nmm][w-nmm][a-690][g-mana1288]':10,'Chantyal [i-chx][w-chn][a-629][g-chan1310]':4.15)'Gurungic [i-][w-][a-][g-]':2.13)'Gurung-Tamang [i-][w-][a-][g-]':1.37,(('Purik [i-prx][w-prk][a-1096][g-puri1258]':6.23,'Ladakhi [i-lbj][w-lad][a-548][g-lada1244]':6.22,'Balti [i-bft][w-blt][a-631][g-balt1258]':5.39)'Western [i-][w-][a-][g-]':2.17,'Tibetan. Khams [i-khg][w-khd-knz][a-3151][g-kham1282]':5.38,('Stod Bhoti [i-sbu][w-tod][a-2399][g-stod1241]':4.56,'Sikkimese [i-sip][w-skk][a-2430][g-sikk1242]':13,('Sherpa [i-xsr][w-she][a-2402][g-sher1255]':1.12,'Loke [i-loy][w-brl][a-1051][g-lowa1242]':4.43,'Lhomi [i-lhm][w-lho][a-630][g-lhom1239]':3.43,'Kyerung [i-kgy][w-kgy][a-1812-720][g-kyer1238]':5.56)'gTsang [i-][w-][a-][g-]':2.73,'Tibetan. Central [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-1424-1425-375-627-691-723][g-tibe1272]':0.384)'Central [i-][w-][a-][g-]':0.382)'Central Bodish [i-][w-][a-][g-]':0.356,'Tshangla [i-tsj][w-tgl][a-2617][g-tsha1245]':9.46)'Bodish [i-][w-][a-][g-]':0.153)'Western Tibeto-Burman [i-][w-][a-][g-]':1.12,'Naga. Tarao [i-tro][w-tao][a-2609][g-tara1313]':10.2,(('Naga. Zeme [i-nzm][w-nze][a-2236][g-zeme1240]':5.32,'Naga. Tangkhul [i-nmf][w-ngt][a-2186][g-tang1336]':4.6,'Meitei [i-mni][w-mei][a-501][g-mani1292]':9.43,(('Ralte [i-ral][w-ral][a-3171][g-ralt1242]':1.4,'Chin. Thado [i-tcz][w-thd][a-2540][g-thad1238]':4.14,'Chin. Tedim [i-ctd][w-cti][a-1195][g-tedi1235]':5.24,'Chin. Siyin [i-csy][w-chs][a-1193][g-siyi1240]':8.34)'Northern [i-][w-][a-][g-]':0.633,'Chin. Mara [i-mrh][w-cmr][a-2077][g-mara1382]':11.8,('Mizo [i-lus][w-miz][a-1914][g-lush1249]':8.18,'Hmar [i-hmr][w-hma][a-1611][g-hmar1241]':9.24,'Chin. Haka [i-cnh][w-lai][a-154][g-haka1240]':12.7,'Chin. Bawm [i-bgr][w-baw][a-517][g-bawm1236]':8.56)'Central [i-][w-][a-][g-]':0.978)'Kuki-Chin [i-][w-][a-][g-]':1.43,'Karbi [i-mjw][w-mik][a-2020][g-karb1241]':10.1,('Naga. Lotha [i-njh][w-lot][a-2177][g-loth1237]':2.2,'Naga. Ao [i-njo][w-ao][a-2178][g-aona1235]':8.02)'Ao [i-][w-][a-][g-]':2.13,('Naga. Sumi [i-nsm][w-sem][a-2206][g-sumi1235]':2.29,'Naga. Mao [i-nbi][w-nma][a-2139][g-maon1238]':10)'Angami-Pochuri [i-][w-][a-][g-]':4.17)'Kuki-Chin-Naga [i-][w-][a-][g-]':0.621,'Jingpho [i-kac][w-jng][a-663][g-kach1280]':10.2,'Dhimal [i-dhi][w-dhm][a-1317][g-dhim1246]':6.39,(('Naga. Tutsa [i-tvt][w-tvt][a-3178][g-tuts1235]':8.83,'Naga. Tase [i-nst][w-jug-lun][a-1376-1377][g-tase1235]':17.7,'Naga. Nocte [i-njb][w-noc][a-2176][g-noct1238]':3.7,'Naga. Chang [i-nbc][w-chg][a-2137][g-chan1313]':7.84)'Northern Naga [i-][w-][a-][g-]':3.27,(('Garo [i-grt][w-gar][a-528][g-garo1247]':4.87,('Kok Borok [i-trp][w-kok][a-2610][g-kokb1239]':3.49,'Kachari [i-xac][w-kac][a-2353][g-kach1279]':5.67,'Dimasa [i-dis][w-dms][a-1327][g-dima1251]':6.94,'Bodo [i-brx][w-bod][a-1070][g-bodo1269]':6.74)'Bodo [i-][w-][a-][g-]':1.41)'Bodo-Garo [i-][w-][a-][g-]':0.806,'Deori [i-der][w-deu][a-1275][g-deor1238]':8.57)'Bodo-Koch [i-][w-][a-][g-]':0.985)'Bodo-Garo-Northern Naga [i-][w-][a-][g-]':0.838)'Sal [i-][w-][a-][g-]':0.188,('Jiarong [i-jya][w-gyc-jia-rgc][a-1694][g-jiar1239]':3.21,'Bai. Central [i-bca][w-bai][a-2298][g-cent2004]':10.4)'Northeastern Tibeto-Burman [i-][w-][a-][g-]':4.8,((('Hani [i-hni][w-han][a-1612][g-hani1248]':5.18,'Akha [i-ahk][w-akh][a-470][g-akha1245]':3.31)'Southern [i-][w-][a-][g-]':4.5,'Nuosu [i-iii][w-yi][a-2771][g-sich1238]':3.08,('Nusu [i-nuf][w-nus][a-2215][g-nusu1239]':4.62,'Lisu [i-lis][w-lis][a-1889][g-lisu1250]':4.54,'Lalo. Central [i-ywt][w-lal][a-2774][g-xish1235]':9.21,'Lahu [i-lhu][w-lah][a-225][g-lahu1253]':5.22)'Central [i-][w-][a-][g-]':1.15)'Ngwi [i-][w-][a-][g-]':1.46,('Burmese [i-mya][w-brm][a-463][g-nucl1310]':8.94,('Lhao Vo [i-mhx][w-mru][a-1996][g-maru1249]':5.39,'Achang [i-acn][w-acn][a-831][g-acha1249]':7.85)'Northern [i-][w-][a-][g-]':0.781)'Burmish [i-][w-][a-][g-]':1.82)'Ngwi-Burmese [i-][w-][a-][g-]':0.576,('Karen. S<U+FFFD><U+FFFD><U+FFFD>gaw [i-ksw][w-ksg][a-226][g-sgaw1245]':9.06,('Kayah. Eastern [i-eky][w-kyl][a-1466][g-east2342]':6.56,'Karen. Bwe [i-bwe][w-kbw][a-1091][g-bwek1238]':5.37)'Central [i-][w-][a-][g-]':3.67)'Karenic [i-][w-][a-][g-]':5.05,(('Mising [i-mrg][w-mhl-msg][a-2076][g-misi1242]':13,'Apatani [i-apt][w-apt][a-662][g-apat1240]':7.44,'Adi [i-adi][w-boj-boq-gal-mil][a-752-753-789][g-damu1236]':15.8)'Tani [i-][w-][a-][g-]':2.35,('Rawang [i-raw][w-raw][a-2364][g-rawa1265]':5.7,'Drung [i-duu][w-dul][a-672][g-drun1238]':8.36,'Anong [i-nun][w-ano][a-2217][g-nung1282]':2.71)'Nungish [i-][w-][a-][g-]':2.41,'Miju-Mishmi [i-mxj][w-mij][a-2108][g-miju1243]':4.87,'Lepcha [i-lep][w-lep][a-552][g-lepc1244]':12.4,('Idu-Mishmi [i-clk][w-idu][a-1161][g-idum1241]':4.07,'Digaro-Mishmi [i-mhu][w-dig][a-221][g-diga1241]':2.04)'Digarish [i-][w-][a-][g-]':3.8)'Central Tibeto-Burman [i-][w-][a-][g-]':0.836)'Tibeto-Burman [i-][w-][a-][g-]':2.95,('Chinese. Yue [i-yue][w-cnt][a-2790][g-yuec1235]':6.98,'Chinese. Hakka [i-hak][w-hak][a-1593][g-hakk1236]':5.26)'Chinese [i-][w-][a-][g-]':4.26)'Sino-Tibetan [i-][w-][a-][g-]';
Algic	SUCCESS	GA: converged after 594 iterations out of 10000 with residual SSE error 54.4192088911256	(('Yurok [i-yur][w-yur][a-428][g-yuro1248]':7.23,'Wiyot [i-wiy][w-wiy][a-412][g-wiyo1248]':7.68)'Ritwan [i-][w-][a-][g-]':1.42,(('Potawatomi [i-pot][w-pot][a-2324][g-pota1247]':14.1,'Ojibwa. Eastern [i-ojg][w-oji][a-2244][g-east2542]':11)'Ojibwa-Potawatomi [i-][w-][a-][g-]':0.588,('Meskwaki [i-sac][w-fox][a-694][g-mesk1242]':4.54,'Kickapoo [i-kic][w-kic][a-1754][g-kick1244]':7.54)'Fox [i-][w-][a-][g-]':0.745,('Munsee [i-umu][w-mse][a-2668][g-muns1251]':6.39,'Malecite-Passamaquoddy [i-pqm][w-psm][a-563][g-male1292]':9.65)'Eastern Algonquian [i-][w-][a-][g-]':0.492,'Montagnais [i-moe][w-mtg][a-2051][g-mont1268]':5.51,'Blackfoot [i-bla][w-bla][a-1036][g-siks1238]':11.5)'Algonquian [i-][w-][a-][g-]':2.66)'Algic [i-][w-][a-][g-]';
Bauzi	FAIL	GA: the distances matrix is too small	
Mascoy	FAIL	GA: the distances matrix is too small	
Siouan-Catawban	SUCCESS	GA: converged after 1189 iterations out of 10000 with residual SSE error 16.5476778326181	((('Hidatsa [i-hid][w-hid][a-1606][g-hida1246]':1.44,'Crow [i-cro][w-cro][a-1184][g-crow1244]':2.33)'Missouri River Siouan [i-][w-][a-][g-]':4.73,(('Osage [i-osa][w-osa][a-2259][g-osag1243]':11,'Omaha-Ponca [i-oma][w-omh][a-2248][g-omah1247]':4.64)'Dhegihan [i-][w-][a-][g-]':0.173,'Lakota [i-lkt][w-lkt][a-156][g-lako1247]':13)'Mississippi Valley Siouan [i-][w-][a-][g-]':0.132,'Mandan [i-mhq][w-mdn][a-1993][g-mand1446]':10.3)'Siouan [i-][w-][a-][g-]':0.437,'Catawba [i-chc][w-ctw][a-1135][g-cata1286]':0.23)'Siouan-Catawban [i-][w-][a-][g-]';
Altaic	SUCCESS	GA: converged after 1434 iterations out of 10000 with residual SSE error 128.80949735806	(((('Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':7.67,'Bashkort [i-bak][w-bsk][a-1094][g-bash1264]':1.36)'Uralian [i-][w-][a-][g-]':3.56,('Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':9.06,'Karaim [i-kdr][w-krm][a-1726][g-kara1464]':8.72)'Ponto-Caspian [i-][w-][a-][g-]':6.62,('Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':8.65,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':8.06)'Aralo-Caspian [i-][w-][a-][g-]':5.66)'Western [i-][w-][a-][g-]':1.57,('Turkish [i-tur][w-tur][a-502][g-nucl1301]':4.47,'Azerbaijani. South [i-azb][w-aze-azi][a-954][g-sout2697]':8.18)'Southern [i-][w-][a-][g-]':1.4,('Yakut [i-sah][w-ykt][a-2662][g-yaku1245]':3.47,'Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]':4.27,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':6.47,'Khakas [i-kjh][w-khk][a-1763][g-khak1248]':2.02,'Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':6.26)'Northern [i-][w-][a-][g-]':2.58,'Chuvash [i-chv][w-chv][a-57][g-chuv1255]':6.61)'Turkic [i-][w-][a-][g-]':0.0095,('Udihe [i-ude][w-udh][a-2657][g-udih1248]':10.7,('Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':8.12,'Even [i-eve][w-evn][a-738][g-even1260]':6.77)'Northern [i-][w-][a-][g-]':2.2)'Tungusic [i-][w-][a-][g-]':1.51,(('Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':6.16,'Buriat. Mongolia [i-bxm][w-but][a-][g-mong1330]':4.46)'Khalkha-Buriat [i-][w-][a-][g-]':2.28,'Daur [i-dta][w-dgr][a-1416][g-daur1238]':5.49)'Eastern [i-][w-][a-][g-]':1.5)'Altaic [i-][w-][a-][g-]';
East New Britain	FAIL	GA: the maximum distance in the distances matrix is 0.0	
