Family	Success	Comments	Tree
Afro-Asiatic	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
East Bird`s Head-Sentani	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Mapudungu	FAIL	NJ: the distances matrix is too small	
Sino-Tibetan	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Algic	SUCCESS	NJ	('Potawatomi [i-pot][w-pot][a-2324][g-pota1247]':0.724,('Montagnais [i-moe][w-mtg][a-2051][g-mont1268]':0.266,'Wampanoag [i-wam][w-mtt][a-2700][g-wamp1249]':0.202):0.212,((((((((('Ojibwa. Severn [i-ojs][w-ojs][a-2245][g-seve1240]':0.124,'Yurok [i-yur][w-yur][a-428][g-yuro1248]':0.344):0.358,'Shawnee [i-sjw][w-shw][a-2435][g-shaw1249]':0):0.308,'Wiyot [i-wiy][w-wiy][a-412][g-wiyo1248]':0.25):0.343,'Powhatan [i-pim][w-pow][a-2295][g-powh1243]':0.197):0.255,'Naskapi [i-nsk][w-nsk][a-2204][g-nask1242]':0.213):0.247,'Algonquin [i-alq][w-alg][a-876][g-algo1255]':0.221):0.243,'Abenaki. Western [i-abe][w-abw][a-822][g-west2630]':0.225):0.244,((((('Blackfoot [i-bla][w-bla][a-1036][g-siks1238]':0.259,'Cheyenne [i-chy][w-cyn][a-1142][g-chey1247]':0.209):0.412,'Menominee [i-mez][w-men][a-1973][g-meno1252]':0.114):0.332,'Miami [i-mia][w-ill][a-1999][g-miam1252]':0.167):0.275,'Micmac [i-mic][w-mic][a-2001][g-mikm1235]':0.198):0.252,'Malecite-Passamaquoddy [i-pqm][w-psm][a-563][g-male1292]':0.225):0.248):0.291,((((('Atikamekw [i-atj][w-ati][a-2551][g-atik1240]':0.13,'Ojibwa. Western [i-ojw][w-][a-1253][g-west1510]':0.338):0.411,'Nanticoke [i-nnt][w-nnt][a-2191][g-nant1249]':0.0568):0.285,'Arapaho [i-arp][w-aho][a-923][g-arap1274]':0.11):0.278,'Chippewa [i-ciw][w-cpw-ojm][a-1252][g-chip1241]':0.138):0.295,'Ojibwa. Central [i-ojc][w-][a-3069][g-cent2136]':0.129):0.24):0.281);
Bauzi	FAIL	NJ: the distances matrix is too small	
Mascoy	FAIL	NJ: the distances matrix is too small	
Siouan-Catawban	SUCCESS	NJ	(((((('Dakota [i-dak][w-dak][a-1316][g-dako1258]':0.142,'Stoney [i-sto][w-sto][a-2490][g-ston1242]':0.157):0.203,'Osage [i-osa][w-osa][a-2259][g-osag1243]':0.103):0.259,(('Ho-Chunk [i-win][w-wnb][a-479][g-hoch1243]':0.299,'Lakota [i-lkt][w-lkt][a-156][g-lako1247]':0):0.293,'Iowa-Oto [i-iow][w-oto][a-1649][g-iowa1245]':0.857):0.256):0.185,'Hidatsa [i-hid][w-hid][a-1606][g-hida1246]':0.0942):0.181,'Crow [i-cro][w-cro][a-1184][g-crow1244]':0.133):0.213,('Assiniboine [i-asb][w-][a-2897][g-assi1247]':0.0934,'Mandan [i-mhq][w-mdn][a-1993][g-mand1446]':0.205):0.187,('Catawba [i-chc][w-ctw][a-1135][g-cata1286]':0.134,'Omaha-Ponca [i-oma][w-omh][a-2248][g-omah1247]':0.165):0.172);
Altaic	SUCCESS	NJ	(('Krimchak [i-jct][w-][a-1444][g-krym1236]':0.164,'Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':0.247):0.223,((((((('Karagas [i-kim][w-tof][a-719][g-kara1462]':0.0236,'Manchu [i-mnc][w-mnc][a-2015][g-manc1252]':0.387):0.081,'Khalaj. Turkic [i-klj][w-khl][a-670][g-turk1303]':0.297):0.258,'Mongolian. Peripheral [i-mvf][w-ord][a-2102-2895][g-peri1253]':0.0936):0.293,'Yugur. East [i-yuy][w-shy][a-2798][g-east2337]':0.138):0.245,(((((('Kyrgyz [i-kir][w-kfy-kgz][a-1339-1725][g-kirg1245]':0.411,'Turkish [i-tur][w-tur][a-502][g-nucl1301]':0):0.323,'Gagauz [i-gag][w-gag][a-1516][g-gaga1249]':0.162):0.434,'Azerbaijani. South [i-azb][w-aze-azi][a-954][g-sout2697]':0.0739):0.304,(('Oroch [i-oac][w-orc][a-2239][g-oroc1248]':0.395,'Udihe [i-ude][w-udh][a-2657][g-udih1248]':0.216):0.234,(('Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':0.205,'Ulch [i-ulc][w-ulc][a-2663][g-ulch1241]':0.205):0.236,'Negidal [i-neg][w-neg][a-2153][g-negi1245]':0.175):0.351):0.263):0.37,'Mogholi [i-mhj][w-mog][a-2029][g-mogh1245]':0.152):0.237,(('Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':0.205,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':0.205):0.218,'Karachay-Balkar [i-krc][w-krc][a-124][g-kara1465]':0.193):0.228):0.204):0.277,((('Crimean Tatar [i-crh][w-cri][a-1181][g-crim1257]':0.207,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':0.204):0.214,'Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':0.197):0.235,'Kalmyk-Oirat [i-xal][w-kiq-kmk-oir][a-1341-1342][g-kalm1243]':0.176):0.214):0.24,'Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':0.183):0.214,(((('Khorasani Turkish [i-kmz][w-tex-twx][a-1345-1346][g-khor1269]':0.168,'Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':0.243):0.212,(('Ainu [i-aib][w-ayn][a-861][g-ainu1251]':0.181,'Tu [i-mjg][w-mgg][a-2016][g-tuuu1240]':0.23):0.231,'Urum [i-uum][w-urm][a-2677][g-urum1249]':0.155):0.225):0.215,'Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':0.183):0.213,(((('Karaim [i-kdr][w-krm][a-1726][g-kara1464]':0.256,'Salar [i-slr][w-slr][a-2445][g-sala1264]':0.155):0.266,'Yugur. West [i-ybe][w-syg][a-2766][g-west2402]':0.145):0.221,'Turkmen [i-tuk][w-tkm][a-2534][g-turk1304]':0.222):0.218,'Chulym [i-clw][w-cly][a-1141][g-chul1246]':0.178):0.219):0.208);
East New Britain	FAIL	NJ: the distances matrix is too small	
