Family	Success	Comments	Tree
Afro-Asiatic	FAIL	NJ: the distances matrix has too few non-missing data	
East Bird`s Head-Sentani	SUCCESS	NJ	('Tabla [i-tnm][w-tbl][a-2594][g-tabl1243]':145,'Sentani [i-set][w-snt][a-350][g-nucl1632]':5.65,('Manikion [i-mnx][w-sgb][a-2048][g-mani1235]':7.69,'Meyah [i-mej][w-mea][a-1967][g-meya1236]':0):23.8);
Mapudungu	FAIL	NJ: the distances matrix is too small	
Sino-Tibetan	FAIL	NJ: the distances matrix has too few non-missing data	
Algic	FAIL	NJ: the distances matrix has too few non-missing data	
Bauzi	FAIL	NJ: the distances matrix is too small	
Mascoy	FAIL	NJ: the distances matrix is too small	
Siouan-Catawban	FAIL	NJ: the distances matrix has too few non-missing data	
Altaic	SUCCESS	NJ	(((((('Even [i-eve][w-evn][a-738][g-even1260]':6.63,'Negidal [i-neg][w-neg][a-2153][g-negi1245]':5.36):7.16,'Oroch [i-oac][w-orc][a-2239][g-oroc1248]':4.83):8.6,'Bonan [i-peh][w-bao][a-2285][g-bona1250]':8.31):5.91,(('Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':5.07,'Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':6.91):9.15,(('Nanai [i-gld][w-nai][a-201][g-nana1257]':4.79,'Udihe [i-ude][w-udh][a-2657][g-udih1248]':7.19):7.16,'Ulch [i-ulc][w-ulc][a-2663][g-ulch1241]':4.82):7.05):7.76):7.81,'Orok [i-oaa][w-ork][a-2238][g-orok1265]':8.36):14.4,((((('Azerbaijani. South [i-azb][w-aze-azi][a-954][g-sout2697]':5.34,'Kyrgyz [i-kir][w-kfy-kgz][a-1339-1725][g-kirg1245]':6.64):5.93,'Gagauz [i-gag][w-gag][a-1516][g-gaga1249]':6.05):9.21,'Chuvash [i-chv][w-chv][a-57][g-chuv1255]':5.42):7.41,'Ainu [i-aib][w-ayn][a-861][g-ainu1251]':2.07):11.7,'Yakut [i-sah][w-ykt][a-2662][g-yaku1245]':6.03):7.85,(((((((('Kalmyk-Oirat [i-xal][w-kiq-kmk-oir][a-1341-1342][g-kalm1243]':2.52,'Karachay-Balkar [i-krc][w-krc][a-124][g-kara1465]':9.46):5.61,('Bashkort [i-bak][w-bsk][a-1094][g-bash1264]':6.41,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':5.57):9.3):7.38,(((((((('Crimean Tatar [i-crh][w-cri][a-1181][g-crim1257]':6.6,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':5.38):7.27,'Tu [i-mjg][w-mgg][a-2016][g-tuuu1240]':4.71):8.21,'Salar [i-slr][w-slr][a-2445][g-sala1264]':3.77):4.21,'Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':4.89):9.08,('Daur [i-dta][w-dgr][a-1416][g-daur1238]':6.9,'Turkmen [i-tuk][w-tkm][a-2534][g-turk1304]':5.08):6.38):8.68,'Khorasani Turkish [i-kmz][w-tex-twx][a-1345-1346][g-khor1269]':2.46):6.92,(('Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':4.88,'Mogholi [i-mhj][w-mog][a-2029][g-mogh1245]':7.11):8.08,'Dongxiang [i-sce][w-sta][a-2400][g-dong1285]':3.91):8.46):6.65,'Karagas [i-kim][w-tof][a-719][g-kara1462]':3.63):6.9):6.23,('Chulym [i-clw][w-cly][a-1141][g-chul1246]':3.22,'Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]':8.76):6.81):6.91,(((('Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':7.39,'Yugur. East [i-yuy][w-shy][a-2798][g-east2337]':4.59):9.12,'Uzbek. Northern [i-uzn][w-kym-uzb-uzn][a-][g-nort2690-uzbe1247]':1.47):6.71,((('Karaim [i-kdr][w-krm][a-1726][g-kara1464]':7.14,'Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':4.84):5.85,'Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':6.13):11,'Yugur. West [i-ybe][w-syg][a-2766][g-west2402]':0.964):7.95):6.55,(('Buriat. Mongolia [i-bxm][w-but][a-][g-mong1330]':7.04,'Khalaj. Turkic [i-klj][w-khl][a-670][g-turk1303]':4.94):9.61,'Urum [i-uum][w-urm][a-2677][g-urum1249]':1.32):6.86):7.24):6.43,(('Khakas [i-kjh][w-khk][a-1763][g-khak1248]':3.71,'Manchu [i-mnc][w-mnc][a-2015][g-manc1252]':8.27):8.22,'Uyghur [i-uig][w-uyg][a-611][g-uigh1240]':4.79):7.83):7,('Karakalpak [i-kaa][w-kkp][a-1695][g-kara1467]':5.38,'Turkish [i-tur][w-tur][a-502][g-nucl1301]':12.9):8.56):6.46,'Mongolian. Peripheral [i-mvf][w-ord][a-2102-2895][g-peri1253]':0):6.2);
East New Britain	FAIL	NJ: the distances matrix has too few non-missing data	
Matacoan	SUCCESS	NJ	('Wichi Lhamtes Guisnay [i-mzh][w-wch][a-2124][g-wich1264]':18.4,'Nivacle [i-cag][w-chu][a-1109][g-niva1238]':18.4,'Maka [i-mca][w-mca][a-477][g-maca1260]':0);
Skou	SUCCESS	NJ	('Vanimo [i-vam][w-dum][a-395][g-vani1248]':0.611,'Isaka [i-ksi][w-isa][a-307][g-kris1246]':5.09,(('Skou [i-skv][w-sko][a-2440-2849][g-nucl1634]':0.863,'Warapu [i-wra][w-brp][a-3198][g-wara1302]':7.09):8.15,'Rawo [i-rwa][w-pok][a-2390][g-rawo1244]':15.1):3.86);
Amto-Musan	FAIL	NJ: the distances matrix is too small	
Eastern Trans-Fly	FAIL	NJ: the distances matrix is too small	
Maxakalian	FAIL	NJ: the distances matrix is too small	
Somahai	FAIL	NJ: the distances matrix is too small	
Andamanese	FAIL	NJ: the distances matrix has too few non-missing data	
Eskimo-Aleut	FAIL	NJ: the distances matrix has too few non-missing data	
Mayan	FAIL	NJ: the distances matrix has too few non-missing data	
South Bougainville	SUCCESS	NJ	('Terei [i-buo][w-bun][a-1084][g-tere1278]':6.83,'Siwai [i-siw][w-mot][a-191][g-siwa1245]':6.42,'Naasioi [i-nas][w-nas][a-440][g-naas1242]':15.9);
Arafundi	FAIL	NJ: the distances matrix is too small	
Eyak-Athabaskan	FAIL	NJ: the distances matrix has too few non-missing data	
Maybrat	FAIL	NJ: the distances matrix is too small	
South-Central Papuan	FAIL	NJ: the distances matrix has too few non-missing data	
Arai {Left May}	FAIL	NJ: the distances matrix is too small	
Fas	FAIL	NJ: the distances matrix is too small	
Misumalpan	FAIL	NJ: the distances matrix is too small	
Tacanan	SUCCESS	NJ	('Tacana [i-tna][w-tac][a-2590][g-taca1256]':6.81,'Cavinena [i-cav][w-cav][a-1116][g-cavi1250]':14.3,('Araona [i-aro][w-ana][a-620][g-arao1248]':9.24,'Ese Ejja [i-ese][w-ese][a-1477][g-esee1248]':10.2):1.46);
Jamamadi	FAIL	NJ: the distances matrix has too few non-missing data	
Guajibo	SUCCESS	NJ	('Guayabero [i-guo][w-gyb][a-1571][g-guay1257]':0,'Guahibo [i-guh][w-ghb-skn][a-1311-1568][g-guah1255]':0,(('Macaguan [i-mbn][w-mcg][a-1939][g-maca1259]':0,'Playero [i-gob][w-pla][a-1555][g-play1240]':0):0,'Cuiba [i-cui][w-cui][a-1201][g-cuib1242]':0):0);
Miwok-Costanoan	FAIL	NJ: the distances matrix has too few non-missing data	
Tai-Kadai	FAIL	NJ: the distances matrix has too few non-missing data	
Australian	FAIL	NJ: the distances matrix has too few non-missing data	
Guaykuruan	SUCCESS	NJ	('Toba [i-tob][w-tob][a-2596][g-toba1269]':12.6,('Abipon [i-axb][w-abi][a-582][g-abip1241]':9.06,'Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':1.21):2.15,('Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':4.18,'Pilaga [i-plg][w-pga][a-2306][g-pila1245]':4.65):1.9);
Mixe-Zoquean	FAIL	NJ: the distances matrix has too few non-missing data	
Takelman	FAIL	NJ: too few languages	
Austro-Asiatic	FAIL	NJ: the distances matrix has too few non-missing data	
Haida	FAIL	NJ: the distances matrix is too small	
Mixed language	FAIL	NJ: the distances matrix is too small	
Tarascan	FAIL	NJ: the distances matrix is too small	
Austronesian	FAIL	NJ: the distances matrix has too few non-missing data	
Harakmbut	FAIL	NJ: the distances matrix is too small	
Mongol-Langam	FAIL	NJ: the distances matrix is too small	
Tequistlatecan	FAIL	NJ: the distances matrix is too small	
Aymaran	FAIL	NJ: the distances matrix is too small	
