Family	Success	Comments	Tree
Afro-Asiatic	FAIL	NJ: the distances matrix has too few non-missing data	
East Bird`s Head-Sentani	SUCCESS	NJ	('Meyah [i-mej][w-mea][a-1967][g-meya1236]':0.00152,'Manikion [i-mnx][w-sgb][a-2048][g-mani1235]':0,('Sentani [i-set][w-snt][a-350][g-nucl1632]':0.157,'Tabla [i-tnm][w-tbl][a-2594][g-tabl1243]':0.244):0.533);
Mapudungu	FAIL	NJ: the distances matrix is too small	
Sino-Tibetan	FAIL	NJ: the distances matrix has too few non-missing data	
Algic	FAIL	NJ: the distances matrix has too few non-missing data	
Bauzi	FAIL	NJ: the distances matrix is too small	
Mascoy	FAIL	NJ: the distances matrix is too small	
Siouan-Catawban	FAIL	NJ: the distances matrix has too few non-missing data	
Altaic	SUCCESS	NJ	((((((((((('Gagauz [i-gag][w-gag][a-1516][g-gaga1249]':0.0224,'Kyrgyz [i-kir][w-kfy-kgz][a-1339-1725][g-kirg1245]':0.303):0.325,'Azerbaijani. South [i-azb][w-aze-azi][a-954][g-sout2697]':0.00111):0.316,'Chuvash [i-chv][w-chv][a-57][g-chuv1255]':0.0768):0.249,'Turkish [i-tur][w-tur][a-502][g-nucl1301]':0.209):0.26,('Even [i-eve][w-evn][a-738][g-even1260]':0.204,'Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':0.193):0.331):0.155,'Mongolian. Peripheral [i-mvf][w-ord][a-2102-2895][g-peri1253]':0):0.302,(((((('Nanai [i-gld][w-nai][a-201][g-nana1257]':0.106,'Orok [i-oaa][w-ork][a-2238][g-orok1265]':0.22):0.143,(((('Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':0.161,'Oroch [i-oac][w-orc][a-2239][g-oroc1248]':0.165):0.164,'Ulch [i-ulc][w-ulc][a-2663][g-ulch1241]':0.162):0.239,'Negidal [i-neg][w-neg][a-2153][g-negi1245]':0.0873):0.253,'Bonan [i-peh][w-bao][a-2285][g-bona1250]':0.0728):0.316):0.256,'Udihe [i-ude][w-udh][a-2657][g-udih1248]':0.198):0.155,'Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':0.136):0.205,'Ainu [i-aib][w-ayn][a-861][g-ainu1251]':0.0937):0.379,'Daur [i-dta][w-dgr][a-1416][g-daur1238]':0.0791):0.176):0.21,'Khakas [i-kjh][w-khk][a-1763][g-khak1248]':0.0661):0.228,'Yakut [i-sah][w-ykt][a-2662][g-yaku1245]':0.15):0.217,'Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]':0.185):0.205,((('Karakalpak [i-kaa][w-kkp][a-1695][g-kara1467]':0.16,'Manchu [i-mnc][w-mnc][a-2015][g-manc1252]':0.166):0.2,'Uzbek. Northern [i-uzn][w-kym-uzb-uzn][a-][g-nort2690-uzbe1247]':0.129):0.167,((('Buriat. Mongolia [i-bxm][w-but][a-][g-mong1330]':0.161,'Khalaj. Turkic [i-klj][w-khl][a-670][g-turk1303]':0.165):0.181,'Karaim [i-kdr][w-krm][a-1726][g-kara1464]':0.147):0.207,'Uyghur [i-uig][w-uyg][a-611][g-uigh1240]':0.148):0.182):0.173,(((((('Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':0.14,'Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':0.186):0.201,'Urum [i-uum][w-urm][a-2677][g-urum1249]':0.125):0.169,(('Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':0.0578,'Yugur. East [i-yuy][w-shy][a-2798][g-east2337]':0.268):0.261,'Turkmen [i-tuk][w-tkm][a-2534][g-turk1304]':0.11):0.217):0.176,(((((('Crimean Tatar [i-crh][w-cri][a-1181][g-crim1257]':0.159,'Mogholi [i-mhj][w-mog][a-2029][g-mogh1245]':0.166):0.192,'Dongxiang [i-sce][w-sta][a-2400][g-dong1285]':0.134):0.221,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':0.189):0.183,'Karagas [i-kim][w-tof][a-719][g-kara1462]':0.102):0.182,((((('Karachay-Balkar [i-krc][w-krc][a-124][g-kara1465]':0.18,'Salar [i-slr][w-slr][a-2445][g-sala1264]':0.146):0.183,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':0.143):0.173,'Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':0.153):0.193,'Tu [i-mjg][w-mgg][a-2016][g-tuuu1240]':0.182):0.219,'Chulym [i-clw][w-cly][a-1141][g-chul1246]':0.0817):0.191):0.181,'Khorasani Turkish [i-kmz][w-tex-twx][a-1345-1346][g-khor1269]':0.121):0.177):0.168,('Bashkort [i-bak][w-bsk][a-1094][g-bash1264]':0.211,'Kalmyk-Oirat [i-xal][w-kiq-kmk-oir][a-1341-1342][g-kalm1243]':0.114):0.185):0.167,'Yugur. West [i-ybe][w-syg][a-2766][g-west2402]':0.134):0.167);
East New Britain	FAIL	NJ: the distances matrix has too few non-missing data	
Matacoan	SUCCESS	NJ	('Wichi Lhamtes Guisnay [i-mzh][w-wch][a-2124][g-wich1264]':0.286,'Nivacle [i-cag][w-chu][a-1109][g-niva1238]':0.286,'Maka [i-mca][w-mca][a-477][g-maca1260]':0);
Skou	SUCCESS	NJ	('Rawo [i-rwa][w-pok][a-2390][g-rawo1244]':0.232,('Skou [i-skv][w-sko][a-2440-2849][g-nucl1634]':0.0593,'Warapu [i-wra][w-brp][a-3198][g-wara1302]':0.191):0.112,('Isaka [i-ksi][w-isa][a-307][g-kris1246]':0.0731,'Vanimo [i-vam][w-dum][a-395][g-vani1248]':0.0139):0.0255);
Amto-Musan	FAIL	NJ: the distances matrix is too small	
Eastern Trans-Fly	FAIL	NJ: the distances matrix is too small	
Maxakalian	FAIL	NJ: the distances matrix is too small	
Somahai	FAIL	NJ: the distances matrix is too small	
Andamanese	FAIL	NJ: the distances matrix has too few non-missing data	
Eskimo-Aleut	FAIL	NJ: the distances matrix has too few non-missing data	
Mayan	FAIL	NJ: the distances matrix has too few non-missing data	
South Bougainville	SUCCESS	NJ	('Terei [i-buo][w-bun][a-1084][g-tere1278]':0.152,'Siwai [i-siw][w-mot][a-191][g-siwa1245]':0.181,'Naasioi [i-nas][w-nas][a-440][g-naas1242]':0.348);
Arafundi	FAIL	NJ: the distances matrix is too small	
Eyak-Athabaskan	FAIL	NJ: the distances matrix has too few non-missing data	
Maybrat	FAIL	NJ: the distances matrix is too small	
South-Central Papuan	FAIL	NJ: the distances matrix has too few non-missing data	
Arai {Left May}	FAIL	NJ: the distances matrix is too small	
Fas	FAIL	NJ: the distances matrix is too small	
Misumalpan	FAIL	NJ: the distances matrix is too small	
Tacanan	SUCCESS	NJ	('Ese Ejja [i-ese][w-ese][a-1477][g-esee1248]':0.176,'Araona [i-aro][w-ana][a-620][g-arao1248]':0.252,('Cavinena [i-cav][w-cav][a-1116][g-cavi1250]':0.252,'Tacana [i-tna][w-tac][a-2590][g-taca1256]':0.111):0.0184);
Jamamadi	FAIL	NJ: the distances matrix has too few non-missing data	
Guajibo	SUCCESS	NJ	('Guayabero [i-guo][w-gyb][a-1571][g-guay1257]':0,'Guahibo [i-guh][w-ghb-skn][a-1311-1568][g-guah1255]':0,(('Macaguan [i-mbn][w-mcg][a-1939][g-maca1259]':0,'Playero [i-gob][w-pla][a-1555][g-play1240]':0):0,'Cuiba [i-cui][w-cui][a-1201][g-cuib1242]':0):0);
Miwok-Costanoan	FAIL	NJ: the distances matrix has too few non-missing data	
Tai-Kadai	FAIL	NJ: the distances matrix has too few non-missing data	
Australian	FAIL	NJ: the distances matrix has too few non-missing data	
Guaykuruan	SUCCESS	NJ	('Toba [i-tob][w-tob][a-2596][g-toba1269]':0.167,('Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':0.00339,'Pilaga [i-plg][w-pga][a-2306][g-pila1245]':0.106):0.0585,('Abipon [i-axb][w-abi][a-582][g-abip1241]':0.295,'Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':0):0.0396);
Mixe-Zoquean	FAIL	NJ: the distances matrix has too few non-missing data	
Takelman	FAIL	NJ: too few languages	
Austro-Asiatic	FAIL	NJ: the distances matrix has too few non-missing data	
Haida	FAIL	NJ: the distances matrix is too small	
Mixed language	FAIL	NJ: the distances matrix is too small	
Tarascan	FAIL	NJ: the distances matrix is too small	
Austronesian	FAIL	NJ: the distances matrix has too few non-missing data	
Harakmbut	FAIL	NJ: the distances matrix is too small	
Mongol-Langam	FAIL	NJ: the distances matrix is too small	
Tequistlatecan	FAIL	NJ: the distances matrix is too small	
Aymaran	FAIL	NJ: the distances matrix is too small	
Hmong-Mien	FAIL	NJ: the distances matrix has too few non-missing data	
Mosetenan	FAIL	NJ: too few languages	
Tiniguan	FAIL	NJ: too few languages	
Barbacoan	SUCCESS	NJ	('Colorado [i-cof][w-tsf][a-471][g-colo1256]':0.0316,'Chachi [i-cbi][w-cay][a-1123][g-chac1249]':0.0373,'Awa-Cuaiquer [i-kwi][w-awp][a-469][g-awac1239]':0.402);
Huavean	FAIL	NJ: the distances matrix is too small	
Muran	FAIL	NJ: too few languages	
Tor-Kwerba	FAIL	NJ: the distances matrix has too few non-missing data	
Bayono-Awbono	FAIL	NJ: the distances matrix is too small	
Indo-European	FAIL	NJ: the distances matrix has too few non-missing data	
Muskogean	SUCCESS	NJ	('Choctaw [i-cho][w-cct][a-54][g-choc1276]':0.259,('Chickasaw [i-cic][w-cck][a-1143][g-chic1270]':0.154,'Mikasuki [i-mik][w-mki][a-2007][g-mika1239]':0.0433):0.196,(('Alabama [i-akz][w-abm][a-618][g-alab1237]':0,'Muskogee [i-mus][w-crk-smn][a-1182-1255][g-cree1270]':0.197):0.178,'Koasati [i-cku][w-koa][a-135][g-koas1236]':0.152):0.148);
Torricelli	FAIL	NJ: the distances matrix has too few non-missing data	
Border	FAIL	NJ: the distances matrix has too few non-missing data	
Iroquoian	SUCCESS	NJ	('Wyandot [i-wya][w-wya][a-2743][g-wyan1247]':0.404,(('Oneida [i-one][w-ond][a-461][g-onei1249]':0.253,'Onondaga [i-ono][w-onn][a-2252][g-onon1246]':0.221):0.28,'Mohawk [i-moh][w-moh][a-2054][g-moha1258]':0.277):0.326,((('Cayuga [i-cay][w-cyg][a-1118][g-cayu1261]':0.724,'Seneca [i-see][w-snc][a-349][g-sene1264]':0):0.54,'Tuscarora [i-tus][w-tus][a-2639][g-tusc1257]':0.254):0.32,'Cherokee [i-chr][w-che][a-1134][g-cher1273]':0.433):0.288);
Nambiquaran	FAIL	NJ: the distances matrix is too small	
Totonacan	FAIL	NJ: the distances matrix has too few non-missing data	
Bororoan	FAIL	NJ: the distances matrix is too small	
Jabutian	FAIL	NJ: the distances matrix is too small	
Niger-Congo	FAIL	NJ: the distances matrix has too few non-missing data	
Trans-New Guinea	FAIL	NJ: the distances matrix has too few non-missing data	
Botocudoan	FAIL	NJ: too few languages	
Japonic	FAIL	NJ: the distances matrix is too small	
