Family	Success	Comments	Tree
Afro-Asiatic	SUCCESS	NNLS	(((('Soqotri [i-sqt][w-soq][a-2469][g-soqo1240]':0.01,'Shehri [i-shv][w-jib][a-2425][g-sheh1240]':0.01,'Mehri [i-gdq][w-meh][a-1994][g-mehr1241]':0.01,'Harsusi [i-hss][w-hrs][a-1618][g-hars1241]':0.01,'Bathari [i-bhm][w-bth][a-1354][g-bath1244]':0.01)'South Arabian [i-][w-][a-][g-]':0.0586,('Amharic [i-amh][w-amh][a-21][g-amha1245]':0.0686,('Sebat Bet Gurage [i-sgw][w-chh-muh][a-1313-1314-3044][g-seba1251]':0,'Kistane [i-gru][w-sod][a-1562][g-kist1241]':0)'Outer [i-][w-][a-][g-]':0.0686)'South [i-][w-][a-][g-]':0)'South [i-][w-][a-][g-]':0,(('Maltese [i-mlt][w-mlt][a-2033][g-malt1254]':0.0455,'Arabic. Moroccan Spoken [i-ary][w-amr][a-928][g-moro1292]':0.0455,'Arabic. Egyptian Spoken [i-arz][w-aeg][a-642][g-egyp1253]':0.0455)'Arabic [i-][w-][a-][g-]':0,'Mandaic [i-mid][w-mma][a-2002][g-nucl1706]':0.0455)'Central [i-][w-][a-][g-]':0.0231)'Semitic [i-][w-][a-][g-]':0.108,('Iraqw [i-irk][w-irq][a-534][g-iraq1241]':0.16,'Bedawiyet [i-bej][w-bej][a-34][g-beja1238]':0.16,('Somali [i-som][w-som][a-355][g-soma1255]':0.16,'Oromo. Eastern [i-hae][w-orh][a-324][g-east2652]':0.16)'East [i-][w-][a-][g-]':0)'Cushitic [i-][w-][a-][g-]':0.0161,('Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]':0.101,'Hausa [i-hau][w-hau][a-98][g-haus1257]':0.101)'West [i-][w-][a-][g-]':0.0753,'Tachelhit [i-shi][w-tas][a-2421-2969][g-tach1250]':0.176)'Afro-Asiatic [i-][w-][a-][g-]';
East Bird`s Head-Sentani	SUCCESS	NNLS	(('Tabla [i-tnm][w-tbl][a-2594][g-tabl1243]':0.0172,'Sentani [i-set][w-snt][a-350][g-nucl1632]':0.0172)'Sentani Proper [i-][w-][a-][g-]':0.299,('Meyah [i-mej][w-mea][a-1967][g-meya1236]':0,'Manikion [i-mnx][w-sgb][a-2048][g-mani1235]':0)'East Bird<U+FFFD><U+FFFD><U+FFFD>s Head [i-][w-][a-][g-]':0.316)'East Bird`s Head-Sentani [i-][w-][a-][g-]';
Mapudungu	FAIL	NNLS: the distances matrix is too small	
Sino-Tibetan	SUCCESS	NNLS	(((('Wayu [i-vay][w-hay][a-632][g-wayu1241]':0.00499,'Wambule [i-wme][w-wme][a-2865][g-wamb1257]':0.00499,'Sunwar [i-suz][w-][a-2956][g-sunw1242]':0.00499,'Koi [i-kkt][w-][a-2980][g-koii1238]':0.00499,'Jerung [i-jee][w-][a-2998][g-jeru1240]':0.00499,'Dumi [i-dus][w-dmi][a-1439][g-dumi1241]':0.00499,'Bahing [i-bhj][w-][a-3007][g-bahi1252]':0.00499)'Western [i-][w-][a-][g-]':0.0692,('Yamphu [i-ybi][w--ybi][a-637-][g-sout2734-yamp1242]':0.0742,'Yakkha [i-ybh][w-][a-2996][g-yakk1236]':0.0742,'Puma [i-pum][w-][a-2863][g-puma1239]':0.0742,'Lohorung [i-lbr][w-][a-3010][g-nort2727]':0.0742,'Limbu [i-lif][w-lim][a-674][g-limb1266]':0.0742,'Kulung [i-kle][w-klg][a-1775][g-kulu1253]':0.0742,'Chhintang [i-ctn][w-][a-2862][g-chhi1245]':0.0742,'Chamling [i-rab][w-cml][a-2360][g-caml1239]':0.0742,'Belhariya [i-byw][w-bel][a-35][g-belh1239]':0.0742,'Bantawa [i-bap][w-][a-2873][g-bant1281]':0.0742,'Athpariya [i-aph][w-ath][a-908][g-athp1241]':0.0742)'Eastern [i-][w-][a-][g-]':0)'Kiranti [i-][w-][a-][g-]':0.098,'Newar [i-new][w-new-nwd][a-468-640][g-newa1246]':0.172)'Himalayan [i-][w-][a-][g-]':0.00799,('Darmiya [i-drd][w-drm][a-1388][g-darm1243]':0.138,'Sherpa [i-xsr][w-she][a-2402][g-sher1255]':0.138)'Bodish [i-][w-][a-][g-]':0.0418)'Western Tibeto-Burman [i-][w-][a-][g-]';
Algic	SUCCESS	NNLS	(('Yurok [i-yur][w-yur][a-428][g-yuro1248]':0.0899,'Wiyot [i-wiy][w-wiy][a-412][g-wiyo1248]':0.0899)'Ritwan [i-][w-][a-][g-]':0.187,(('Potawatomi [i-pot][w-pot][a-2324][g-pota1247]':0.246,'Ojibwa. Eastern [i-ojg][w-oji][a-2244][g-east2542]':0.246)'Ojibwa-Potawatomi [i-][w-][a-][g-]':0,('Meskwaki [i-sac][w-fox][a-694][g-mesk1242]':0.167,'Kickapoo [i-kic][w-kic][a-1754][g-kick1244]':0.167)'Fox [i-][w-][a-][g-]':0.0789,('Munsee [i-umu][w-mse][a-2668][g-muns1251]':0.133,'Malecite-Passamaquoddy [i-pqm][w-psm][a-563][g-male1292]':0.133)'Eastern Algonquian [i-][w-][a-][g-]':0.112,'Montagnais [i-moe][w-mtg][a-2051][g-mont1268]':0.246,'Blackfoot [i-bla][w-bla][a-1036][g-siks1238]':0.246)'Algonquian [i-][w-][a-][g-]':0.0315)'Algic [i-][w-][a-][g-]';
Bauzi	FAIL	NNLS: the distances matrix is too small	
Mascoy	FAIL	NNLS: the distances matrix is too small	
Siouan-Catawban	SUCCESS	NNLS	((('Hidatsa [i-hid][w-hid][a-1606][g-hida1246]':0,'Crow [i-cro][w-cro][a-1184][g-crow1244]':0)'Missouri River Siouan [i-][w-][a-][g-]':0.0618,(('Osage [i-osa][w-osa][a-2259][g-osag1243]':0.0526,'Omaha-Ponca [i-oma][w-omh][a-2248][g-omah1247]':0.0526)'Dhegihan [i-][w-][a-][g-]':0.00917,('Lakota [i-lkt][w-lkt][a-156][g-lako1247]':0.0441,'Assiniboine [i-asb][w-][a-2897][g-assi1247]':0.0441)'Dakota [i-][w-][a-][g-]':0.0177)'Mississippi Valley Siouan [i-][w-][a-][g-]':0,'Mandan [i-mhq][w-mdn][a-1993][g-mand1446]':0.0618)'Siouan [i-][w-][a-][g-]':0,'Catawba [i-chc][w-ctw][a-1135][g-cata1286]':0.0618)'Siouan-Catawban [i-][w-][a-][g-]';
Altaic	SUCCESS	NNLS	(((('Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':2.78e-17,'Chulym [i-clw][w-cly][a-1141][g-chul1246]':2.78e-17,'Bashkort [i-bak][w-bsk][a-1094][g-bash1264]':2.78e-17)'Uralian [i-][w-][a-][g-]':0.122,('Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':0.0667,'Krimchak [i-jct][w-][a-1444][g-krym1236]':0.0667,'Karaim [i-kdr][w-krm][a-1726][g-kara1464]':0.0667,'Karachay-Balkar [i-krc][w-krc][a-124][g-kara1465]':0.0667)'Ponto-Caspian [i-][w-][a-][g-]':0.0551,('Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':0.122,'Kyrgyz [i-kir][w-kfy-kgz][a-1339-1725][g-kirg1245]':0.122,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':0.122,'Karakalpak [i-kaa][w-kkp][a-1695][g-kara1467]':0.122)'Aralo-Caspian [i-][w-][a-][g-]':2.78e-17)'Western [i-][w-][a-][g-]':2.78e-17,('Turkmen [i-tuk][w-tkm][a-2534][g-turk1304]':0.122,('Turkish [i-tur][w-tur][a-502][g-nucl1301]':0.122,'Khorasani Turkish [i-kmz][w-tex-twx][a-1345-1346][g-khor1269]':0.122,'Gagauz [i-gag][w-gag][a-1516][g-gaga1249]':0.122)'Turkish [i-][w-][a-][g-]':2.78e-17,'Salar [i-slr][w-slr][a-2445][g-sala1264]':0.122,'Crimean Tatar [i-crh][w-cri][a-1181][g-crim1257]':0.122)'Southern [i-][w-][a-][g-]':2.78e-17,('Yakut [i-sah][w-ykt][a-2662][g-yaku1245]':0.0684,'Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]':0.0684,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':0.0684,'Khakas [i-kjh][w-khk][a-1763][g-khak1248]':0.0684,'Karagas [i-kim][w-tof][a-719][g-kara1462]':0.0684,'Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':0.0684,'Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':0.0684)'Northern [i-][w-][a-][g-]':0.0534,('Yugur. West [i-ybe][w-syg][a-2766][g-west2402]':2.78e-17,'Uyghur [i-uig][w-uyg][a-611][g-uigh1240]':2.78e-17)'Eastern [i-][w-][a-][g-]':0.122,'Chuvash [i-chv][w-chv][a-57][g-chuv1255]':0.122,'Urum [i-uum][w-urm][a-2677][g-urum1249]':0.122)'Turkic [i-][w-][a-][g-]':0.0499,((('Udihe [i-ude][w-udh][a-2657][g-udih1248]':0.1,'Oroch [i-oac][w-orc][a-2239][g-oroc1248]':0.1)'Udihe [i-][w-][a-][g-]':0.0402,('Ulch [i-ulc][w-ulc][a-2663][g-ulch1241]':0.14,'Orok [i-oaa][w-ork][a-2238][g-orok1265]':0.14,'Nanai [i-gld][w-nai][a-201][g-nana1257]':0.14)'Nanaj [i-][w-][a-][g-]':2.78e-17)'Southeast [i-][w-][a-][g-]':0.0314,('Negidal [i-neg][w-neg][a-2153][g-negi1245]':0.172,'Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':0.172,'Even [i-eve][w-evn][a-738][g-even1260]':0.172)'Northern [i-][w-][a-][g-]':2.78e-17)'Tungusic [i-][w-][a-][g-]':0,('Mogholi [i-mhj][w-mog][a-2029][g-mogh1245]':0.0691,(('Kalmyk-Oirat [i-xal][w-kiq-kmk-oir][a-1341-1342][g-kalm1243]':0.0645,'Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':0.0645)'Oirat-Khalkha [i-][w-][a-][g-]':2.78e-17,('Tu [i-mjg][w-mgg][a-2016][g-tuuu1240]':0.0575,'Dongxiang [i-sce][w-sta][a-2400][g-dong1285]':0.0575,'Bonan [i-peh][w-bao][a-2285][g-bona1250]':0.0575)'Mongour [i-][w-][a-][g-]':0.00707,'Daur [i-dta][w-dgr][a-1416][g-daur1238]':0.0645)'Eastern [i-][w-][a-][g-]':0.00453)'Mongolic [i-][w-][a-][g-]':0.103)'Altaic [i-][w-][a-][g-]';
East New Britain	SUCCESS	NNLS	('Taulil [i-tuh][w-tll][a-2635][g-taul1251]':0,'Mali [i-gcc][w-mli][a-1527][g-mali1284]':0)'East New Britain [i-][w-][a-][g-]';
Matacoan	SUCCESS	NNLS	(('Wich<U+FFFD><U+FFFD> Lhamt<U+FFFD><U+FFFD>s Vejoz [i-wlv][w-][a-180][g-wich1263]':0,'Wich<U+FFFD><U+FFFD> Lhamt<U+FFFD><U+FFFD>s G<U+FFFD><U+FFFD>isnay [i-mzh][w-wch][a-2124][g-wich1264]':0)'Mataco [i-][w-][a-][g-]':0.0588,'Maka [i-mca][w-mca][a-477][g-maca1260]':0.0588)'Matacoan [i-][w-][a-][g-]';
Skou	SUCCESS	NNLS	((('Rawo [i-rwa][w-pok][a-2390][g-rawo1244]':0.119,'Womo [i-wmx][w-][a-812][g-womo1238]':0.119)'Rawo-Main Serra [i-][w-][a-][g-]':0,('Skou [i-skv][w-sko][a-2440-2849][g-nucl1634]':0,'Vanimo [i-vam][w-dum][a-395][g-vani1248]':0)'Nuclear Skou [i-][w-][a-][g-]':0.119)'Skou-Serra-Piore [i-][w-][a-][g-]':0,'Isaka [i-ksi][w-isa][a-307][g-kris1246]':0.119)'Skou [i-][w-][a-][g-]';
Amto-Musan	FAIL	NNLS: the distances matrix is too small	
Eastern Trans-Fly	FAIL	NNLS: the distances matrix is too small	
Maxakalian	FAIL	NNLS: the distances matrix is too small	
Somahai	FAIL	NNLS: the distances matrix is too small	
Andamanese	SUCCESS	NNLS	('<U+FFFD><U+FFFD><U+FFFD><U+FFFD>ge [i-oon][w-ong][a-2][g-onge1236]':0.0667,'Jarawa [i-anq][w-jrw][a-899][g-jara1245]':0.0667)'South Andamanese [i-][w-][a-][g-]';
Eskimo-Aleut	SUCCESS	NNLS	(('Yupik. Pacific Gulf [i-ems][w-atq][a-2860][g-paci1278]':0.0833,'Yupik. Central [i-esu][w-ych-ypk-yun][a-1285-1286-455][g-cent2127]':0.0833)'Alaskan Yupik [i-][w-][a-][g-]':0,'Yupik. Central Siberian [i-ess][w-ysl-yus][a-1284-612][g-cent2128]':0.0833)'Yupik [i-][w-][a-][g-]';
Mayan	SUCCESS	NNLS	(((('Maya. Yucatec [i-yua][w-yct][a-682][g-yuca1254]':0.0833,'Lacandon [i-lac][w-lac][a-1861][g-laca1243]':0.0833)'Yucatec-Lacandon [i-][w-][a-][g-]':0,'Itza<U+FFFD><U+FFFD><U+FFFD> [i-itz][w-itz][a-1660][g-itza1241]':0.0833)'Yucatecan [i-][w-][a-][g-]':0.0152,('Jakalteko [i-jac][w-jak][a-460][g-popt1235]':0.0769,('Tojolabal [i-toj][w-toj][a-2598][g-tojo1241]':2.78e-17,'Chuj [i-cac][w--chj][a-1107-][g-chuj1250-chuj1249]':2.78e-17)'Chujean [i-][w-][a-][g-]':0.0769)'Q<U+FFFD><U+FFFD><U+FFFD>anjob<U+FFFD><U+FFFD><U+FFFD>alan-Chujean [i-][w-][a-][g-]':0.0216,'Ixil [i-ixl][w-][a-1665][g-ixil1251]':0.0985,('Chol [i-ctu][w-][a-1196][g-chol1282]':2.78e-17,'Chontal. Tabasco [i-chf][w-cmy][a-1136][g-taba1266]':2.78e-17)'Chol-Chontal [i-][w-][a-][g-]':0.0985)'Yucatecan-Core Mayan [i-][w-][a-][g-]':0.0361,'Huastec [i-hus][w-][a-619][g-huas1242]':0.135)'Mayan [i-][w-][a-][g-]';
South Bougainville	FAIL	NNLS: too few languages with non-missing data	
Arafundi	FAIL	NNLS: the distances matrix is too small	
Eyak-Athabaskan	SUCCESS	NNLS	('Tlingit [i-tli][w-tli][a-379][g-tlin1245]':0.311,(('Mattole [i-mvb][w-mtl][a-2100][g-matt1238]':0.0833,'Kato [i-ktw][w-kto][a-1831][g-kato1244]':0.0833,'Hupa [i-hup][w-hup][a-1621][g-hupa1239]':0.0833)'California Athabaskan [i-][w-][a-][g-]':0.0866,('Slavey. North [i-scs][w--sla][a-354-][g-nort2942-slav1253]':0.121,'Dene [i-chp][w-chp][a-1176][g-chip1261]':0.121)'Northern Athabaskan [i-][w-][a-][g-]':0.0493,('Apache. Mescalero-Chiricahua [i-apm][w-apc][a-910][g-mesc1238]':0.17,'Navajo [i-nav][w-nav][a-204][g-nava1243]':0.17)'Apachean [i-][w-][a-][g-]':0)'Athabaskan [i-][w-][a-][g-]':0.141)'Eyak-Athabaskan [i-][w-][a-][g-]';
Maybrat	FAIL	NNLS: the distances matrix is too small	
