Family	Success	Comments	Tree
Afro-Asiatic	SUCCESS	NNLS	(((('Soqotri [i-sqt][w-soq][a-2469][g-soqo1240]':0.263,'Shehri [i-shv][w-jib][a-2425][g-sheh1240]':0.263,'Mehri [i-gdq][w-meh][a-1994][g-mehr1241]':0.263,'Harsusi [i-hss][w-hrs][a-1618][g-hars1241]':0.263,'Bathari [i-bhm][w-bth][a-1354][g-bath1244]':0.263)'South Arabian [i-][w-][a-][g-]':3.92,('Amharic [i-amh][w-amh][a-21][g-amha1245]':4.18,('Sebat Bet Gurage [i-sgw][w-chh-muh][a-1313-1314-3044][g-seba1251]':0,'Kistane [i-gru][w-sod][a-1562][g-kist1241]':0)'Outer [i-][w-][a-][g-]':4.18)'South [i-][w-][a-][g-]':0)'South [i-][w-][a-][g-]':0,(('Maltese [i-mlt][w-mlt][a-2033][g-malt1254]':2.71,'Arabic. Moroccan Spoken [i-ary][w-amr][a-928][g-moro1292]':2.71,'Arabic. Egyptian Spoken [i-arz][w-aeg][a-642][g-egyp1253]':2.71)'Arabic [i-][w-][a-][g-]':0,'Mandaic [i-mid][w-mma][a-2002][g-nucl1706]':2.71)'Central [i-][w-][a-][g-]':1.48)'Semitic [i-][w-][a-][g-]':10.4,('Iraqw [i-irk][w-irq][a-534][g-iraq1241]':14.6,'Bedawiyet [i-bej][w-bej][a-34][g-beja1238]':14.6,('Somali [i-som][w-som][a-355][g-soma1255]':14.6,'Oromo. Eastern [i-hae][w-orh][a-324][g-east2652]':14.6)'East [i-][w-][a-][g-]':0)'Cushitic [i-][w-][a-][g-]':3.55e-15,('Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]':11.9,'Hausa [i-hau][w-hau][a-98][g-haus1257]':11.9)'West [i-][w-][a-][g-]':2.64,('Tamazight. Central Atlas [i-tzm][w-bma-bse][a-1435-571-750][g-cent2194]':8.78,'Tachelhit [i-shi][w-tas][a-2421-2969][g-tach1250]':8.78)'Atlas [i-][w-][a-][g-]':5.8)'Afro-Asiatic [i-][w-][a-][g-]';
East Bird`s Head-Sentani	SUCCESS	NNLS	(('Tabla [i-tnm][w-tbl][a-2594][g-tabl1243]':51,'Sentani [i-set][w-snt][a-350][g-nucl1632]':51)'Sentani Proper [i-][w-][a-][g-]':0,('Meyah [i-mej][w-mea][a-1967][g-meya1236]':0,'Manikion [i-mnx][w-sgb][a-2048][g-mani1235]':0)'East Bird<U+FFFD><U+FFFD><U+FFFD>s Head [i-][w-][a-][g-]':51)'East Bird`s Head-Sentani [i-][w-][a-][g-]';
Mapudungu	FAIL	NNLS: the distances matrix is too small	
Sino-Tibetan	SUCCESS	NNLS	(((((('Wayu [i-vay][w-hay][a-632][g-wayu1241]':8.7,'Wambule [i-wme][w-wme][a-2865][g-wamb1257]':8.7,'Thulung [i-tdh][w-thu][a-2979-2999-667][g-thul1246]':8.7,'Khaling [i-klr][w-khg][a-1778][g-khal1275]':8.7,'Dumi [i-dus][w-dmi][a-1439][g-dumi1241]':8.7)'Western [i-][w-][a-][g-]':1.78e-15,('Limbu [i-lif][w-lim][a-674][g-limb1266]':8.7,'Kulung [i-kle][w-klg][a-1775][g-kulu1253]':8.7,'Chamling [i-rab][w-cml][a-2360][g-caml1239]':8.7,'Belhariya [i-byw][w-bel][a-35][g-belh1239]':8.7,'Athpariya [i-aph][w-ath][a-908][g-athp1241]':8.7)'Eastern [i-][w-][a-][g-]':1.78e-15)'Kiranti [i-][w-][a-][g-]':0.0826,('Thangmi [i-thf][w-thn][a-2563][g-than1259]':8.78,'Raji [i-rji][w-rji][a-735][g-raji1240]':8.78,'Newar [i-new][w-new-nwd][a-468-640][g-newa1246]':8.78,('Magar. Eastern [i-mgp][w-mag][a-729][g-east2352]':3.48,'Kham. Gamale [i-kgj][w-kmh][a-][g-gama1251]':3.48)'Kham-Magar [i-][w-][a-][g-]':5.31,'Chepang [i-cdm][w-cpn][a-1130][g-chep1245]':8.78)'Central Himalayan [i-][w-][a-][g-]':3.55e-15)'Himalayan [i-][w-][a-][g-]':1.78e-15,((('Tukpa [i-tpq][w-nyk][a-2605][g-tukp1239]':3.48,'Tinani [i-lbf][w-tni][a-1868][g-tina1246]':3.48,'Rongpo [i-rnp][w-mrc][a-786][g-rong1264]':3.48,'Pattani [i-lae][w-ptt][a-1862][g-patt1248]':3.48,'Kinnauri [i-kfk][w-knn][a-626][g-kinn1249]':3.48,'Kanashi [i-xns][w-xns][a-3190][g-kana1283]':3.48,'Gahri [i-bfu][w-ghr][a-1004][g-gahr1239]':3.48)'Kinauri [i-][w-][a-][g-]':1.19,('Darmiya [i-drd][w-drm][a-1388][g-darm1243]':3.97,'Chaudangsi [i-cdn][w-chd][a-1131][g-chau1259]':3.97,'Byangsi [i-bee][w-bya][a-628][g-byan1241]':3.97)'Almora [i-][w-][a-][g-]':0.704)'West Himalayish [i-][w-][a-][g-]':3.15,('Tamang. Eastern [i-taj][w-tam][a-724][g-east2347]':7.83,('Thakali [i-ths][w-thk][a-730][g-thak1245]':7.83,'Nar Phu [i-npa][w-nph][a-2196][g-narp1239]':7.83,'Manangba [i-nmm][w-nmm][a-690][g-mana1288]':7.83,'Chantyal [i-chx][w-chn][a-629][g-chan1310]':7.83)'Gurungic [i-][w-][a-][g-]':0)'Gurung-Tamang [i-][w-][a-][g-]':1.78e-15,(('Purik [i-prx][w-prk][a-1096][g-puri1258]':5.31,'Ladakhi [i-lbj][w-lad][a-548][g-lada1244]':5.31,'Balti [i-bft][w-blt][a-631][g-balt1258]':5.31)'Western [i-][w-][a-][g-]':1.37,'Tibetan. Khams [i-khg][w-khd-knz][a-3151][g-kham1282]':6.67,('Stod Bhoti [i-sbu][w-tod][a-2399][g-stod1241]':5.93,'Sikkimese [i-sip][w-skk][a-2430][g-sikk1242]':5.93,('Sherpa [i-xsr][w-she][a-2402][g-sher1255]':5.93,'Loke [i-loy][w-brl][a-1051][g-lowa1242]':5.93,'Lhomi [i-lhm][w-lho][a-630][g-lhom1239]':5.93,'Kyerung [i-kgy][w-kgy][a-1812-720][g-kyer1238]':5.93)'gTsang [i-][w-][a-][g-]':1.78e-15,'Tibetan. Central [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-1424-1425-375-627-691-723][g-tibe1272]':5.93)'Central [i-][w-][a-][g-]':0.742)'Central Bodish [i-][w-][a-][g-]':1.15,'Tshangla [i-tsj][w-tgl][a-2617][g-tsha1245]':7.83)'Bodish [i-][w-][a-][g-]':0.959)'Western Tibeto-Burman [i-][w-][a-][g-]':0.998,'Naga. Tarao [i-tro][w-tao][a-2609][g-tara1313]':9.78,(('Naga. Zeme [i-nzm][w-nze][a-2236][g-zeme1240]':8.89,'Naga. Tangkhul [i-nmf][w-ngt][a-2186][g-tang1336]':8.89,'Meitei [i-mni][w-mei][a-501][g-mani1292]':8.89,(('Ralte [i-ral][w-ral][a-3171][g-ralt1242]':4.53,'Chin. Thado [i-tcz][w-thd][a-2540][g-thad1238]':4.53,'Chin. Tedim [i-ctd][w-cti][a-1195][g-tedi1235]':4.53,'Chin. Siyin [i-csy][w-chs][a-1193][g-siyi1240]':4.53)'Northern [i-][w-][a-][g-]':4.36,'Chin. Mara [i-mrh][w-cmr][a-2077][g-mara1382]':8.89,('Mizo [i-lus][w-miz][a-1914][g-lush1249]':6.14,'Hmar [i-hmr][w-hma][a-1611][g-hmar1241]':6.14,'Chin. Haka [i-cnh][w-lai][a-154][g-haka1240]':6.14,'Chin. Bawm [i-bgr][w-baw][a-517][g-bawm1236]':6.14)'Central [i-][w-][a-][g-]':2.75)'Kuki-Chin [i-][w-][a-][g-]':1.78e-15,'Karbi [i-mjw][w-mik][a-2020][g-karb1241]':8.89,('Naga. Lotha [i-njh][w-lot][a-2177][g-loth1237]':6.58,'Naga. Ao [i-njo][w-ao][a-2178][g-aona1235]':6.58)'Ao [i-][w-][a-][g-]':2.31,('Naga. Sumi [i-nsm][w-sem][a-2206][g-sumi1235]':8.89,'Naga. Mao [i-nbi][w-nma][a-2139][g-maon1238]':8.89)'Angami-Pochuri [i-][w-][a-][g-]':1.78e-15)'Kuki-Chin-Naga [i-][w-][a-][g-]':0.891,'Jingpho [i-kac][w-jng][a-663][g-kach1280]':9.78,'Dhimal [i-dhi][w-dhm][a-1317][g-dhim1246]':9.78,(('Naga. Tutsa [i-tvt][w-tvt][a-3178][g-tuts1235]':9.78,'Naga. Tase [i-nst][w-jug-lun][a-1376-1377][g-tase1235]':9.78,'Naga. Nocte [i-njb][w-noc][a-2176][g-noct1238]':9.78,'Naga. Chang [i-nbc][w-chg][a-2137][g-chan1313]':9.78)'Northern Naga [i-][w-][a-][g-]':1.78e-15,(('Garo [i-grt][w-gar][a-528][g-garo1247]':6.48,('Kok Borok [i-trp][w-kok][a-2610][g-kokb1239]':6.48,'Kachari [i-xac][w-kac][a-2353][g-kach1279]':6.48,'Dimasa [i-dis][w-dms][a-1327][g-dima1251]':6.48,'Bodo [i-brx][w-bod][a-1070][g-bodo1269]':6.48)'Bodo [i-][w-][a-][g-]':1.78e-15)'Bodo-Garo [i-][w-][a-][g-]':0.0562,'Deori [i-der][w-deu][a-1275][g-deor1238]':6.54)'Bodo-Koch [i-][w-][a-][g-]':3.24)'Bodo-Garo-Northern Naga [i-][w-][a-][g-]':1.78e-15)'Sal [i-][w-][a-][g-]':1.78e-15,('Jiarong [i-jya][w-gyc-jia-rgc][a-1694][g-jiar1239]':9.78,'Bai. Central [i-bca][w-bai][a-2298][g-cent2004]':9.78)'Northeastern Tibeto-Burman [i-][w-][a-][g-]':1.78e-15,((('Hani [i-hni][w-han][a-1612][g-hani1248]':6.48,'Akha [i-ahk][w-akh][a-470][g-akha1245]':6.48)'Southern [i-][w-][a-][g-]':1.78e-15,'Nuosu [i-iii][w-yi][a-2771][g-sich1238]':6.48,('Nusu [i-nuf][w-nus][a-2215][g-nusu1239]':6.48,'Lisu [i-lis][w-lis][a-1889][g-lisu1250]':6.48,'Lalo. Central [i-ywt][w-lal][a-2774][g-xish1235]':6.48,'Lahu [i-lhu][w-lah][a-225][g-lahu1253]':6.48)'Central [i-][w-][a-][g-]':1.78e-15)'Ngwi [i-][w-][a-][g-]':0.454,('Burmese [i-mya][w-brm][a-463][g-nucl1310]':6.93,('Lhao Vo [i-mhx][w-mru][a-1996][g-maru1249]':6.37,'Achang [i-acn][w-acn][a-831][g-acha1249]':6.37)'Northern [i-][w-][a-][g-]':0.556)'Burmish [i-][w-][a-][g-]':1.78e-15)'Ngwi-Burmese [i-][w-][a-][g-]':2.85,('Karen. S<U+FFFD><U+FFFD><U+FFFD>gaw [i-ksw][w-ksg][a-226][g-sgaw1245]':8.19,('Kayah. Eastern [i-eky][w-kyl][a-1466][g-east2342]':8.19,'Karen. Bwe [i-bwe][w-kbw][a-1091][g-bwek1238]':8.19)'Central [i-][w-][a-][g-]':1.78e-15)'Karenic [i-][w-][a-][g-]':1.59,(('Mising [i-mrg][w-mhl-msg][a-2076][g-misi1242]':9.21,'Apatani [i-apt][w-apt][a-662][g-apat1240]':9.21,'Adi [i-adi][w-boj-boq-gal-mil][a-752-753-789][g-damu1236]':9.21)'Tani [i-][w-][a-][g-]':1.78e-15,('Rawang [i-raw][w-raw][a-2364][g-rawa1265]':9.18,'Drung [i-duu][w-dul][a-672][g-drun1238]':9.18,'Anong [i-nun][w-ano][a-2217][g-nung1282]':9.18)'Nungish [i-][w-][a-][g-]':0.0253,'Miju-Mishmi [i-mxj][w-mij][a-2108][g-miju1243]':9.21,'Lepcha [i-lep][w-lep][a-552][g-lepc1244]':9.21,('Idu-Mishmi [i-clk][w-idu][a-1161][g-idum1241]':6.49,'Digaro-Mishmi [i-mhu][w-dig][a-221][g-diga1241]':6.49)'Digarish [i-][w-][a-][g-]':2.72)'Central Tibeto-Burman [i-][w-][a-][g-]':0.576)'Tibeto-Burman [i-][w-][a-][g-]':1.5,('Chinese. Yue [i-yue][w-cnt][a-2790][g-yuec1235]':7.68,'Chinese. Hakka [i-hak][w-hak][a-1593][g-hakk1236]':7.68)'Chinese [i-][w-][a-][g-]':3.61)'Sino-Tibetan [i-][w-][a-][g-]';
Algic	SUCCESS	NNLS	(('Yurok [i-yur][w-yur][a-428][g-yuro1248]':9.87,'Wiyot [i-wiy][w-wiy][a-412][g-wiyo1248]':9.87)'Ritwan [i-][w-][a-][g-]':0.223,(('Potawatomi [i-pot][w-pot][a-2324][g-pota1247]':9.26,'Ojibwa. Eastern [i-ojg][w-oji][a-2244][g-east2542]':9.26)'Ojibwa-Potawatomi [i-][w-][a-][g-]':0,('Meskwaki [i-sac][w-fox][a-694][g-mesk1242]':7.02,'Kickapoo [i-kic][w-kic][a-1754][g-kick1244]':7.02)'Fox [i-][w-][a-][g-]':2.25,('Munsee [i-umu][w-mse][a-2668][g-muns1251]':9.26,'Malecite-Passamaquoddy [i-pqm][w-psm][a-563][g-male1292]':9.26)'Eastern Algonquian [i-][w-][a-][g-]':0,'Montagnais [i-moe][w-mtg][a-2051][g-mont1268]':9.26,'Blackfoot [i-bla][w-bla][a-1036][g-siks1238]':9.26)'Algonquian [i-][w-][a-][g-]':0.827)'Algic [i-][w-][a-][g-]';
Bauzi	FAIL	NNLS: the distances matrix is too small	
Mascoy	FAIL	NNLS: the distances matrix is too small	
Siouan-Catawban	SUCCESS	NNLS	((('Hidatsa [i-hid][w-hid][a-1606][g-hida1246]':0,'Crow [i-cro][w-cro][a-1184][g-crow1244]':0)'Missouri River Siouan [i-][w-][a-][g-]':7.74,(('Osage [i-osa][w-osa][a-2259][g-osag1243]':7.74,'Omaha-Ponca [i-oma][w-omh][a-2248][g-omah1247]':7.74)'Dhegihan [i-][w-][a-][g-]':0,'Lakota [i-lkt][w-lkt][a-156][g-lako1247]':7.74)'Mississippi Valley Siouan [i-][w-][a-][g-]':0,'Mandan [i-mhq][w-mdn][a-1993][g-mand1446]':7.74)'Siouan [i-][w-][a-][g-]':0,'Catawba [i-chc][w-ctw][a-1135][g-cata1286]':7.74)'Siouan-Catawban [i-][w-][a-][g-]';
Altaic	SUCCESS	NNLS	(((('Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':0,'Bashkort [i-bak][w-bsk][a-1094][g-bash1264]':0)'Uralian [i-][w-][a-][g-]':9.83,('Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':0,'Karaim [i-kdr][w-krm][a-1726][g-kara1464]':0)'Ponto-Caspian [i-][w-][a-][g-]':9.83,('Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':9.83,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':9.83)'Aralo-Caspian [i-][w-][a-][g-]':0)'Western [i-][w-][a-][g-]':0,('Turkish [i-tur][w-tur][a-502][g-nucl1301]':4.89,'Azerbaijani. South [i-azb][w-aze-azi][a-954][g-sout2697]':4.89)'Southern [i-][w-][a-][g-]':4.94,('Yakut [i-sah][w-ykt][a-2662][g-yaku1245]':0.666,'Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]':0.666,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':0.666,'Khakas [i-kjh][w-khk][a-1763][g-khak1248]':0.666,'Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':0.666)'Northern [i-][w-][a-][g-]':9.17,'Chuvash [i-chv][w-chv][a-57][g-chuv1255]':9.83)'Turkic [i-][w-][a-][g-]':0,('Udihe [i-ude][w-udh][a-2657][g-udih1248]':9.83,('Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':4.81,'Even [i-eve][w-evn][a-738][g-even1260]':4.81)'Northern [i-][w-][a-][g-]':5.02)'Tungusic [i-][w-][a-][g-]':0,(('Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':4.04,'Buriat. Mongolia [i-bxm][w-but][a-][g-mong1330]':4.04)'Khalkha-Buriat [i-][w-][a-][g-]':5.79,'Daur [i-dta][w-dgr][a-1416][g-daur1238]':9.83)'Eastern [i-][w-][a-][g-]':0)'Altaic [i-][w-][a-][g-]';
East New Britain	SUCCESS	NNLS	('Taulil [i-tuh][w-tll][a-2635][g-taul1251]':0,'Mali [i-gcc][w-mli][a-1527][g-mali1284]':0)'East New Britain [i-][w-][a-][g-]';
Matacoan	SUCCESS	NNLS	('Wich<U+FFFD><U+FFFD> Lhamt<U+FFFD><U+FFFD>s G<U+FFFD><U+FFFD>isnay [i-mzh][w-wch][a-2124][g-wich1264]':3.06,'Nivacl<U+FFFD><U+FFFD> [i-cag][w-chu][a-1109][g-niva1238]':3.06,'Maka [i-mca][w-mca][a-477][g-maca1260]':3.06)'Matacoan [i-][w-][a-][g-]';
Skou	SUCCESS	NNLS	((('Rawo [i-rwa][w-pok][a-2390][g-rawo1244]':10.2,'Warapu [i-wra][w-brp][a-3198][g-wara1302]':10.2)'Serra Hills [i-][w-][a-][g-]':0,('Skou [i-skv][w-sko][a-2440-2849][g-nucl1634]':1.7,'Vanimo [i-vam][w-dum][a-395][g-vani1248]':1.7)'Nuclear Skou [i-][w-][a-][g-]':8.5)'Skou-Serra-Piore [i-][w-][a-][g-]':0,'Isaka [i-ksi][w-isa][a-307][g-kris1246]':10.2)'Skou [i-][w-][a-][g-]';
Amto-Musan	FAIL	NNLS: the distances matrix is too small	
Eastern Trans-Fly	FAIL	NNLS: the distances matrix is too small	
Maxakalian	FAIL	NNLS: the distances matrix is too small	
Somahai	FAIL	NNLS: the distances matrix is too small	
Andamanese	SUCCESS	NNLS	('<U+FFFD><U+FFFD><U+FFFD><U+FFFD>ge [i-oon][w-ong][a-2][g-onge1236]':3.43,'Jarawa [i-anq][w-jrw][a-899][g-jara1245]':3.43)'South Andamanese [i-][w-][a-][g-]';
Eskimo-Aleut	SUCCESS	NNLS	(('Yupik. Pacific Gulf [i-ems][w-atq][a-2860][g-paci1278]':4.03,'Yupik. Central [i-esu][w-ych-ypk-yun][a-1285-1286-455][g-cent2127]':4.03)'Alaskan Yupik [i-][w-][a-][g-]':9.77,'Yupik. Central Siberian [i-ess][w-ysl-yus][a-1284-612][g-cent2128]':13.8)'Yupik [i-][w-][a-][g-]';
Mayan	SUCCESS	NNLS	((('Maya. Yucatec [i-yua][w-yct][a-682][g-yuca1254]':0,'Lacandon [i-lac][w-lac][a-1861][g-laca1243]':0)'Yucatec-Lacandon [i-][w-][a-][g-]':0,'Itza<U+FFFD><U+FFFD><U+FFFD> [i-itz][w-itz][a-1660][g-itza1241]':0)'Yucatecan [i-][w-][a-][g-]':4.81,('Jakalteko [i-jac][w-jak][a-460][g-popt1235]':3.7,'Tojolabal [i-toj][w-toj][a-2598][g-tojo1241]':3.7)'Q<U+FFFD><U+FFFD><U+FFFD>anjob<U+FFFD><U+FFFD><U+FFFD>alan-Chujean [i-][w-][a-][g-]':1.11,'Chontal. Tabasco [i-chf][w-cmy][a-1136][g-taba1266]':4.81)'Yucatecan-Core Mayan [i-][w-][a-][g-]';
South Bougainville	SUCCESS	NNLS	('Naasioi [i-nas][w-nas][a-440][g-naas1242]':11.2,('Terei [i-buo][w-bun][a-1084][g-tere1278]':6.62,'Siwai [i-siw][w-mot][a-191][g-siwa1245]':6.62)'Buin [i-][w-][a-][g-]':4.62)'South Bougainville [i-][w-][a-][g-]';
Arafundi	FAIL	NNLS: the distances matrix is too small	
Eyak-Athabaskan	SUCCESS	NNLS	('Tlingit [i-tli][w-tli][a-379][g-tlin1245]':11.8,(('Mattole [i-mvb][w-mtl][a-2100][g-matt1238]':5.12,'Kato [i-ktw][w-kto][a-1831][g-kato1244]':5.12,'Hupa [i-hup][w-hup][a-1621][g-hupa1239]':5.12)'California Athabaskan [i-][w-][a-][g-]':4.44,'Dene [i-chp][w-chp][a-1176][g-chip1261]':9.56,('Apache. Mescalero-Chiricahua [i-apm][w-apc][a-910][g-mesc1238]':9.56,'Navajo [i-nav][w-nav][a-204][g-nava1243]':9.56)'Apachean [i-][w-][a-][g-]':1.78e-15)'Athabaskan [i-][w-][a-][g-]':2.26)'Eyak-Athabaskan [i-][w-][a-][g-]';
Maybrat	FAIL	NNLS: the distances matrix is too small	
South-Central Papuan	SUCCESS	NNLS	(('Yelmek [i-jel][w-ylm][a-1680][g-yelm1242]':6.02,'Maklew [i-mgf][w-mkl][a-1980][g-makl1246]':6.02)'Yelmek-Maklew [i-][w-][a-][g-]':0,('Yei [i-jei][w-yei][a-1679][g-yeii1239]':3.3,'Kanum. B<U+FFFD><U+FFFD>di [i-khd][w-knb][a-1747][g-badi1247]':3.3)'Morehead-Upper Maro [i-][w-][a-][g-]':2.72)'South-Central Papuan [i-][w-][a-][g-]';
Arai {Left May}	SUCCESS	NNLS	('Owiniga [i-owi][w-owi][a-3203][g-owin1240]':0,'Ama [i-amm][w-amm][a-3138][g-amap1240]':0)'Arai {Left May} [i-][w-][a-][g-]';
Fas	FAIL	NNLS: the distances matrix is too small	
Misumalpan	FAIL	NNLS: the distances matrix is too small	
