Family	Success	Comments	Tree
Afro-Asiatic	FAIL	NNLS: error in nnls.tree()	
East Bird`s Head-Sentani	SUCCESS	NNLS: 	(('Tabla [i-tnm][w-tbl][a-2594][g-tabl1243]':0.2,'Sentani [i-set][w-snt][a-350][g-nucl1632]':0.2)'Sentani Proper [i-][w-][a-][g-]':0.166,('Meyah [i-mej][w-mea][a-1967][g-meya1236]':0,'Manikion [i-mnx][w-sgb][a-2048][g-mani1235]':0)'East Bird`s Head [i-][w-][a-][g-]':0.366)'East Bird`s Head-Sentani [i-][w-][a-][g-]';
Mapudungu	FAIL	NNLS: the distances matrix is too small	
Sino-Tibetan	FAIL	NNLS: error in nnls.tree()	
Algic	SUCCESS	NNLS: 	(('Yurok [i-yur][w-yur][a-428][g-yuro1248]':0,'Wiyot [i-wiy][w-wiy][a-412][g-wiyo1248]':0)'Ritwan [i-][w-][a-][g-]':0,(('Potawatomi [i-pot][w-pot][a-2324][g-pota1247]':0,'Ojibwa. Severn [i-ojs][w-ojs][a-2245][g-seve1240]':0,'Ojibwa. Eastern [i-ojg][w-oji][a-2244][g-east2542]':0,'Chippewa [i-ciw][w-cpw-ojm][a-1252][g-chip1241]':0,'Algonquin [i-alq][w-alg][a-876][g-algo1255]':0)'Ojibwa-Potawatomi [i-][w-][a-][g-]':0,('Meskwaki [i-sac][w-fox][a-694][g-mesk1242]':0,'Kickapoo [i-kic][w-kic][a-1754][g-kick1244]':0)'Fox [i-][w-][a-][g-]':0,('Nanticoke [i-nnt][w-nnt][a-2191][g-nant1249]':0,('Unami [i-unm][w-unm][a-][g-unam1242]':0,'Munsee [i-umu][w-mse][a-2668][g-muns1251]':0)'Delaware [i-][w-][a-][g-]':0,'Abenaki. Western [i-abe][w-abw][a-822][g-west2630]':0,'Wampanoag [i-wam][w-mtt][a-2700][g-wamp1249]':0,'Powhatan [i-pim][w-pow][a-2295][g-powh1243]':0,'Micmac [i-mic][w-mic][a-2001][g-mikm1235]':0,'Malecite-Passamaquoddy [i-pqm][w-psm][a-563][g-male1292]':0)'Eastern Algonquian [i-][w-][a-][g-]':0,('Naskapi [i-nsk][w-nsk][a-2204][g-nask1242]':0,'Montagnais [i-moe][w-mtg][a-2051][g-mont1268]':0,'Cree. Swampy [i-csw][w-cea][a-][g-swam1239]':0,'Cree. Plains [i-crk][w-cre][a-59][g-plai1258]':0,'Atikamekw [i-atj][w-ati][a-2551][g-atik1240]':0)'Cree-Montagnais [i-][w-][a-][g-]':0,'Arapaho [i-arp][w-aho][a-923][g-arap1274]':0,'Shawnee [i-sjw][w-shw][a-2435][g-shaw1249]':0,'Miami [i-mia][w-ill][a-1999][g-miam1252]':0,'Menominee [i-mez][w-men][a-1973][g-meno1252]':0,'Cheyenne [i-chy][w-cyn][a-1142][g-chey1247]':0,'Blackfoot [i-bla][w-bla][a-1036][g-siks1238]':0)'Algonquian [i-][w-][a-][g-]':0)'Algic [i-][w-][a-][g-]';
Bauzi	FAIL	NNLS: the distances matrix is too small	
Mascoy	FAIL	NNLS: the distances matrix is too small	
Siouan-Catawban	SUCCESS	NNLS: 	((('Hidatsa [i-hid][w-hid][a-1606][g-hida1246]':0,'Crow [i-cro][w-cro][a-1184][g-crow1244]':0)'Missouri River Siouan [i-][w-][a-][g-]':0,(('Osage [i-osa][w-osa][a-2259][g-osag1243]':0,'Omaha-Ponca [i-oma][w-omh][a-2248][g-omah1247]':0)'Dhegihan [i-][w-][a-][g-]':0,('Stoney [i-sto][w-sto][a-2490][g-ston1242]':0,'Lakota [i-lkt][w-lkt][a-156][g-lako1247]':0,'Dakota [i-dak][w-dak][a-1316][g-dako1258]':0)'Dakota [i-][w-][a-][g-]':0,('Iowa-Oto [i-iow][w-oto][a-1649][g-iowa1245]':0,'Ho-Chunk [i-win][w-wnb][a-479][g-hoch1243]':0)'Chiwere-Winnebago [i-][w-][a-][g-]':0)'Mississippi Valley Siouan [i-][w-][a-][g-]':0,'Mandan [i-mhq][w-mdn][a-1993][g-mand1446]':0)'Siouan [i-][w-][a-][g-]':0,'Catawba [i-chc][w-ctw][a-1135][g-cata1286]':0)'Siouan-Catawban [i-][w-][a-][g-]';
Altaic	SUCCESS	NNLS: 	(((('Tatar [i-tat][w-tmi-ttb-tvo][a-1431-1432-2630][g-tata1255]':0,'Chulym [i-clw][w-cly][a-1141][g-chul1246]':0,'Bashkort [i-bak][w-bsk][a-1094][g-bash1264]':0)'Uralian [i-][w-][a-][g-]':0,('Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]':0,'Karaim [i-kdr][w-krm][a-1726][g-kara1464]':0,'Karachay-Balkar [i-krc][w-krc][a-124][g-kara1465]':0)'Ponto-Caspian [i-][w-][a-][g-]':0,('Nogai [i-nog][w-nog-nok-tlb-yta][a-1370-1371-1372-2193][g-noga1249]':0,'Kyrgyz [i-kir][w-kfy-kgz][a-1339-1725][g-kirg1245]':0,'Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]':0,'Karakalpak [i-kaa][w-kkp][a-1695][g-kara1467]':0)'Aralo-Caspian [i-][w-][a-][g-]':0)'Western [i-][w-][a-][g-]':0,('Turkmen [i-tuk][w-tkm][a-2534][g-turk1304]':0,('Turkish [i-tur][w-tur][a-502][g-nucl1301]':0,'Khorasani Turkish [i-kmz][w-tex-twx][a-1345-1346][g-khor1269]':0,'Gagauz [i-gag][w-gag][a-1516][g-gaga1249]':0)'Turkish [i-][w-][a-][g-]':0,'Azerbaijani. South [i-azb][w-aze-azi][a-954][g-sout2697]':0,'Salar [i-slr][w-slr][a-2445][g-sala1264]':0,'Khalaj. Turkic [i-klj][w-khl][a-670][g-turk1303]':0,'Crimean Tatar [i-crh][w-cri][a-1181][g-crim1257]':0)'Southern [i-][w-][a-][g-]':0,('Yakut [i-sah][w-ykt][a-2662][g-yaku1245]':0,'Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]':0,'Shor [i-cjs][w-shr][a-1153][g-shor1247]':0,'Khakas [i-kjh][w-khk][a-1763][g-khak1248]':0,'Karagas [i-kim][w-tof][a-719][g-kara1462]':0,'Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':0,'Altai. Southern [i-alt][w-aso][a-880][g-sout2694]':0)'Northern [i-][w-][a-][g-]':0,('Yugur. West [i-ybe][w-syg][a-2766][g-west2402]':0,'Uzbek. Northern [i-uzn][w-kym-uzb-uzn][a-][g-nort2690-uzbe1247]':0,'Uyghur [i-uig][w-uyg][a-611][g-uigh1240]':0,'Ainu [i-aib][w-ayn][a-861][g-ainu1251]':0)'Eastern [i-][w-][a-][g-]':0,'Chuvash [i-chv][w-chv][a-57][g-chuv1255]':0,'Urum [i-uum][w-urm][a-2677][g-urum1249]':0)'Turkic [i-][w-][a-][g-]':0,(('Manchu [i-mnc][w-mnc][a-2015][g-manc1252]':0,(('Udihe [i-ude][w-udh][a-2657][g-udih1248]':0,'Oroch [i-oac][w-orc][a-2239][g-oroc1248]':0)'Udihe [i-][w-][a-][g-]':0,('Ulch [i-ulc][w-ulc][a-2663][g-ulch1241]':0,'Orok [i-oaa][w-ork][a-2238][g-orok1265]':0,'Nanai [i-gld][w-nai][a-201][g-nana1257]':0)'Nanaj [i-][w-][a-][g-]':0)'Southeast [i-][w-][a-][g-]':0)'Southern [i-][w-][a-][g-]':0,('Negidal [i-neg][w-neg][a-2153][g-negi1245]':0,'Evenki [i-evn][w-eve-sol][a-1288-527][g-even1259]':0,'Even [i-eve][w-evn][a-738][g-even1260]':0)'Northern [i-][w-][a-][g-]':0)'Tungusic [i-][w-][a-][g-]':0,('Mogholi [i-mhj][w-mog][a-2029][g-mogh1245]':0,(('Kalmyk-Oirat [i-xal][w-kiq-kmk-oir][a-1341-1342][g-kalm1243]':0,(('Mongolian. Peripheral [i-mvf][w-ord][a-2102-2895][g-peri1253]':0,'Mongolian. Halh [i-khk][w-kha][a-188][g-halh1238]':0)'Mongolian Proper [i-][w-][a-][g-]':0,'Buriat. Mongolia [i-bxm][w-but][a-][g-mong1330]':0)'Khalkha-Buriat [i-][w-][a-][g-]':0)'Oirat-Khalkha [i-][w-][a-][g-]':0,('Yugur. East [i-yuy][w-shy][a-2798][g-east2337]':0,'Tu [i-mjg][w-mgg][a-2016][g-tuuu1240]':0,'Dongxiang [i-sce][w-sta][a-2400][g-dong1285]':0,'Bonan [i-peh][w-bao][a-2285][g-bona1250]':0)'Mongour [i-][w-][a-][g-]':0,'Daur [i-dta][w-dgr][a-1416][g-daur1238]':0)'Eastern [i-][w-][a-][g-]':0)'Mongolic [i-][w-][a-][g-]':0)'Altaic [i-][w-][a-][g-]';
East New Britain	FAIL	NNLS: error in nnls.tree()	
