Family	Success	Comments	Tree
Umbugarla	FAIL	GA: too few languages	
Deaf Sign Language	FAIL	GA: the distances matrix is too small	
Pidgin Sign Language	FAIL	GA: too few languages	
Sign Languages	FAIL	GA: no legal range for branch lengths	
Timor-Alor-Pantar	FAIL	GA: no legal range for branch lengths	
Unclassified	FAIL	GA: the distances matrix is too small	
Village Sign Language	FAIL	GA: no legal range for branch lengths	
Ramanos	FAIL	GA: too few languages	
Nilotic	SUCCESS	GA: converged after 564 iterations out of 10000 with residual SSE error 0.00733396992243508	('Nandi [i-niq][w-nan][a-299][g-nand1266]':0.0695,(('Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':0.00274,'Pari [i-lkr][w-par][a-1894][g-pari1256]':0.14,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':0.0124)'Northern Lwoo [i-][w-][a-][g-nort2814]':0.00317,('Luo {Kenya and Tanzania} [i-luo][w-luo][a-1919][g-luok1236]':0.0327,'Lango {Uganda} [i-laj][w-lan][a-159][g-lang1324]':0.11)'Southern Lwoo [i-][w-][a-][g-sout2831]':0.0439)'Luo-Burun [i-][w-][a-][g-luob1235]':0.0627)'Nilotic [i-][w-][a-][g-nilo1247]';
Austronesian	SUCCESS	GA: converged after 9931 iterations out of 10000 with residual SSE error 0.0226464339554322	('Saaroa [i-sxr][w-][a-2970][g-saar1237]':0.361,('Yami [i-tao][w-ymi][a-2782][g-yami1254]':0.332,('Sarangani Blaan [i-bps][w-biq][a-1022][g-sara1326]':0.0626,'Tiruray [i-tiy][w-try][a-2576][g-tiru1241]':0.158)'Bilic [i-][w-][a-][g-bili1253]':0.0836,(('Balantak [i-blz][w-blk][a-1040][g-bala1315]':0.103,'Padoe [i-pdo][w-pad][a-2283][g-pado1242]':0.143)'Eastern Celebic [i-][w-][a-][g-east2488]':0.0668,(('Pamona [i-pmf][w-pna][a-982][g-pamo1252]':0.13,'Napu [i-npy][w-npu][a-2134][g-napu1241]':0.138)'Kaili-Pamona [i-][w-][a-][g-kail1253]':0.0515,'Wolio [i-wlo][w-wlo][a-2725][g-woli1241]':0.112)'Kaili-Pamona-Wotu-Wolio [i-][w-][a-][g-kail1255]':0.0318)'Celebic [i-][w-][a-][g-cele1242]':0.0136,'Pampanga [i-pam][w-kpm][a-2310][g-pamp1243]':0.135,(('Kola [i-kvv][w-koo][a-1845][g-kola1285]':0.173,('Hoti [i-hti][w-][a-102][g-hoti1237]':0.701,('North Nuaulu [i-nni][w-][a-2188][g-nort2867]':0.0766,'Paulohi [i-plh][w-plh][a-2307][g-paul1238]':0.0412)'Nunusaku [i-][w-][a-][g-nunu1252]':0.0364)'East Central Maluku [i-][w-][a-][g-east2466]':0.0126,'Kedang [i-ksx][w-ked][a-1824][g-keda1252]':0.151,('Keo [i-xxk][w-keo][a-2756][g-keoo1238]':0.177,'Palu`e [i-ple][w-][a-2876][g-palu1252]':0.471)'Ngada-Lio-Paluqe [i-][w-][a-][g-ngad1265]':0.101,('Kisar [i-kje][w-ksr][a-1762][g-kisa1266]':0.164,'Leti {Indonesia} [i-lti][w-let][a-1915][g-leti1246]':0.156)'Luang-Kisar [i-][w-][a-][g-luan1261]':0.0305)'Central Malayo-Polynesian [i-][w-][a-][g-cent2245]':0.018,(((('Kele {Papua New Guinea} [i-sbc][w-kel][a-2396][g-kele1258]':0.0381,'Loniu [i-los][w-lon][a-1911][g-loni1238]':0.0352)'Manus [i-][w-][a-][g-manu1262]':0.0419,'Seimat [i-ssg][w-][a-2990][g-seim1238]':0.0158)'Admiralty Islands [i-][w-][a-][g-admi1239]':0.0263,((('East Futuna [i-fud][w-fue][a-1505][g-east2447]':0.109,('Niuafo`ou [i-num][w-nif][a-2216][g-niua1240]':0.105,'Wallisian [i-wls][w-wll][a-2699][g-wall1257]':0.0748)'East Uvean-Niuafo`ou [i-][w-][a-][g-east2758]':0.0255,('Samoan [i-smo][w-sam][a-346][g-samo1305]':0.107,'Tokelau [i-tkl][w-tke][a-2599][g-toke1240]':0.0948)'Samoan-Tokelauan [i-][w-][a-][g-samo1310]':0.0298,(('Kapingamarangi [i-kpg][w-kpn][a-1801][g-kapi1249]':0.046,'Nukuoro [i-nkr][w-nkr][a-2182][g-nuku1260]':0.0679)'Northern Ellicean Outlier [i-][w-][a-][g-nort3235]':0.0351,('Hawaiian [i-haw][w-haw][a-1628][g-hawa1245]':0.0596,'Rapanui [i-rap][w-rap][a-564][g-rapa1244]':0.0769)'East Nuclear Polynesian [i-][w-][a-][g-east2449]':0.0814)'Northern Outlier Polynesian-East Polynesian [i-][w-][a-][g-nort3246]':0.0298,'Tikopia [i-tkp][w-][a-2830][g-tiko1237]':0.497)'Nuclear Polynesian [i-][w-][a-][g-nucl1485]':0.00134,('Niuean [i-niu][w-niu][a-2174][g-niue1239]':0.0731,'Tonga {Tonga Islands} [i-ton][w-tng][a-2602][g-tong1325]':0.113)'Tongic [i-][w-][a-][g-tong1324]':0.0752)'Polynesian [i-][w-][a-][g-poly1242]':0.0156,'Rotuman [i-rtm][w-rot][a-2385][g-rotu1241]':0.162)'Central Pacific [i-][w-][a-][g-cent2060]':0.0153,('Iaai [i-iai][w-iaa][a-1629][g-iaai1238]':0.107,'Nengone [i-nen][w-nne][a-2155][g-neng1238]':0.0705)'Loyalty Islands [i-][w-][a-][g-loya1239]':0.0846,((('Mokilese [i-mkj][w-mok][a-2045][g-moki1238]':0.0374,'Pingelapese [i-pif][w-pgl][a-2294][g-ping1243]':0.0783)'Ponapeic [i-][w-][a-][g-pona1248]':0.022,('Carolinian [i-cal][w-crl][a-1110][g-caro1242]':0.067,'Ulithian [i-uli][w-uli][a-2664][g-ulit1238]':0.194)'Trukic [i-][w-][a-][g-truk1243]':0.0183)'Ponapeic-Trukic [i-][w-][a-][g-pona1247]':0.0357,'Nauru [i-nau][w-nau][a-2201][g-naur1243]':0.256)'Micronesian [i-][w-][a-][g-micr1243]':0.0278,(('Lonwolwol [i-crc][w-lnw][a-1177][g-lonw1238]':0.0472,('South Efate [i-erk][w-erk][a-3038][g-sout2856]':0.202,'Lamenu [i-lmu][w-lmu][a-3158][g-lame1260]':0.54)'Epi-Efate [i-][w-][a-][g-epie1239]':0.0748,('Port Sandwich [i-psw][w-psw][a-2836][g-port1285]':0.447,'Big Nambas [i-nmb][w-nbb][a-2184][g-bign1238]':0.0957)'Malakula [i-][w-][a-][g-mala1539]':0.0715)'Central Vanuatu [i-][w-][a-][g-cent2269]':0.0615,('Araki {Vanuatu} [i-akr][w-ark][a-871][g-arak1252]':0.115,'Hano [i-lml][w-rag][a-1900][g-hano1246]':0.17)'Northern Vanuatu [i-][w-][a-][g-nort3205]':0.154)'North and Central Vanuatu [i-][w-][a-][g-nort3195]':0.017,('Gela [i-nlg][w-gel][a-2183][g-gela1263]':0.168,('Longgu [i-lgu][w-lgu][a-1884][g-long1395]':0.0463,('Kwaio [i-kwd][w-kwa][a-1847][g-kwai1243]':0.0363,'To`abaita [i-mlu][w-toq][a-2034][g-toab1237]':0.119)'Northern Malaita [i-][w-][a-][g-nort2833]':0.0478)'Malaita-San Cristobal [i-][w-][a-][g-mala1485]':0.0352)'Southeast Solomonic [i-][w-][a-][g-sout2853]':0.0199,(('Cemuhi [i-cam][w-cem][a-1111][g-cemu1238]':0.135,'Dumbea [i-duf][w-pta][a-1438-2904][g-dumb1241]':0.259,'Fwai [i-fwa][w-poa][a-1512][g-fwai1237]':0.128,('Ajie [i-aji][w-aji][a-867][g-ajie1238]':0.0621,'Tiri [i-cir][w-tin][a-1144][g-tiri1258]':0.169,'Xaracuu [i-ane][w-xar][a-893][g-xara1244]':0.247)'Southern New Caledonian [i-][w-][a-][g-sout3189]':0.0386)'New Caledonian [i-][w-][a-][g-newc1243]':0.0385,('Aneityum [i-aty][w-anj][a-935][g-anei1239]':0.1,'Ura {Vanuatu} [i-uur][w-ura][a-2678][g-urav1235]':0.095,'Kwamera [i-tnk][w-kwr][a-2593][g-kwam1252]':0.24)'South Vanuatu [i-][w-][a-][g-sout2868]':0.0741)'Southern Melanesian [i-][w-][a-][g-sout3173]':0.0231,(('Ayiwo [i-nfl][w-ayw][a-13][g-ayiw1239]':0.0456,'Nanggu [i-ngr][w-][a-487][g-nang1262]':0.211)'Reefs-Santa Cruz [i-][w-][a-][g-reef1242]':0.0422,'Teanu [i-tkw][w-bum][a-2579][g-tean1237]':0.103)'Temotu [i-][w-][a-][g-temo1244]':0.0299,(('Uneapa [i-bbn][w-][a-971][g-unea1237]':0.0847,('Nalik [i-nal][w-nal][a-2132][g-nali1244]':0.102,'Tungag [i-lcm][w-tnk][a-1874][g-tung1290]':0.0643)'Tungak-Nalik [i-][w-][a-][g-tung1294]':0.00673,(('Torau [i-ttu][w-][a-2955][g-tora1259]':0.526,('Hoava [i-hoa][w-hoa][a-1614][g-hoav1238]':0.248,'Roviana [i-rug][w-rov][a-2387][g-rovi1238]':0.0297)'East New Georgia [i-][w-][a-][g-east2761]':0.0384,'Bannoni [i-bcm][w-bnn][a-977][g-bann1247]':0.126,('Kokota [i-kkk][w-kkt][a-1769][g-koko1269]':0.0613,'Blablanga [i-blp][w-][a-3027][g-blab1237]':0.67)'Central Santa Isabel [i-][w-][a-][g-cent2063]':0.0918)'Northwest Solomonic [i-][w-][a-][g-nort3225]':0.041,'Siar-Lak [i-sjr][w-sir][a-2434][g-siar1238]':0.12,'Sursurunga [i-sgz][w-sur][a-2418][g-surs1246]':0.357)'St George linkage [i-][w-][a-][g-stge1234]':0.0171)'Meso Melanesian linkage [i-][w-][a-][g-meso1253]':0.0115,((((('Aribwatsa [i-laz][w-ari][a-1866][g-arib1241]':0.0627,'Musom [i-msu][w-msm][a-2086][g-muso1238]':0.0392)'Busu [i-][w-][a-][g-busu1245]':0.0341,'Labu [i-lbu][w-lab][a-3157][g-labu1248]':0.531)'Lower Markham [i-][w-][a-][g-lowe1411]':0.0307,'Adzera [i-adz][w-adz][a-955][g-adze1240]':0.208)'Markham [i-][w-][a-][g-mark1257]':0.0278,('Kela {Papua New Guinea} [i-kcl][w-kap][a-1715][g-kela1255]':0.227,'Yabem [i-jae][w-jab][a-1669][g-yabe1254]':0.0966)'North Huon Gulf [i-][w-][a-][g-nort2858]':0.0944)'Huon Gulf [i-][w-][a-][g-huon1245]':0.0246,('Bariai [i-bch][w-][a-2982][g-bari1286]':0.096,('Matukar [i-mjk][w-mtk][a-2018][g-matu1261]':0.476,'Sio [i-xsi][w-sio][a-2429][g-sioo1240]':0.106,'Amara [i-aie][w-ama][a-862][g-amar1272]':0.0505)'Vitiaz linkage [i-][w-][a-][g-viti1243]':0.0236)'Ngero-Vitiaz linkage [i-][w-][a-][g-nger1241]':0.0434,('Tobati [i-tti][w-tbt][a-2628][g-toba1266]':0.301,'Sobei [i-sob][w-sob][a-2462][g-sobe1238]':0.231)'Sarmi-Jayapura Bay [i-][w-][a-][g-sarm1241]':0.118,('Kairiru [i-kxa][w-krr][a-1850][g-kair1263]':0.217,'Tumleo [i-tmq][w-tum][a-2588][g-tuml1238]':0.073)'Schouten [i-][w-][a-][g-scho1242]':0.0813)'North New Guinea linkage [i-][w-][a-][g-nort3206]':0.000565,((('Gapapaiwa [i-pwg][w-gap][a-2346][g-gapa1238]':0.24,'Minaveha [i-mvn][w-mnv][a-2103][g-mina1269]':0.247)'Are-Taupota [i-][w-][a-][g-aret1241]':0.118,'Gumawana [i-gvs][w-gmw][a-1581][g-guma1254]':0.216)'North Papuan Mainland-D`Entrecasteaux [i-][w-][a-][g-nort2848]':0.0539,'Lala {Papua New Guinea} [i-nrz][w-all][a-2202][g-lala1268]':0.169)'Papuan Tip linkage [i-][w-][a-][g-papu1253]':0.0836)'Western Oceanic linkage [i-][w-][a-][g-west2818]':0.0147,'Yapese [i-yap][w-yap][a-2786][g-yape1248]':0.179)'Oceanic [i-][w-][a-][g-ocea1241]':0.00635,('Warembori [i-wsa][w-wrm][a-402][g-ware1253]':0.0709,'Mor {Mor Islands} [i-mhz][w-mor][a-1998][g-morm1235]':0.0722,'Irarutu [i-irh][w-irr][a-1651][g-irar1238]':0.138)'South Halmahera-West New Guinea [i-][w-][a-][g-sout2850]':0.0567)'Eastern Malayo-Polynesian [i-][w-][a-][g-east2712]':0.00822)'Central-Eastern Malayo-Polynesian [i-][w-][a-][g-cent2237]':0.00189,'Yakan [i-yka][w-ykn][a-2776][g-yaka1277]':0.417,((('Tausug [i-tsg][w-tsg][a-2616][g-taus1251]':0.0523,'Aklanon [i-akl][w-akl][a-870][g-akla1241]':0.3)'Bisayan [i-][w-][a-][g-bisa1268]':0.0636,'Mamanwa [i-mmn][w-mmn][a-2038][g-mama1275]':0.097)'Central Philippine [i-][w-][a-][g-cent2246]':0.00523,'Maranao [i-mrw][w-mrn][a-484][g-mara1404]':0.109,'Binukid [i-bkd][w-bkd][a-1030][g-binu1244]':0.175,('Batak [i-bya][w-bat][a-1077][g-bata1301]':0.4,'Tagbanwa [i-tbw][w-tgb][a-2528][g-tagb1258]':0.0911)'Northern Palawanic [i-][w-][a-][g-nort3185]':0.0574)'Greater Central Philippine [i-][w-][a-][g-grea1284]':0.0556,('Komering [i-kge][w-kag][a-2692][g-kome1238]':0.166,'Lampung Api [i-ljp][w-lmp][a-1893][g-lamp1243]':0.0623)'Lampung [i-][w-][a-][g-lamp1241]':0.0964,((('Eastern Cham [i-cjm][w-cme][a-1150][g-east2563]':0.0478,'Western Cham [i-cja][w-chw][a-1146][g-west2650]':0.0596)'Cham [i-][w-][a-][g-cham1328]':0.0132,('Northern Roglai [i-rog][w-rgn][a-2375][g-nort2994]':0.0195,'Tsat [i-huq][w-tst][a-1622][g-tsat1238]':0.322)'Northern Cham [i-][w-][a-][g-nort3219]':0.0221)'Chamic [i-][w-][a-][g-cham1330]':0.0201,(('Betawi [i-bew][w-meb][a-998][g-beta1252]':0.387,'Kuala [i-bjn][w-][a-779][g-kual1252]':0.212,'Mualang [i-mtd][w-][a-2989][g-mual1241]':0.036,('Indonesian [i-ind][w-ind-inj][a-1324-1325-496][g-indo1316]':0.05,'Standard Malay [i-zsm][w-mly][a-613][g-stan1306]':0.286)'Indonesian Archipelago Malay [i-][w-][a-][g-indo1326]':0.16,'Negeri Sembilan Malay [i-zmi][w-mmu][a-2809][g-nege1240]':0.289,('Malay [i-zlm][w-ktp-myk][a-1357-1358][g-mala1479]':0.212,'Urak Lawoi` [i-urk][w-url][a-2675][g-urak1238]':0.111)'Singapore Archipelago Malay [i-][w-][a-][g-sing1270]':0.0315)'Nuclear Malayic [i-][w-][a-][g-nucl1733]':0.0269,'Malay/ Manado [i-xmm][w-mds][a-2753][g-mala1481]':0.0246)'Malayic [i-][w-][a-][g-mala1538]':0.0278)'North and East Malayo-Sumbawan [i-][w-][a-][g-nort3170]':0.0242,('Sa`ban [i-snv][w-sab][a-2461][g-saba1265]':0.178,('Coastal Kadazan [i-kzj][w-kdz][a-1859][g-coas1294]':0.0469,'Tatana [i-txx][w-tat][a-2648][g-tata1257]':0.0609)'Southwest Sabahan [i-][w-][a-][g-sout3154]':0.0642)'North Bornean Malayo-Polynesian [i-][w-][a-][g-nort2892]':0.0313,('Central Cagayan Agta [i-agt][w-agc][a-854][g-cent2084]':0.175,'Iloko [i-ilo][w-ilo][a-1644][g-ilok1237]':0.161,('Balangao [i-blw][w-blg][a-1039][g-bala1310]':0.103,('Karao [i-kyj][w-kao][a-1853][g-kara1487]':0.145,'Pangasinan [i-pag][w-pnn][a-2314][g-pang1290]':0.0817)'West Southern Cordilleran [i-][w-][a-][g-west2550]':0.0697)'South-Central Cordilleran [i-][w-][a-][g-sout3211]':0.0394,'Casiguran Dumagat Agta [i-dgc][w-dca][a-1294][g-casi1235]':0.0741)'Northern Luzon [i-][w-][a-][g-nort3238]':0.024,('Enggano [i-eno][w-eno][a-1474][g-engg1245]':0.0342,'Simeulue [i-smr][w-sim][a-2452][g-sime1241]':0.0217,'Batak Toba [i-bbc][w-bto][a-968][g-bata1289]':0.111)'Northwest Sumatra-Barrier Islands [i-][w-][a-][g-nort2829]':0.0364,'Palauan [i-pau][w-pal][a-2309][g-pala1344]':0.147,('Bantik [i-bnq][w-bnt][a-1046][g-bant1286]':0.0896,'Ratahan [i-rth][w-tor][a-2384][g-rata1244]':0.166)'Southern Sangiric [i-][w-][a-][g-sout3155]':0.141,'Selayar [i-sly][w-sly][a-2448][g-sela1260]':0.293)'Malayo-Polynesian [i-][w-][a-][g-mala1545]':0.0446,'Kulon-Pazeh [i-uun][w-][a-3116][g-kulo1237]':0.405,'Paiwan [i-pwn][w-pai][a-327][g-paiw1248]':0.132)'Nuclear Austronesian [i-][w-][a-][g-nucl1752]';
