Family	Success	Comments	Tree
Umbugarla	FAIL	GA: too few languages	
Deaf Sign Language	FAIL	GA: the distances matrix is too small	
Pidgin Sign Language	FAIL	GA: too few languages	
Sign Languages	SUCCESS	GA: converged after 1371 iterations out of 10000 with residual SSE error 0.0735914701561678	('American Sign Language [i-ase][w-asl][a-930][g-amer1248]':0.304,'Argentine Sign Language [i-aed][w-lsa][a-840][g-arge1236]':0.104,'Australian Sign Language [i-asf][w-aus][a-931][g-aust1271]':0.0989,'Brazilian Sign Language [i-bzs][w-lsb][a-1104][g-braz1236]':0.105,'British Sign Language [i-bfi][w-bsl][a-1012][g-brit1235]':0.11,'Dutch Sign Language [i-dse][w-ned][a-1400][g-dutc1253]':0.303,'Finnish Sign Language [i-fse][w-fsl][a-1502][g-finn1310]':0.303,'German Sign Language [i-gsg][w-dge][a-1563][g-germ1281]':0.107,'Greek Sign Language [i-gss][w-gsl][a-1564][g-gree1271]':0.109,'Hong Kong Sign Language [i-hks][w-hks][a-770][g-hong1241]':0.415,'Icelandic Sign Language [i-icl][w-ics][a-1635][g-icel1236]':0.304,'Indian Sign Language [i-ins][w-ipi][a-1648][g-indi1237]':0.394,'Irish Sign Language [i-isg][w-irs][a-1654][g-iris1235]':0.302,'Israeli Sign Language [i-isr][w-iss][a-1656][g-isra1236]':0.103,'Italian Sign Language [i-ise][w-lii][a-1653][g-ital1275]':0.302,'Japanese Sign Language [i-jsl][w-nih][a-1689][g-japa1238]':0.298,'Kenyan Sign Language [i-xki][w-ksl][a-2749][g-keny1241]':0.538,'Korean Sign Language [i-kvk][w-ssl][a-1842][g-kore1273]':0.411,'New Zealand Sign Language [i-nzs][w-nzs][a-2237][g-newz1236]':0.113,'Pakistan Sign Language [i-pks][w-ipk][a-2305][g-paki1242]':0.746,'Quebec Sign Language [i-fcs][w-lsq][a-1488][g-queb1245]':0.103,'Russian Sign Language [i-rsl][w-rsl][a-2383][g-russ1255]':0.106,'Spanish Sign Language [i-ssp][w-lse][a-2485][g-span1263]':0.593,'Swedish Sign Language [i-swl][w-svt][a-2503][g-swed1236]':0.103,'Tanzanian Sign Language [i-tza][w-tsl][a-2650][g-tanz1238]':0.499,'Thai Sign Language [i-tsq][w-ths][a-2621][g-thai1240]':0.303,'Turkish Sign Language [i-tsm][w-tui][a-2618][g-turk1288]':0.497,'Ugandan Sign Language [i-ugn][w-ugs][a-2659][g-ugan1238]':0.108,'Vlaamse Gebarentaal [i-vgt][w-vla][a-1089][g-vlaa1235]':0.106)'Sign Languages [i-][w-][a-][g-sign1237]';
Timor-Alor-Pantar	FAIL	GA: the distances matrix is too small	
Unclassified	FAIL	GA: the distances matrix is too small	
Village Sign Language	SUCCESS	GA: converged after 280 iterations out of 10000 with residual SSE error 1.9255231325558e-08	('Adamorobe Sign Language [i-ads][w-ada][a-836][g-adam1238]':0.25,'Bengkala Sign Language [i-bqy][w-kkl][a-1060][g-beng1239]':0.25,'Urubu-Kaapor Sign Language [i-uks][w-usl][a-2661][g-urub1243]':0.75)'Village Sign Language [i-][w-][a-][g-vill1243]';
Ramanos	FAIL	GA: too few languages	
Nilotic	SUCCESS	GA: converged after 599 iterations out of 10000 with residual SSE error 0.00456805493927074	('Nandi [i-niq][w-nan][a-299][g-nand1266]':0.153,(('Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':0.00302,'Pari [i-lkr][w-par][a-1894][g-pari1256]':0.277,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':0.0389)'Northern Lwoo [i-][w-][a-][g-nort2814]':0.0125,('Luo {Kenya and Tanzania} [i-luo][w-luo][a-1919][g-luok1236]':0.0627,'Lango {Uganda} [i-laj][w-lan][a-159][g-lang1324]':0.0994)'Southern Lwoo [i-][w-][a-][g-sout2831]':0.00455)'Luo-Burun [i-][w-][a-][g-luob1235]':0.139)'Nilotic [i-][w-][a-][g-nilo1247]';
Austronesian	SUCCESS	GA: converged after 9967 iterations out of 10000 with residual SSE error 0.0260718396453857	(('Yami [i-tao][w-ymi][a-2782][g-yami1254]':0.381,('Sarangani Blaan [i-bps][w-biq][a-1022][g-sara1326]':0.0697,'Tiruray [i-tiy][w-try][a-2576][g-tiru1241]':0.173)'Bilic [i-][w-][a-][g-bili1253]':0.0853,(('Balantak [i-blz][w-blk][a-1040][g-bala1315]':0.131,'Padoe [i-pdo][w-pad][a-2283][g-pado1242]':0.156)'Eastern Celebic [i-][w-][a-][g-east2488]':0.055,(('Pamona [i-pmf][w-pna][a-982][g-pamo1252]':0.0956,'Napu [i-npy][w-npu][a-2134][g-napu1241]':0.164)'Kaili-Pamona [i-][w-][a-][g-kail1253]':0.0485,'Wolio [i-wlo][w-wlo][a-2725][g-woli1241]':0.112)'Kaili-Pamona-Wotu-Wolio [i-][w-][a-][g-kail1255]':0.0237)'Celebic [i-][w-][a-][g-cele1242]':0.0351,'Pampanga [i-pam][w-kpm][a-2310][g-pamp1243]':0.167,(('Kola [i-kvv][w-koo][a-1845][g-kola1285]':0.221,'Paulohi [i-plh][w-plh][a-2307][g-paul1238]':0.125,'Kedang [i-ksx][w-ked][a-1824][g-keda1252]':0.199,'Keo [i-xxk][w-keo][a-2756][g-keoo1238]':0.328,('Kisar [i-kje][w-ksr][a-1762][g-kisa1266]':0.178,'Leti {Indonesia} [i-lti][w-let][a-1915][g-leti1246]':0.169)'Luang-Kisar [i-][w-][a-][g-luan1261]':0.0244)'Central Malayo-Polynesian [i-][w-][a-][g-cent2245]':0.0203,((('Kele {Papua New Guinea} [i-sbc][w-kel][a-2396][g-kele1258]':0.149,'Loniu [i-los][w-lon][a-1911][g-loni1238]':0.0799)'Manus [i-][w-][a-][g-manu1262]':0.0848,((('East Futuna [i-fud][w-fue][a-1505][g-east2447]':0.175,('Niuafo`ou [i-num][w-nif][a-2216][g-niua1240]':0.0523,'Wallisian [i-wls][w-wll][a-2699][g-wall1257]':0.0532)'East Uvean-Niuafo`ou [i-][w-][a-][g-east2758]':0.0595,('Samoan [i-smo][w-sam][a-346][g-samo1305]':0.13,'Tokelau [i-tkl][w-tke][a-2599][g-toke1240]':0.12)'Samoan-Tokelauan [i-][w-][a-][g-samo1310]':0.0198,(('Kapingamarangi [i-kpg][w-kpn][a-1801][g-kapi1249]':0.0979,'Nukuoro [i-nkr][w-nkr][a-2182][g-nuku1260]':0.0204)'Northern Ellicean Outlier [i-][w-][a-][g-nort3235]':0.0313,(('Hawaiian [i-haw][w-haw][a-1628][g-hawa1245]':0.0658,'Tahitian [i-tah][w-tah][a-][g-tahi1242]':0.142)'Central East Nuclear Polynesian [i-][w-][a-][g-cent2062]':0.0499,'Rapanui [i-rap][w-rap][a-564][g-rapa1244]':0.114)'East Nuclear Polynesian [i-][w-][a-][g-east2449]':0.0363)'Northern Outlier Polynesian-East Polynesian [i-][w-][a-][g-nort3246]':0.0385)'Nuclear Polynesian [i-][w-][a-][g-nucl1485]':0.0203,('Niuean [i-niu][w-niu][a-2174][g-niue1239]':0.118,'Tonga {Tonga Islands} [i-ton][w-tng][a-2602][g-tong1325]':0.138)'Tongic [i-][w-][a-][g-tong1324]':0.0273)'Polynesian [i-][w-][a-][g-poly1242]':0.00681,'Rotuman [i-rtm][w-rot][a-2385][g-rotu1241]':0.232)'Central Pacific [i-][w-][a-][g-cent2060]':0.00765,('Iaai [i-iai][w-iaa][a-1629][g-iaai1238]':0.169,'Nengone [i-nen][w-nne][a-2155][g-neng1238]':0.148)'Loyalty Islands [i-][w-][a-][g-loya1239]':0.053,((('Mokilese [i-mkj][w-mok][a-2045][g-moki1238]':0.0951,'Pingelapese [i-pif][w-pgl][a-2294][g-ping1243]':0.0372)'Ponapeic [i-][w-][a-][g-pona1248]':0.0567,('Carolinian [i-cal][w-crl][a-1110][g-caro1242]':0.116,'Ulithian [i-uli][w-uli][a-2664][g-ulit1238]':0.106)'Trukic [i-][w-][a-][g-truk1243]':0.0281)'Ponapeic-Trukic [i-][w-][a-][g-pona1247]':0.00606,'Nauru [i-nau][w-nau][a-2201][g-naur1243]':0.253)'Micronesian [i-][w-][a-][g-micr1243]':0.0226,(('Lonwolwol [i-crc][w-lnw][a-1177][g-lonw1238]':0.0419,('South Efate [i-erk][w-erk][a-3038][g-sout2856]':0.0364,'Lamenu [i-lmu][w-lmu][a-3158][g-lame1260]':0.138)'Epi-Efate [i-][w-][a-][g-epie1239]':0.0786,('Port Sandwich [i-psw][w-psw][a-2836][g-port1285]':0.0685,'Big Nambas [i-nmb][w-nbb][a-2184][g-bign1238]':0.106)'Malakula [i-][w-][a-][g-mala1539]':0.0533)'Central Vanuatu [i-][w-][a-][g-cent2269]':0.0507,('Araki {Vanuatu} [i-akr][w-ark][a-871][g-arak1252]':0.177,'Hano [i-lml][w-rag][a-1900][g-hano1246]':0.0421)'Northern Vanuatu [i-][w-][a-][g-nort3205]':0.0555)'North and Central Vanuatu [i-][w-][a-][g-nort3195]':0.0221,('Gela [i-nlg][w-gel][a-2183][g-gela1263]':0.135,('Longgu [i-lgu][w-lgu][a-1884][g-long1395]':0.103,('Kwaio [i-kwd][w-kwa][a-1847][g-kwai1243]':0.0493,'To`abaita [i-mlu][w-toq][a-2034][g-toab1237]':0.273)'Northern Malaita [i-][w-][a-][g-nort2833]':0.0344)'Malaita-San Cristobal [i-][w-][a-][g-mala1485]':0.0418)'Southeast Solomonic [i-][w-][a-][g-sout2853]':0.023,(('Cemuhi [i-cam][w-cem][a-1111][g-cemu1238]':0.08,'Dumbea [i-duf][w-pta][a-1438-2904][g-dumb1241]':0.287,'Fwai [i-fwa][w-poa][a-1512][g-fwai1237]':0.203,('Ajie [i-aji][w-aji][a-867][g-ajie1238]':0.0476,'Tiri [i-cir][w-tin][a-1144][g-tiri1258]':0.113,'Xaracuu [i-ane][w-xar][a-893][g-xara1244]':0.158)'Southern New Caledonian [i-][w-][a-][g-sout3189]':0.0298)'New Caledonian [i-][w-][a-][g-newc1243]':0.0148,('Aneityum [i-aty][w-anj][a-935][g-anei1239]':0.139,'Ura {Vanuatu} [i-uur][w-ura][a-2678][g-urav1235]':0.118,'Kwamera [i-tnk][w-kwr][a-2593][g-kwam1252]':0.349)'South Vanuatu [i-][w-][a-][g-sout2868]':0.0427)'Southern Melanesian [i-][w-][a-][g-sout3173]':0.0326,('Ayiwo [i-nfl][w-ayw][a-13][g-ayiw1239]':0.0479,'Teanu [i-tkw][w-bum][a-2579][g-tean1237]':0.138)'Temotu [i-][w-][a-][g-temo1244]':0.0401,((('Nalik [i-nal][w-nal][a-2132][g-nali1244]':0.0614,'Tungag [i-lcm][w-tnk][a-1874][g-tung1290]':0.0286)'Tungak-Nalik [i-][w-][a-][g-tung1294]':0.0363,((('Hoava [i-hoa][w-hoa][a-1614][g-hoav1238]':0.0487,'Roviana [i-rug][w-rov][a-2387][g-rovi1238]':0.037)'East New Georgia [i-][w-][a-][g-east2761]':0.0486,'Bannoni [i-bcm][w-bnn][a-977][g-bann1247]':0.0614,'Kokota [i-kkk][w-kkt][a-1769][g-koko1269]':0.0771)'Northwest Solomonic [i-][w-][a-][g-nort3225]':0.0285,'Siar-Lak [i-sjr][w-sir][a-2434][g-siar1238]':0.155,'Sursurunga [i-sgz][w-sur][a-2418][g-surs1246]':0.465)'St George linkage [i-][w-][a-][g-stge1234]':0.0149)'Meso Melanesian linkage [i-][w-][a-][g-meso1253]':0.0219,((((('Aribwatsa [i-laz][w-ari][a-1866][g-arib1241]':0.0766,'Musom [i-msu][w-msm][a-2086][g-muso1238]':0.0622)'Busu [i-][w-][a-][g-busu1245]':0.0288,'Labu [i-lbu][w-lab][a-3157][g-labu1248]':0.0507)'Lower Markham [i-][w-][a-][g-lowe1411]':0.0444,'Adzera [i-adz][w-adz][a-955][g-adze1240]':0.152)'Markham [i-][w-][a-][g-mark1257]':0.00992,('Kela {Papua New Guinea} [i-kcl][w-kap][a-1715][g-kela1255]':0.184,'Yabem [i-jae][w-jab][a-1669][g-yabe1254]':0.161)'North Huon Gulf [i-][w-][a-][g-nort2858]':0.101)'Huon Gulf [i-][w-][a-][g-huon1245]':0.0344,('Matukar [i-mjk][w-mtk][a-2018][g-matu1261]':0.633,'Sio [i-xsi][w-sio][a-2429][g-sioo1240]':0.176,'Amara [i-aie][w-ama][a-862][g-amar1272]':0.0291)'Vitiaz linkage [i-][w-][a-][g-viti1243]':0.0466,('Tobati [i-tti][w-tbt][a-2628][g-toba1266]':0.243,'Sobei [i-sob][w-sob][a-2462][g-sobe1238]':0.0527)'Sarmi-Jayapura Bay [i-][w-][a-][g-sarm1241]':0.0949,('Kairiru [i-kxa][w-krr][a-1850][g-kair1263]':0.288,'Tumleo [i-tmq][w-tum][a-2588][g-tuml1238]':0.0891)'Schouten [i-][w-][a-][g-scho1242]':0.02)'North New Guinea linkage [i-][w-][a-][g-nort3206]':0.0314,((('Gapapaiwa [i-pwg][w-gap][a-2346][g-gapa1238]':0.132,'Minaveha [i-mvn][w-mnv][a-2103][g-mina1269]':0.231)'Are-Taupota [i-][w-][a-][g-aret1241]':0.127,'Gumawana [i-gvs][w-gmw][a-1581][g-guma1254]':0.2)'North Papuan Mainland-D`Entrecasteaux [i-][w-][a-][g-nort2848]':0.107,'Lala {Papua New Guinea} [i-nrz][w-all][a-2202][g-lala1268]':0.258)'Papuan Tip linkage [i-][w-][a-][g-papu1253]':0.0832)'Western Oceanic linkage [i-][w-][a-][g-west2818]':0.0132,'Yapese [i-yap][w-yap][a-2786][g-yape1248]':0.18)'Oceanic [i-][w-][a-][g-ocea1241]':0.00972,('Warembori [i-wsa][w-wrm][a-402][g-ware1253]':0.141,'Mor {Mor Islands} [i-mhz][w-mor][a-1998][g-morm1235]':0.137,'Irarutu [i-irh][w-irr][a-1651][g-irar1238]':0.148)'South Halmahera-West New Guinea [i-][w-][a-][g-sout2850]':0.0973)'Eastern Malayo-Polynesian [i-][w-][a-][g-east2712]':0.00203)'Central-Eastern Malayo-Polynesian [i-][w-][a-][g-cent2237]':0.00586,'Yakan [i-yka][w-ykn][a-2776][g-yaka1277]':0.451,((('Tausug [i-tsg][w-tsg][a-2616][g-taus1251]':0.0408,'Aklanon [i-akl][w-akl][a-870][g-akla1241]':0.462)'Bisayan [i-][w-][a-][g-bisa1268]':0.0535,'Mamanwa [i-mmn][w-mmn][a-2038][g-mama1275]':0.174)'Central Philippine [i-][w-][a-][g-cent2246]':0.0447,'Maranao [i-mrw][w-mrn][a-484][g-mara1404]':0.201,'Binukid [i-bkd][w-bkd][a-1030][g-binu1244]':0.204,('Batak [i-bya][w-bat][a-1077][g-bata1301]':0.497,'Tagbanwa [i-tbw][w-tgb][a-2528][g-tagb1258]':0.16)'Northern Palawanic [i-][w-][a-][g-nort3185]':0.137)'Greater Central Philippine [i-][w-][a-][g-grea1284]':0.0189,('Komering [i-kge][w-kag][a-2692][g-kome1238]':0.4,'Lampung Api [i-ljp][w-lmp][a-1893][g-lamp1243]':0.104)'Lampung [i-][w-][a-][g-lamp1241]':0.0786,((('Eastern Cham [i-cjm][w-cme][a-1150][g-east2563]':0.0586,'Western Cham [i-cja][w-chw][a-1146][g-west2650]':0.0846)'Cham [i-][w-][a-][g-cham1328]':0.0394,('Northern Roglai [i-rog][w-rgn][a-2375][g-nort2994]':0.0487,'Tsat [i-huq][w-tst][a-1622][g-tsat1238]':0.396)'Northern Cham [i-][w-][a-][g-nort3219]':0.0293)'Chamic [i-][w-][a-][g-cham1330]':0.0254,(('Betawi [i-bew][w-meb][a-998][g-beta1252]':0.444,('Indonesian [i-ind][w-ind-inj][a-1324-1325-496][g-indo1316]':0.0795,'Standard Malay [i-zsm][w-mly][a-613][g-stan1306]':0.411)'Indonesian Archipelago Malay [i-][w-][a-][g-indo1326]':0.0466,'Negeri Sembilan Malay [i-zmi][w-mmu][a-2809][g-nege1240]':0.569,('Malay [i-zlm][w-ktp-myk][a-1357-1358][g-mala1479]':0.226,'Urak Lawoi` [i-urk][w-url][a-2675][g-urak1238]':0.0657)'Singapore Archipelago Malay [i-][w-][a-][g-sing1270]':0.0192)'Nuclear Malayic [i-][w-][a-][g-nucl1733]':0.0615,('Malay/ Manado [i-xmm][w-mds][a-2753][g-mala1481]':0.0424,'Papuan Malay [i-pmy][w-iir][a-][g-papu1250]':0.0701)'Eastern Indonesia Trade Malay [i-][w-][a-][g-east2743]':0.0362)'Malayic [i-][w-][a-][g-mala1538]':0.0307)'North and East Malayo-Sumbawan [i-][w-][a-][g-nort3170]':0.00961,('Sa`ban [i-snv][w-sab][a-2461][g-saba1265]':0.194,'Bonggi [i-bdg][w-bgz][a-][g-bong1289]':0.165,('Coastal Kadazan [i-kzj][w-kdz][a-1859][g-coas1294]':0.0769,'Tatana [i-txx][w-tat][a-2648][g-tata1257]':0.0997)'Southwest Sabahan [i-][w-][a-][g-sout3154]':0.0602)'North Bornean Malayo-Polynesian [i-][w-][a-][g-nort2892]':0.0276,('Central Cagayan Agta [i-agt][w-agc][a-854][g-cent2084]':0.271,'Iloko [i-ilo][w-ilo][a-1644][g-ilok1237]':0.239,('Balangao [i-blw][w-blg][a-1039][g-bala1310]':0.116,('Karao [i-kyj][w-kao][a-1853][g-kara1487]':0.184,'Pangasinan [i-pag][w-pnn][a-2314][g-pang1290]':0.0917)'West Southern Cordilleran [i-][w-][a-][g-west2550]':0.105)'South-Central Cordilleran [i-][w-][a-][g-sout3211]':0.0757,'Casiguran Dumagat Agta [i-dgc][w-dca][a-1294][g-casi1235]':0.0728)'Northern Luzon [i-][w-][a-][g-nort3238]':0.0245,('Enggano [i-eno][w-eno][a-1474][g-engg1245]':0.0812,'Simeulue [i-smr][w-sim][a-2452][g-sime1241]':0.0811,'Batak Toba [i-bbc][w-bto][a-968][g-bata1289]':0.11)'Northwest Sumatra-Barrier Islands [i-][w-][a-][g-nort2829]':0.0406,'Palauan [i-pau][w-pal][a-2309][g-pala1344]':0.16,('Bantik [i-bnq][w-bnt][a-1046][g-bant1286]':0.112,'Ratahan [i-rth][w-tor][a-2384][g-rata1244]':0.233)'Southern Sangiric [i-][w-][a-][g-sout3155]':0.0784,'Selayar [i-sly][w-sly][a-2448][g-sela1260]':0.2)'Malayo-Polynesian [i-][w-][a-][g-mala1545]':0.0865,'Paiwan [i-pwn][w-pai][a-327][g-paiw1248]':0.123)'Nuclear Austronesian [i-][w-][a-][g-nucl1752]';
