Family	Success	Comments	Tree
Fulnio	SUCCESS	Grafen's (1989) method	(('Fulnio Proper [i-][w-][a-][g-fuln1248]':1,'Yate [i-][w-][a-][g-yate1241]':1)'Fulnio [i-fun][w-ful][a-1509][g-fuln1247]':0);
Dem	SUCCESS	Grafen's (1989) method	(('Dem [i-dem][w-][a-][g-demm1245]':0)'Dem [i-dem][w-][a-][g-demm1245]':0);
Mixe-Zoque	SUCCESS	Grafen's (1989) method	(((((((('Camotlin Mixe [i-][w-][a-][g-camo1252]':1,'Coatlin Mixe [i-][w-][a-][g-coat1239]':1)'Coatlan Mixe [i-mco][w-mco][a-1952][g-coat1238]':2,'Isthmus Mixe [i-mir][w-][a-][g-isth1238]':3,'Mazatlan Mixe [i-mzl][w-][a-][g-maza1292]':3)'Lowland Mixe [i-][w-][a-][g-lowl1263]':9,(('Nuclear Juquila Mixe [i-][w-][a-][g-nucl1646]':1,'Ocotepec Mixe [i-][w-][a-][g-ocot1241]':1)'Juquila Mixe [i-mxq][w-][a-][g-juqu1238]':7,('Atitlin Mixe [i-][w-][a-][g-atit1238]':6,'Cotzocon Mixe [i-][w-][a-][g-cotz1238]':6,'Mixe de San Juan Cotzocon [i-][w-][a-][g-mixe1283]':6,'Mixistlan [i-][w-][a-][g-mixi1242]':6,'Olotepec [i-][w-][a-][g-olot1240]':6,'Puxmetecin [i-][w-][a-][g-puxm1238]':6,'Zacatepec [i-][w-][a-][g-zaca1240]':6)'North Central Mixe [i-neq][w-][a-][g-nort2939]':2)'Midland Mixe [i-][w-][a-][g-midl1241]':4)'Lowland-Midland Mixe [i-][w-][a-][g-lowl1269]':1,'Tlahuitoltepec Mixe [i-mxp][w-mxx][a-2110][g-tlah1239]':13)'Lowland-Midland-South Highland Mixe [i-][w-][a-][g-lowl1268]':2,'Totontepec Mixe [i-mto][w-mtp][a-2091][g-toto1305]':15,'Ulterior-Mixe [i-][w-][a-][g-ulte1235]':15)'Oaxaca Mixe [i-][w-][a-][g-oaxa1241]':3,'Oluta Popoluca [i-plo][w-olu][a-2308][g-olut1240]':18,'Sayula Popoluca [i-pos][w-say][a-2323][g-sayu1241]':18,'Tapachultec [i-qcs][w-][a-][g-tapa1260]':18)'Mixe [i-mixe][w-][a-185][g-mixe1286]':15,((((('Coapila Zoque [i-][w-][a-][g-coap1234]':2,'Copainala Zoque [i-][w-][a-][g-copa1239]':2,'Tecpatan Zoque [i-][w-][a-][g-tecp1236]':2)'Central Chiapas Zoque [i-][w-][a-][g-cent2418]':1,'Southern Chiapas Zoque [i-][w-][a-][g-sout3409]':3)'Central-South Chiapas Zoque [i-zoc][w-zqc][a-1460-492][g-copa1236]':6,('Chapultenango [i-][w-][a-][g-chap1265]':2,'Ocotepec-Tapalapa [i-][w-][a-][g-ocot1242]':2,'Rayon-Pantepec Zoque [i-][w-][a-][g-rayo1236]':2)'Northeast Chiapas Zoque [i-zor][w-zqr][a-2815][g-rayo1235]':7,('Franciso Leon [i-][w-][a-][g-fran1272]':2,'Ostuacin [i-][w-][a-][g-ostu1241]':2,'San Pedro Yaspac [i-][w-][a-][g-sanp1256]':2)'Northern Chiapas Zoque [i-zos][w-zfl][a-2816][g-fran1266]':7)'Chiapas Zoque [i-][w-][a-][g-chia1265]':1,'Jitotolteco [i-][w-][a-][g-jito1235]':10)'Chiapas-Jitotolteco Zoque [i-][w-][a-][g-chia1261]':4,'Chimalapa Zoque [i-zoh][w-zch][a-2814][g-chim1300]':14,('Highland Popoluca [i-poi][w-zqs][a-474][g-high1276]':2,('Tabasco Zoque [i-zoq][w-][a-][g-taba1264]':1,'Texistepec Popoluca [i-poq][w-][a-2941][g-texi1237]':1)'Texistepec-Ayapa Zoque [i-][w-][a-][g-texi1238]':1)'Gulf Zoque [i-][w-][a-][g-gulf1238]':12)'Zoque [i-][w-][a-][g-zoqu1261]':19)'Mixe-Zoque [i-][w-][a-][g-mixe1284]':0);
Mure	SUCCESS	Grafen's (1989) method	(('Mure [i-][w-][a-][g-mure1235]':0)'Mure [i-][w-][a-][g-mure1235]':0);
North Halmahera	SUCCESS	Grafen's (1989) method	(((((('Kadai {Galela} [i-][w-][a-][g-kada1290]':3,'Kadina [i-][w-][a-][g-kadi1247]':3,'Morotai [i-][w-][a-][g-moro1290]':3,'Sopi [i-][w-][a-][g-sopi1242]':3)'Galela [i-gbi][w-gll][a-1523][g-gale1259]':1,('Bakun [i-][w-][a-][g-baku1264]':0)'Loloda-Laba [i-loa][w-][a-][g-lolo1264]':4)'Galela-Loloda [i-][w-][a-][g-gale1261]':13,(('North Modole [i-][w-][a-][g-nort2925]':1,'South Modole [i-][w-][a-][g-sout2945]':1)'Modole [i-mqo][w-][a-][g-modo1249]':4,('Kao [i-kax][w-][a-][g-kaoo1238]':3,('Isam [i-][w-][a-][g-isam1243]':2,'Nuclear Pagu [i-][w-][a-][g-nucl1627]':2,'Toliwiku [i-][w-][a-][g-toli1245]':2)'Pagu [i-pgu][w-pag][a-2290][g-pagu1249]':1)'Paguic [i-][w-][a-][g-pagu1251]':2)'Kao River [i-][w-][a-][g-kaor1242]':12,('Adu [i-][w-][a-][g-aduu1238]':1,'Nyeku [i-][w-][a-][g-nyek1238]':1)'Tabaru [i-tby][w-tbr][a-2529][g-taba1263]':16,(('Boeng [i-][w-][a-][g-boan1244]':2,'Dodinga [i-][w-][a-][g-dodi1239]':2,'Nuclear Tobelo [i-][w-][a-][g-nucl1628]':2)'Tobelo [i-tlb][w-tlo][a-2580][g-tobe1252]':2,('Kusuri [i-][w-][a-][g-kusu1253]':1,'Teluk Lili [i-][w-][a-][g-telu1264]':1)'Tugutil [i-tuj][w-][a-][g-tugu1246]':3)'Tobelo-Tugutil [i-][w-][a-][g-tobe1251]':13)'Mainland North Halmaheran [i-][w-][a-][g-main1282]':7,('Ibu [i-ibu][w-][a-][g-ibuu1240]':4,('Gamkonora [i-gak][w-][a-][g-gamk1238]':3,(('Pa``disua [i-][w-][a-][g-padi1242]':1,'Tala``i [i-][w-][a-][g-tala1288]':1)'Sahu [i-saj][w-sah][a-343][g-sahu1245]':1,'Waioli [i-wli][w-][a-][g-waio1238]':2)'Sahu-Waioli [i-][w-][a-][g-sahu1246]':1)'Nuclear Sahuan [i-][w-][a-][g-nucl1759]':1)'Sahuan [i-][w-][a-][g-sahu1244]':20,('Ternate [i-tft][w-trt][a-2557][g-tern1247]':1,'Tidore [i-tvo][w-tid][a-2643][g-tido1248]':1)'Ternatean [i-][w-][a-][g-tern1246]':23)'Northern North Halmahera [i-][w-][a-][g-nort2924]':1,'West Makian [i-mqs][w-wma][a-2072][g-west2600]':25)'North Halmahera [i-][w-][a-][g-nort2923]':0);
Tonkawa	SUCCESS	Grafen's (1989) method	(('Tonkawa [i-tqw][w-ton][a-382][g-tonk1249]':0)'Tonkawa [i-tqw][w-ton][a-382][g-tonk1249]':0);
Otomaco-Taparita	SUCCESS	Grafen's (1989) method	(('Otomaco [i-][w-][a-][g-otom1301]':1,'Taparita [i-][w-][a-][g-tapa1262]':1)'Otomaco-Taparita [i-][w-][a-][g-otom1276]':0);
Klamath-Modoc	SUCCESS	Grafen's (1989) method	(('Klamath-Modoc [i-kla][w-klm][a-685][g-klam1254]':0)'Klamath-Modoc [i-kla][w-klm][a-685][g-klam1254]':0);
Fasu	SUCCESS	Grafen's (1989) method	(('Kaibu [i-][w-][a-][g-kaib1243]':2,'Namome [i-][w-][a-][g-namo1245]':2,'Some [i-][w-][a-][g-some1244]':2)'Fasu [i-faa][w-fas][a-1486][g-fasu1242]':0);
Chibchan	SUCCESS	Grafen's (1989) method	((((('Changuena [i-][w-][a-][g-chan1324]':1,'Dorasque [i-][w-][a-][g-dora1242]':1)'Doracic [i-][w-][a-][g-dora1241]':16,((('Bokota [i-][w-][a-][g-boko1272]':1,'Sabanero [i-][w-][a-][g-saba1272]':1)'Buglere [i-sab][w-bgl][a-2392][g-bugl1243]':2,('Eastern Guaymi [i-][w-][a-][g-east2570]':1,'Valiente [i-][w-][a-][g-vali1239]':1)'Ngabere [i-gym][w-nbr][a-90][g-ngab1239]':2)'Guaymiic [i-][w-][a-][g-guay1266]':3,('Border Kuna [i-kvn][w-kun][a-1833][g-bord1248]':2,('Bayano [i-][w-][a-][g-baya1263]':1,'Chuana [i-][w-][a-][g-chua1255]':1)'San Blas Kuna [i-cuk][w-][a-][g-sanb1242]':1)'Kuna [i-][w-][a-][g-kuna1280]':4)'Eastern Isthmic Chibchan [i-][w-][a-][g-east2569]':11,('Boruca [i-brn][w-brc][a-1066][g-boru1252]':8,'Teribe [i-tfr][w-trb][a-2556][g-teri1250]':8,(('Amubre-Katsi [i-][w-][a-][g-amub1238]':2,'Coroma [i-][w-][a-][g-coro1254]':2,'Salitre-Cabagra [i-][w-][a-][g-sali1302]':2)'Bribri [i-bzd][w-bri][a-519][g-brib1243]':4,('Chirripo [i-][w-][a-][g-chir1293]':3,'Estrella [i-][w-][a-][g-estr1249]':3,'Telire [i-][w-][a-][g-teli1245]':3,'Ujarras [i-][w-][a-][g-ujar1238]':3)'Cabecar [i-cjp][w-cab][a-1152][g-cabe1245]':3)'Viceitic [i-][w-][a-][g-vice1244]':2)'Western Isthmic Chibchan [i-][w-][a-][g-west2641]':9)'Isthmic Chibchan [i-][w-][a-][g-isth1243]':16,((('Cogui [i-kog][w-cog][a-1792][g-cogu1240]':3,('Arhuaco [i-arh][w-ika][a-532][g-arhu1242]':2,('Kankuamo [i-][w-][a-][g-kank1244]':1,'Malayo [i-mbp][w-dam][a-1940][g-mala1522]':1)'Eastern Arhuacic [i-][w-][a-][g-east2572]':1)'Eastern-Southern Arhuacic [i-][w-][a-][g-east2571]':1)'Arhuacic [i-][w-][a-][g-arhu1241]':1,'Chimila [i-cbg][w-cma][a-1122][g-chim1309]':4)'Northern Magdalenic [i-][w-][a-][g-nort3000]':7,('Bari [i-mot][w-mti][a-2059][g-bari1297]':6,('Chibcha [i-chb][w-msc][a-1121][g-chib1270]':1,'Duit [i-][w-][a-][g-duit1239]':1)'Chibcha-Duit [i-][w-][a-][g-chib1269]':5,('Angosturas Tunebo [i-tnd][w-][a-][g-ango1257]':3,'Barro Negro Tunebo [i-tbn][w-][a-][g-barr1251]':3,'Central Tunebo [i-tuf][w-tnb][a-2592][g-cent2150]':3,'Western Tunebo [i-tnb][w-][a-][g-west2651]':3)'Tunebo [i-][w-][a-][g-tune1260]':3)'Southern Magdalenic [i-][w-][a-][g-sout3015]':5)'Magdalenic [i-][w-][a-][g-magd1236]':22,('Antioquian [i-][w-][a-][g-anti1242]':0)'Unclassified Chibchan [i-][w-][a-][g-unun9943]':33,('Huetar [i-][w-][a-][g-huet1235]':2,'Maleku Jaika [i-gut][w-][a-][g-male1297]':2,'Rama [i-rma][w-ram][a-454][g-rama1270]':2)'Votic Chibchan [i-][w-][a-][g-voti1248]':31)'Core Chibchan [i-][w-][a-][g-core1252]':1,'Pech [i-pay][w-pec][a-2272][g-pech1241]':34)'Chibchan [i-][w-][a-][g-chib1249]':0);
Nimboranic	SUCCESS	Grafen's (1989) method	(('Nimboran [i-nir][w-nim][a-212][g-nucl1633]':4,('Mekwei [i-msf][w-][a-][g-mekw1241]':3,(('Gresi [i-grs][w-][a-][g-gres1240]':1,'Kemtuik [i-kmt][w-kmt][a-1785][g-kemt1242]':1)'Gresi-Kemtuik [i-][w-][a-][g-gres1241]':1,'Mlap [i-kja][w-][a-][g-mlap1238]':2)'Mlap-Gresi-Kemtuik [i-][w-][a-][g-mlap1239]':1)'Outer Nimboranic [i-][w-][a-][g-oute1261]':1)'Nimboranic [i-][w-][a-][g-nimb1257]':0);
Atakapa	SUCCESS	Grafen's (1989) method	(('Eastern Atakapa [i-][w-][a-][g-east2802]':1,'Western Atakapa [i-][w-][a-][g-west2881]':1)'Atakapa [i-aqp][w-atk][a-27][g-atak1252]':0);
Natchez	SUCCESS	Grafen's (1989) method	(('Natchez [i-ncz][w-nat][a-202][g-natc1249]':0)'Natchez [i-ncz][w-nat][a-202][g-natc1249]':0);
