Family	Success	Comments	Tree
Fulnio	FAIL	NJ: the distances matrix is too small	
Dem	FAIL	NJ: too few languages	
Mixe-Zoque	SUCCESS	NJ	('Highland Popoluca [i-poi][w-zqs][a-474][g-high1276]':0.00137,(((('Isthmus Mixe [i-mir][w-][a-][g-isth1238]':0.000548,'Mazatlan Mixe [i-mzl][w-][a-][g-maza1292]':0.000655):0.000331,'Chimalapa Zoque [i-zoh][w-zch][a-2814][g-chim1300]':0.00222):0.00075,(('Tlahuitoltepec Mixe [i-mxp][w-mxx][a-2110][g-tlah1239]':0.00118,'Totontepec Mixe [i-mto][w-mtp][a-2091][g-toto1305]':0.00031):0.000186,'Ulterior-Mixe [i-][w-][a-][g-ulte1235]':0.000586):0.00338):0.00162,(('Jitotolteco [i-][w-][a-][g-jito1235]':0.00194,'Tapachultec [i-qcs][w-][a-][g-tapa1260]':0.0104):0.00246,'Tabasco Zoque [i-zoq][w-][a-][g-taba1264]':0.00383):0.00489):0.00146,(('Oluta Popoluca [i-plo][w-olu][a-2308][g-olut1240]':0.000106,'Sayula Popoluca [i-pos][w-say][a-2323][g-sayu1241]':0.000292):0.000125,'Texistepec Popoluca [i-poq][w-][a-2941][g-texi1237]':0.000279):0.000111);
Mure	FAIL	NJ: too few languages	
North Halmahera	SUCCESS	NJ	('Ibu [i-ibu][w-][a-][g-ibuu1240]':0.000849,'Gamkonora [i-gak][w-][a-][g-gamk1238]':6.99e-05,(((('Tidore [i-tvo][w-tid][a-2643][g-tido1248]':0.00241,'West Makian [i-mqs][w-wma][a-2072][g-west2600]':4.09e-05):0.00199,'Ternate [i-tft][w-trt][a-2557][g-tern1247]':0.000499):0.00158,'Kao [i-kax][w-][a-][g-kaoo1238]':0.00091):0.000662,'Waioli [i-wli][w-][a-][g-waio1238]':0.000192):0.000413);
Tonkawa	FAIL	NJ: too few languages	
Otomaco-Taparita	FAIL	NJ: the distances matrix has too few non-missing data	
Klamath-Modoc	FAIL	NJ: too few languages	
Fasu	FAIL	NJ: the distances matrix is too small	
Chibchan	SUCCESS	NJ	('Barro Negro Tunebo [i-tbn][w-][a-][g-barr1251]':0.00174,'Angosturas Tunebo [i-tnd][w-][a-][g-ango1257]':0.000657,((((((((('Arhuaco [i-arh][w-ika][a-532][g-arhu1242]':0.000251,'Cogui [i-kog][w-cog][a-1792][g-cogu1240]':0.00139):0.000122,('Kankuamo [i-][w-][a-][g-kank1244]':0.000176,'Malayo [i-mbp][w-dam][a-1940][g-mala1522]':0.000843):0.000591):0.00295,'Chimila [i-cbg][w-cma][a-1122][g-chim1309]':0.00134):0.00602,'Bari [i-mot][w-mti][a-2059][g-bari1297]':0.00118):0.00443,(((((('Boruca [i-brn][w-brc][a-1066][g-boru1252]':0.00146,'Teribe [i-tfr][w-trb][a-2556][g-teri1250]':0.000251):0.00207,'Changuena [i-][w-][a-][g-chan1324]':0.000629):0.00108,(('Pech [i-pay][w-pec][a-2272][g-pech1241]':0.0226,'Rama [i-rma][w-ram][a-454][g-rama1270]':0.00289):0.000921,('Huetar [i-][w-][a-][g-huet1235]':0.000724,'Maleku Jaika [i-gut][w-][a-][g-male1297]':0.00344):0.00282):0.00715):0.00189,'Dorasque [i-][w-][a-][g-dora1242]':0.00234):0.0259,'Border Kuna [i-kvn][w-kun][a-1833][g-bord1248]':0.00139):0.00967,'Antioquian [i-][w-][a-][g-anti1242]':0.00105):0.00521):0.00383,'Chibcha [i-chb][w-msc][a-1121][g-chib1270]':0.00313):0.00322,'Duit [i-][w-][a-][g-duit1239]':0.00239):0.00186,'Western Tunebo [i-tnb][w-][a-][g-west2651]':0.00124):0.00136,'Central Tunebo [i-tuf][w-tnb][a-2592][g-cent2150]':0.00113):0.000844);
Nimboranic	SUCCESS	NJ	('Nimboran [i-nir][w-nim][a-212][g-nucl1633]':0.000412,'Mlap [i-kja][w-][a-][g-mlap1238]':6.12e-05,(('Gresi [i-grs][w-][a-][g-gres1240]':0.00038,'Kemtuik [i-kmt][w-kmt][a-1785][g-kemt1242]':0.000276):0.000268,'Mekwei [i-msf][w-][a-][g-mekw1241]':0.000342):8.11e-05);
Atakapa	FAIL	NJ: the distances matrix is too small	
Natchez	FAIL	NJ: too few languages	
