Family	Success	Comments	Tree
Fulnio	FAIL	NJ: the distances matrix has too few non-missing data	
Dem	FAIL	NJ: too few languages	
Mixe-Zoque	SUCCESS	NJ	('Zacatepec [i-][w-][a-][g-zaca1240]':0.0177,'Puxmetecin [i-][w-][a-][g-puxm1238]':0.0177,(((((((((((((((((((('Franciso Leon [i-][w-][a-][g-fran1272]':0.0372,'Ostuacin [i-][w-][a-][g-ostu1241]':0.0372):4.16e-17,'San Pedro Yaspac [i-][w-][a-][g-sanp1256]':0.0372):0.047,((('Coapila Zoque [i-][w-][a-][g-coap1234]':0.0257,'Copainala Zoque [i-][w-][a-][g-copa1239]':0.0257):0,'Tecpatan Zoque [i-][w-][a-][g-tecp1236]':0.0257):0.0231,'Southern Chiapas Zoque [i-][w-][a-][g-sout3409]':0.0257):0.0609):0.00363,(('Chapultenango [i-][w-][a-][g-chap1265]':0.0372,'Ocotepec-Tapalapa [i-][w-][a-][g-ocot1242]':0.0372):4.16e-17,'Rayon-Pantepec Zoque [i-][w-][a-][g-rayo1236]':0.0372):0.0503):0.0477,'Jitotolteco [i-][w-][a-][g-jito1235]':0.0175):0.134,'Chimalapa Zoque [i-zoh][w-zch][a-2814][g-chim1300]':0.0142):0.0099,(('Tabasco Zoque [i-zoq][w-][a-][g-taba1264]':0.054,'Texistepec Popoluca [i-poq][w-][a-2941][g-texi1237]':0.054):0.0615,'Highland Popoluca [i-poi][w-zqs][a-474][g-high1276]':0.0409):0.117):0.354,'Oluta Popoluca [i-plo][w-olu][a-2308][g-olut1240]':0.0418):0.0379,'Sayula Popoluca [i-pos][w-say][a-2323][g-sayu1241]':0.0755):0.0201,'Tapachultec [i-qcs][w-][a-][g-tapa1260]':0.0932):0.0526,'Totontepec Mixe [i-mto][w-mtp][a-2091][g-toto1305]':0.0754):0.00155,'Ulterior-Mixe [i-][w-][a-][g-ulte1235]':0.0767):0.0139,((('Camotlin Mixe [i-][w-][a-][g-camo1252]':0.0177,'Coatlin Mixe [i-][w-][a-][g-coat1239]':0.0177):0.0194,'Isthmus Mixe [i-mir][w-][a-][g-isth1238]':0.0143):0.00614,'Mazatlan Mixe [i-mzl][w-][a-][g-maza1292]':0.0196):0.0402):0.00662,'Tlahuitoltepec Mixe [i-mxp][w-mxx][a-2110][g-tlah1239]':0.0472):0.0173,('Nuclear Juquila Mixe [i-][w-][a-][g-nucl1646]':0.0177,'Ocotepec Mixe [i-][w-][a-][g-ocot1241]':0.0177):0.0257):0.0257,'Atitlin Mixe [i-][w-][a-][g-atit1238]':0.0177):0,'Cotzocon Mixe [i-][w-][a-][g-cotz1238]':0.0177):0,'Mixe de San Juan Cotzocon [i-][w-][a-][g-mixe1283]':0.0177):0,'Mixistlan [i-][w-][a-][g-mixi1242]':0.0177):0,'Olotepec [i-][w-][a-][g-olot1240]':0.0177):0);
Mure	FAIL	NJ: too few languages	
North Halmahera	SUCCESS	NJ	('Sopi [i-][w-][a-][g-sopi1242]':0.0372,'Morotai [i-][w-][a-][g-moro1290]':0.0372,(((((('Adu [i-][w-][a-][g-aduu1238]':0.054,'Nyeku [i-][w-][a-][g-nyek1238]':0.054):0.0439,(((('Isam [i-][w-][a-][g-isam1243]':0.0257,'Nuclear Pagu [i-][w-][a-][g-nucl1627]':0.0257):0,'Toliwiku [i-][w-][a-][g-toli1245]':0.0257):0.0118,'Kao [i-kax][w-][a-][g-kaoo1238]':0.037):0.0541,('North Modole [i-][w-][a-][g-nort2925]':0.0372,'South Modole [i-][w-][a-][g-sout2945]':0.0372):0.0538):0.0753):0.00878,(((('Ternate [i-tft][w-trt][a-2557][g-tern1247]':0.0782,'Tidore [i-tvo][w-tid][a-2643][g-tido1248]':0.0782):0.082,(((('Pa``disua [i-][w-][a-][g-padi1242]':0.0257,'Tala``i [i-][w-][a-][g-tala1288]':0.0257):0.0149,'Waioli [i-wli][w-][a-][g-waio1238]':0.0339):0.0456,'Gamkonora [i-gak][w-][a-][g-gamk1238]':0.0251):0.0856,'Ibu [i-ibu][w-][a-][g-ibuu1240]':0.0168):0.145):0.0176,'West Makian [i-mqs][w-wma][a-2072][g-west2600]':0.119):0.0453,((('Boeng [i-][w-][a-][g-boan1244]':0.0372,'Dodinga [i-][w-][a-][g-dodi1239]':0.0372):0,'Nuclear Tobelo [i-][w-][a-][g-nucl1628]':0.0372):0.054,('Kusuri [i-][w-][a-][g-kusu1253]':0.0372,'Teluk Lili [i-][w-][a-][g-telu1264]':0.0372):0.054):0.0732):0.00878):0.0694,'Bakun [i-][w-][a-][g-baku1264]':0.0912):0.054,'Kadai {Galela} [i-][w-][a-][g-kada1290]':0.0372):0,'Kadina [i-][w-][a-][g-kadi1247]':0.0372):0);
Tonkawa	FAIL	NJ: too few languages	
Otomaco-Taparita	FAIL	NJ: the distances matrix has too few non-missing data	
Klamath-Modoc	FAIL	NJ: too few languages	
Fasu	SUCCESS	NJ	('Some [i-][w-][a-][g-some1244]':0.164,'Namome [i-][w-][a-][g-namo1245]':0.164,'Kaibu [i-][w-][a-][g-kaib1243]':0.164);
Chibchan	SUCCESS	NJ	('Ujarras [i-][w-][a-][g-ujar1238]':0.0257,'Telire [i-][w-][a-][g-teli1245]':0.0257,(('Chirripo [i-][w-][a-][g-chir1293]':0.0257,'Estrella [i-][w-][a-][g-estr1249]':0.0257):0,(((('Amubre-Katsi [i-][w-][a-][g-amub1238]':0.0257,'Coroma [i-][w-][a-][g-coro1254]':0.0257):0,'Salitre-Cabagra [i-][w-][a-][g-sali1302]':0.0257):0.037,'Teribe [i-tfr][w-trb][a-2556][g-teri1250]':0.0452):0.000536,(((('Changuena [i-][w-][a-][g-chan1324]':0.054,'Dorasque [i-][w-][a-][g-dora1242]':0.054):0.0383,((('Bokota [i-][w-][a-][g-boko1272]':0.0257,'Sabanero [i-][w-][a-][g-saba1272]':0.0257):0.0372,('Eastern Guaymi [i-][w-][a-][g-east2570]':0.0257,'Valiente [i-][w-][a-][g-vali1239]':0.0257):0.0372):0.0476,(('Bayano [i-][w-][a-][g-baya1263]':0.0257,'Chuana [i-][w-][a-][g-chua1255]':0.0257):0.0239,'Border Kuna [i-kvn][w-kun][a-1833][g-bord1248]':0.0249):0.0603):0.068):0.021,((((((((('Angosturas Tunebo [i-tnd][w-][a-][g-ango1257]':0.0372,'Barro Negro Tunebo [i-tbn][w-][a-][g-barr1251]':0.0372):3.12e-17,'Central Tunebo [i-tuf][w-tnb][a-2592][g-cent2150]':0.0372):1.39e-17,'Western Tunebo [i-tnb][w-][a-][g-west2651]':0.0372):0.0398,'Bari [i-mot][w-mti][a-2059][g-bari1297]':0.0309):0.00737,('Chibcha [i-chb][w-msc][a-1121][g-chib1270]':0.0372,'Duit [i-][w-][a-][g-duit1239]':0.0372):0.0466):0.0756,(((('Kankuamo [i-][w-][a-][g-kank1244]':0.0177,'Malayo [i-mbp][w-dam][a-1940][g-mala1522]':0.0177):0.00796,'Arhuaco [i-arh][w-ika][a-532][g-arhu1242]':0.0257):0.0223,'Cogui [i-kog][w-cog][a-1792][g-cogu1240]':0.0265):0.0461,'Chimila [i-cbg][w-cma][a-1122][g-chim1309]':0.0246):0.0901):0.108,'Pech [i-pay][w-pec][a-2272][g-pech1241]':0.0744):0.033,(('Huetar [i-][w-][a-][g-huet1235]':0.0782,'Maleku Jaika [i-gut][w-][a-][g-male1297]':0.0782):1.39e-17,'Rama [i-rma][w-ram][a-454][g-rama1270]':0.0782):0.0803):0.0183,'Antioquian [i-][w-][a-][g-anti1242]':0.173):0.0551):0.0897,'Boruca [i-brn][w-brc][a-1066][g-boru1252]':0.0408):0.00735):0.0367):0);
