Family	Success	Comments	Tree
Fulnio	FAIL	NJ: the distances matrix is too small	
Dem	FAIL	NJ: too few languages	
Mixe-Zoque	SUCCESS	NJ	('Totontepec Mixe [i-mto][w-mtp][a-2091][g-toto1305]':0.0365,'Sayula Popoluca [i-pos][w-say][a-2323][g-sayu1241]':0,((('Chimalapa Zoque [i-zoh][w-zch][a-2814][g-chim1300]':0.0573,'Tlahuitoltepec Mixe [i-mxp][w-mxx][a-2110][g-tlah1239]':0.0469):0.013,'Highland Popoluca [i-poi][w-zqs][a-474][g-high1276]':0.0339):0.0228,'Oluta Popoluca [i-plo][w-olu][a-2308][g-olut1240]':0.0137):0.00195);
Mure	FAIL	NJ: too few languages	
North Halmahera	SUCCESS	NJ	('West Makian [i-mqs][w-wma][a-2072][g-west2600]':0.0313,'Tidore [i-tvo][w-tid][a-2643][g-tido1248]':0.0937,'Ternate [i-tft][w-trt][a-2557][g-tern1247]':0.0729);
Tonkawa	FAIL	NJ: too few languages	
Otomaco-Taparita	FAIL	NJ: the distances matrix is too small	
Klamath-Modoc	FAIL	NJ: too few languages	
Fasu	FAIL	NJ: the distances matrix is too small	
Chibchan	SUCCESS	NJ	('Chimila [i-cbg][w-cma][a-1122][g-chim1309]':0,'Central Tunebo [i-tuf][w-tnb][a-2592][g-cent2150]':0,((((((('Border Kuna [i-kvn][w-kun][a-1833][g-bord1248]':0.0281,'Chibcha [i-chb][w-msc][a-1121][g-chib1270]':0.0188):0.00479,'Pech [i-pay][w-pec][a-2272][g-pech1241]':0.0525):0.00103,(('Arhuaco [i-arh][w-ika][a-532][g-arhu1242]':0.188,'Rama [i-rma][w-ram][a-454][g-rama1270]':0.224):0.0341,'Teribe [i-tfr][w-trb][a-2556][g-teri1250]':0.0909):0.0117):0.0178,'Malayo [i-mbp][w-dam][a-1940][g-mala1522]':0.0475):0.00582,'Boruca [i-brn][w-brc][a-1066][g-boru1252]':0.00199):0.00317,'Cogui [i-kog][w-cog][a-1792][g-cogu1240]':0.00513):8.14e-05,'Bari [i-mot][w-mti][a-2059][g-bari1297]':0):0);
Nimboranic	FAIL	NJ: the distances matrix has too few non-missing data	
Atakapa	FAIL	NJ: the distances matrix is too small	
Natchez	FAIL	NJ: too few languages	
Turkic	SUCCESS	NJ	('West Yugur [i-ybe][w-syg][a-2766][g-west2402]':0,'Krymchak [i-jct][w-kym][a-1444][g-krym1236]':0,((('Northern Uzbek [i-uzn][w-uzn][a-][g-nort2690]':0.015,'Sakha [i-sah][w-ykt][a-2662][g-yaku1245]':0.12):0.00911,'Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':0.00391):0.0013,'Kipchak Urum [i-uum][w-urm][a-2677][g-urum1249]':0):0);
Mombum-Koneraw	FAIL	NJ: the distances matrix is too small	
Saharan	FAIL	NJ: the distances matrix is too small	
Camsa	FAIL	NJ: too few languages	
Surmic	SUCCESS	NJ	('Mursi [i-muz][w-mur][a-2098][g-murs1242]':0.0482,'Didinga [i-did][w-did][a-1321][g-didi1258]':0.0352,('Majang [i-mpe][w-maj][a-2063][g-maja1242]':0.0326,'Tennet [i-tex][w-ten][a-2554][g-tenn1246]':0.0352):0.0117);
Fuyug	FAIL	NJ: the distances matrix is too small	
Mimi-Gaudefroy	FAIL	NJ: too few languages	
Atacame	FAIL	NJ: too few languages	
Amto-Musan	FAIL	NJ: the distances matrix is too small	
Ijoid	FAIL	NJ: the distances matrix is too small	
Muniche	FAIL	NJ: too few languages	
Trumai	FAIL	NJ: too few languages	
Comecrudan	FAIL	NJ: the distances matrix is too small	
Anim	FAIL	NJ: the distances matrix is too small	
Wakashan	SUCCESS	NJ	('Kwak``wala [i-kwk][w-kwk][a-152][g-kwak1269]':0.0495,'Ditidaht [i-dtd][w-nit][a-1374][g-diti1235]':0.0547,('Makah [i-myh][w-mak][a-555][g-maka1318]':0.143,'Nuu-chah-nulth [i-nuk][w-nuu][a-1373-317][g-nuuc1236]':0.0807):0.0156);
Koman	FAIL	NJ: the distances matrix is too small	
Katla-Tima	FAIL	NJ: the distances matrix is too small	
Tangkic	FAIL	NJ: the distances matrix has too few non-missing data	
Minkin	FAIL	NJ: too few languages	
Taruma	FAIL	NJ: too few languages	
Zaparoan	FAIL	NJ: the distances matrix has too few non-missing data	
Bunaban	FAIL	NJ: the distances matrix has too few non-missing data	
Guahiboan	FAIL	NJ: the distances matrix is too small	
Doso-Turumsa	FAIL	NJ: the distances matrix is too small	
Nihali	FAIL	NJ: too few languages	
Lule	FAIL	NJ: too few languages	
Ainu	FAIL	NJ: the distances matrix is too small	
Kadugli-Krongo	FAIL	NJ: the distances matrix is too small	
Cofan	FAIL	NJ: the distances matrix is too small	
Chicham	SUCCESS	NJ	('Shuar [i-jiv][w-jiv][a-352][g-shua1257]':0.109,'Huambisa [i-hub][w-hmb][a-1620][g-huam1247]':0.00521,'Aguaruna [i-agr][w-agr][a-853][g-agua1253]':0);
