Family	Success	Comments	Tree
Fulnio	FAIL	NNLS: the distances matrix is too small	
Dem	FAIL	NNLS: too few languages	
Mixe-Zoque	SUCCESS	NNLS	('Tlahuitoltepec Mixe [i-mxp][w-mxx][a-2110][g-tlah1239]':0.5,'Sayula Popoluca [i-pos][w-say][a-2323][g-sayu1241]':0.5)'Mixe [i-mixe][w-][a-185][g-mixe1286]';
Mure	FAIL	NNLS: too few languages	
North Halmahera	SUCCESS	NNLS	(('Ternate [i-tft][w-trt][a-2557][g-tern1247]':0.0316,'Tidore [i-tvo][w-tid][a-2643][g-tido1248]':0.0316)'Ternatean [i-][w-][a-][g-tern1246]':0,'West Makian [i-mqs][w-wma][a-2072][g-west2600]':0.0316)'North Halmahera [i-][w-][a-][g-nort2923]';
Tonkawa	FAIL	NNLS: too few languages	
Otomaco-Taparita	FAIL	NNLS: the distances matrix is too small	
Klamath-Modoc	FAIL	NNLS: too few languages	
Fasu	FAIL	NNLS: the distances matrix is too small	
Chibchan	SUCCESS	NNLS	(('Border Kuna [i-kvn][w-kun][a-1833][g-bord1248]':0.141,('Boruca [i-brn][w-brc][a-1066][g-boru1252]':0.141,'Teribe [i-tfr][w-trb][a-2556][g-teri1250]':0.141)'Western Isthmic Chibchan [i-][w-][a-][g-west2641]':0)'Isthmic Chibchan [i-][w-][a-][g-isth1243]':8.33e-17,((('Cogui [i-kog][w-cog][a-1792][g-cogu1240]':0.141,('Arhuaco [i-arh][w-ika][a-532][g-arhu1242]':0.141,'Malayo [i-mbp][w-dam][a-1940][g-mala1522]':0.141)'Eastern-Southern Arhuacic [i-][w-][a-][g-east2571]':8.33e-17)'Arhuacic [i-][w-][a-][g-arhu1241]':8.33e-17,'Chimila [i-cbg][w-cma][a-1122][g-chim1309]':0.141)'Northern Magdalenic [i-][w-][a-][g-nort3000]':8.33e-17,('Bari [i-mot][w-mti][a-2059][g-bari1297]':8.33e-17,'Central Tunebo [i-tuf][w-tnb][a-2592][g-cent2150]':8.33e-17)'Southern Magdalenic [i-][w-][a-][g-sout3015]':0.141)'Magdalenic [i-][w-][a-][g-magd1236]':8.33e-17,'Rama [i-rma][w-ram][a-454][g-rama1270]':0.141)'Core Chibchan [i-][w-][a-][g-core1252]';
Nimboranic	FAIL	NNLS: too few languages with non-missing data	
Atakapa	FAIL	NNLS: the distances matrix is too small	
Natchez	FAIL	NNLS: too few languages	
Turkic	SUCCESS	NNLS	('Bolgarian [i-xbo][w-][a-2859][g-bolg1250]':0.5,('Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]':0.2,'Sakha [i-sah][w-ykt][a-2662][g-yaku1245]':0.2)'Sakha-Dolgan [i-][w-][a-][g-nort2688]':0.3)'Turkic [i-][w-][a-][g-turk1311]';
Mombum-Koneraw	FAIL	NNLS: the distances matrix is too small	
Saharan	FAIL	NNLS: the distances matrix is too small	
Camsa	FAIL	NNLS: too few languages	
Surmic	SUCCESS	NNLS	('Majang [i-mpe][w-maj][a-2063][g-maja1242]':0.137,('Mursi [i-muz][w-mur][a-2098][g-murs1242]':0.135,('Didinga [i-did][w-did][a-1321][g-didi1258]':0.0795,'Tennet [i-tex][w-ten][a-2554][g-tenn1246]':0.0795)'Didinga-Murle [i-][w-][a-][g-didi1256]':0.0551)'South Surmic [i-][w-][a-][g-sout2836]':0.00233)'Surmic [i-][w-][a-][g-surm1244]';
Fuyug	FAIL	NNLS: the distances matrix is too small	
Mimi-Gaudefroy	FAIL	NNLS: too few languages	
Atacame	FAIL	NNLS: too few languages	
Amto-Musan	FAIL	NNLS: the distances matrix is too small	
Ijoid	FAIL	NNLS: the distances matrix is too small	
Muniche	FAIL	NNLS: too few languages	
Trumai	FAIL	NNLS: too few languages	
Comecrudan	FAIL	NNLS: the distances matrix is too small	
Anim	FAIL	NNLS: the distances matrix is too small	
Wakashan	SUCCESS	NNLS	('Kwak``wala [i-kwk][w-kwk][a-152][g-kwak1269]':0.0962,('Ditidaht [i-dtd][w-nit][a-1374][g-diti1235]':0.0962,'Makah [i-myh][w-mak][a-555][g-maka1318]':0.0962)'Makah-Nitinat [i-][w-][a-][g-maka1326]':0)'Wakashan [i-][w-][a-][g-waka1280]';
Koman	FAIL	NNLS: the distances matrix is too small	
Katla-Tima	FAIL	NNLS: the distances matrix is too small	
Tangkic	SUCCESS	NNLS	('Lardil [i-lbz][w-lrd][a-1872][g-lard1243]':0,'Kayardild [i-gyd][w-kay][a-128][g-kaya1319]':0)'Tangkic [i-][w-][a-][g-tang1340]';
Minkin	FAIL	NNLS: too few languages	
Taruma	FAIL	NNLS: too few languages	
Zaparoan	FAIL	NNLS: too few languages with non-missing data	
Bunaban	SUCCESS	NNLS	(('Bunaba [i-bck][w-bnb][a-976][g-buna1275]':0.0781,'Gooniyandi [i-gni][w-goo][a-149][g-goon1238]':0.0781)'Bunaban [i-][w-][a-][g-buna1274]':1);
Guahiboan	FAIL	NNLS: the distances matrix is too small	
Doso-Turumsa	FAIL	NNLS: the distances matrix is too small	
Nihali	FAIL	NNLS: too few languages	
Lule	FAIL	NNLS: too few languages	
Ainu	FAIL	NNLS: the distances matrix is too small	
Kadugli-Krongo	FAIL	NNLS: the distances matrix is too small	
Cofan	FAIL	NNLS: the distances matrix is too small	
Chicham	SUCCESS	NNLS	('Aguaruna [i-agr][w-agr][a-853][g-agua1253]':0.102,('Huambisa [i-hub][w-hmb][a-1620][g-huam1247]':0.102,'Shuar [i-jiv][w-jiv][a-352][g-shua1257]':0.102)'Huambisa-Shuar [i-][w-][a-][g-huam1251]':1.39e-17)'Chicham [i-][w-][a-][g-jiva1245]';
Huavean	SUCCESS	NNLS	('San Dionisio del Mar Huave [i-hve][w-][a-106][g-sand1278]':0,'San Mateo del Mar Huave [i-huv][w-hve][a-1625][g-sanm1287]':0)'San Dionisio-San Mateo Huave [i-][w-][a-][g-sand1283]';
Bororoan	FAIL	NNLS: the distances matrix is too small	
Mato Grosso Arara	FAIL	NNLS: too few languages	
Songhay	FAIL	NNLS: the distances matrix is too small	
Shabo	FAIL	NNLS: too few languages	
Yamana	FAIL	NNLS: the distances matrix is too small	
Tupian	SUCCESS	NNLS	('Karitiana [i-ktn][w-kna][a-1827][g-kari1311]':0.258,(('Kamayura [i-kay][w-kma][a-1704][g-kama1373]':0.165,('Tapiete [i-tpj][w-tpt][a-2514][g-tapi1253]':0,'Siriono [i-srq][w-srn][a-2476][g-siri1273]':0)'Southern Tupi-Guarani [i-][w-][a-][g-sout3271]':0.165,'Tocantins Asurini [i-asu][w-asu][a-932][g-toca1235]':0.165,'Urubu-Kaapor [i-urb][w-urk][a-574][g-urub1250]':0.165)'Tupi-Guarani [i-][w-][a-][g-tupi1276]':0,'Munduruku [i-myu][w-muu][a-2119][g-mund1330]':0.165)'Eastern Tupian [i-][w-][a-][g-east2909]':0.0928)'Tupian [i-][w-][a-][g-tupi1275]';
Massep	FAIL	NNLS: too few languages	
Cuitlatec	FAIL	NNLS: too few languages	
Left May	FAIL	NNLS: too few languages with non-missing data	
Yangmanic	FAIL	NNLS: the distances matrix is too small	
Cariban	SUCCESS	NNLS	('Apalai [i-apy][w-apl][a-905][g-apal1257]':0,'Carijona [i-cbd][w-crj][a-1120-1245-1246-769][g-cari1279]':0)'Cariban [i-][w-][a-][g-cari1283]';
Eastern Jebel	FAIL	NNLS: the distances matrix is too small	
Tuxa	FAIL	NNLS: too few languages	
Narrow Talodi	FAIL	NNLS: the distances matrix is too small	
Sandawe	FAIL	NNLS: too few languages	
Mor {Bomberai Peninsula}	FAIL	NNLS: too few languages	
Purari	FAIL	NNLS: too few languages	
Laragia	FAIL	NNLS: too few languages	
Umbugarla	FAIL	NNLS: too few languages	
Etruscan	FAIL	NNLS: too few languages	
Kunimaipan	FAIL	NNLS: the distances matrix is too small	
Shom Peng	FAIL	NNLS: too few languages	
Shastan	FAIL	NNLS: the distances matrix is too small	
Kusunda	FAIL	NNLS: too few languages	
Tabo	FAIL	NNLS: the distances matrix is too small	
Candoshi-Shapra	FAIL	NNLS: the distances matrix is too small	
Indo-European	SUCCESS	NNLS	('Hittite [i-hit][w-][a-100][g-hitt1242]':0.427,(('Old Russian [i-orv][w-][a-2858][g-oldr1238]':0.146,'Croatian Standard [i-hrv][w-][a-2471][g-croa1245]':0.146,'Slovak [i-slk][w-svk][a-2444][g-slov1269]':0.146)'Slavic [i-][w-][a-][g-slav1255]':0.118,'Manx [i-glv][w-mnx][a-2014][g-manx1243]':0.264,(('Jutish [i-jut][w-][a-3001][g-juti1236]':0.194,(('Faroese [i-fao][w-far][a-710][g-faro1244]':0.118,'Icelandic [i-isl][w-ice][a-110][g-icel1247]':0.118)'Icelandic-Faroese [i-][w-][a-][g-icel1246]':0,'Norwegian Bokmål [i-nob][w-][a-711][g-norw1259]':0.118)'West Scandinavian [i-nrn][w-][a-714][g-west2805]':0.0765)'North Germanic [i-][w-][a-][g-nort3160]':0.0695,('Old High German {ca. 750-1050} [i-goh][w-][a-2854][g-oldh1241]':0.264,'Berbice Creole Dutch [i-brc][w-bdc][a-1062][g-berb1259]':0.264,('Old Saxon [i-osx][w-][a-2855][g-olds1250]':0,'Old Frisian [i-ofs][w-][a-2857][g-oldf1241]':0)'North Sea Germanic [i-][w-][a-][g-nort3175]':0.264)'West Germanic [i-][w-][a-][g-west2793]':0)'Northwest Germanic [i-][w-][a-][g-nort3152]':0,('Parya [i-paq][w-][a-3002][g-pary1242]':0.25,'Khorasani Kurmanji [i-kur][w-][a-676][g-khor1267]':0.25)'Indo-Iranian [i-][w-][a-][g-indo1320]':0.014,'Galician [i-glg][w-glc][a-1550][g-gali1258]':0.264)'Classical Indo-European [i-][w-][a-][g-clas1257]':0.163)'Indo-European [i-][w-][a-][g-indo1319]';
Xincan	FAIL	NNLS: the distances matrix is too small	
Duna	FAIL	NNLS: too few languages	
Kenaboi	FAIL	NNLS: too few languages	
Mayan	SUCCESS	NNLS	(('Aguacateco [i-agu][w-agu][a-855][g-agua1252]':0,('Mam [i-mam][w-mam][a-2039-2101][g-mamm1241]':0,'Tektiteko [i-ttc][w-tec][a-2627][g-tekt1235]':0)'Mamean [i-][w-][a-][g-mame1240]':0)'Greater Mamean [i-][w-][a-][g-grea1277]':0.0952,'Popti`` [i-jac][w-][a-460][g-popt1235]':0.0952)'Core Mayan [i-][w-][a-][g-core1254]';
Papi	FAIL	NNLS: too few languages	
Zuni	FAIL	NNLS: too few languages	
Limilngan-Wulna	FAIL	NNLS: the distances matrix is too small	
Puinave	FAIL	NNLS: too few languages	
Karami	FAIL	NNLS: too few languages	
Chimariko	FAIL	NNLS: too few languages	
Kru	FAIL	NNLS: too few languages with non-missing data	
Peba-Yagua	FAIL	NNLS: the distances matrix is too small	
Kuot	FAIL	NNLS: too few languages	
East Kutubu	FAIL	NNLS: the distances matrix is too small	
Kayagaric	FAIL	NNLS: the distances matrix is too small	
Uru-Chipaya	FAIL	NNLS: the distances matrix is too small	
Jarrakan	FAIL	NNLS: too few languages with non-missing data	
Yuchi	FAIL	NNLS: too few languages	
Kaki Ae	FAIL	NNLS: too few languages	
Ndu	FAIL	NNLS: too few languages with non-missing data	
Paez	FAIL	NNLS: the distances matrix is too small	
Chiquitano	FAIL	NNLS: the distances matrix is too small	
Betoi-Jirara	FAIL	NNLS: the distances matrix is too small	
Kapori	FAIL	NNLS: too few languages	
Yuat	FAIL	NNLS: the distances matrix is too small	
Usku	FAIL	NNLS: too few languages	
Tambora	FAIL	NNLS: too few languages	
Tiwi	FAIL	NNLS: too few languages	
Leco	FAIL	NNLS: too few languages	
Guaicuruan	SUCCESS	NNLS	(('Abipon [i-axb][w-abi][a-582][g-abip1241]':0.0523,'Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':0.0523)'Guaicuru del Sur [i-][w-][a-][g-guai1250]':0.0104,'Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':0.0627)'Guaicuruan [i-][w-][a-][g-guai1249]';
Nuclear Torricelli	SUCCESS	NNLS	('Au [i-avt][w-au][a-943][g-auuu1241]':0.333,('Ningil [i-niz][w-nin][a-2175][g-ning1273]':0.333,'Yil [i-yll][w-yil][a-2780][g-yill1241]':0.333)'Ningil-Yil [i-][w-][a-][g-ning1276]':0)'Wapeic [i-][w-][a-][g-wape1250]';
Guato	FAIL	NNLS: too few languages	
Kawesqar	FAIL	NNLS: the distances matrix is too small	
Yokutsan	FAIL	NNLS: the distances matrix is too small	
Burushaski	FAIL	NNLS: the distances matrix is too small	
Culli	FAIL	NNLS: too few languages	
Aymaran	SUCCESS	NNLS	('Central Aymara [i-ayr][w-aym][a-514][g-cent2142]':0.0838,'Jaqaru [i-jqr][w-jaq][a-119][g-jaqa1244]':0.0838)'Aymaran [i-][w-][a-][g-ayma1253]';
Western Tasmanian	FAIL	NNLS: the distances matrix is too small	
Nara	FAIL	NNLS: the distances matrix is too small	
Ramu	SUCCESS	NNLS	('Kaian [i-kct][w-kai][a-1718][g-kaia1245]':0,('Kire [i-geb][w-kie][a-1532][g-kire1240]':0,'Aruamu [i-msy][w-mkr][a-2087][g-arua1260]':0)'Ruboni [i-][w-][a-][g-kire1239]':0)'Lower Ramu [i-][w-][a-][g-lowe1439]';
Marori	FAIL	NNLS: too few languages	
Sumerian	FAIL	NNLS: too few languages	
