Family	Success	Comments	Tree
Umbugarla	FAIL	NNLS: too few languages	
Deaf Sign Language	FAIL	NNLS: the distances matrix is too small	
Pidgin Sign Language	FAIL	NNLS: too few languages	
Sign Languages	SUCCESS	NNLS	('American Sign Language [i-ase][w-asl][a-930][g-amer1248]':8.18,'Argentine Sign Language [i-aed][w-lsa][a-840][g-arge1236]':8.18,'Australian Sign Language [i-asf][w-aus][a-931][g-aust1271]':8.18,'Brazilian Sign Language [i-bzs][w-lsb][a-1104][g-braz1236]':8.18,'British Sign Language [i-bfi][w-bsl][a-1012][g-brit1235]':8.18,'Dutch Sign Language [i-dse][w-ned][a-1400][g-dutc1253]':8.18,'Finnish Sign Language [i-fse][w-fsl][a-1502][g-finn1310]':8.18,'German Sign Language [i-gsg][w-dge][a-1563][g-germ1281]':8.18,'Greek Sign Language [i-gss][w-gsl][a-1564][g-gree1271]':8.18,'Hong Kong Sign Language [i-hks][w-hks][a-770][g-hong1241]':8.18,'Icelandic Sign Language [i-icl][w-ics][a-1635][g-icel1236]':8.18,'Indian Sign Language [i-ins][w-ipi][a-1648][g-indi1237]':8.18,'Irish Sign Language [i-isg][w-irs][a-1654][g-iris1235]':8.18,'Israeli Sign Language [i-isr][w-iss][a-1656][g-isra1236]':8.18,'Italian Sign Language [i-ise][w-lii][a-1653][g-ital1275]':8.18,'Japanese Sign Language [i-jsl][w-nih][a-1689][g-japa1238]':8.18,'Kenyan Sign Language [i-xki][w-ksl][a-2749][g-keny1241]':8.18,'Korean Sign Language [i-kvk][w-ssl][a-1842][g-kore1273]':8.18,'New Zealand Sign Language [i-nzs][w-nzs][a-2237][g-newz1236]':8.18,'Quebec Sign Language [i-fcs][w-lsq][a-1488][g-queb1245]':8.18,'Russian Sign Language [i-rsl][w-rsl][a-2383][g-russ1255]':8.18,'Spanish Sign Language [i-ssp][w-lse][a-2485][g-span1263]':8.18,'Swedish Sign Language [i-swl][w-svt][a-2503][g-swed1236]':8.18,'Tanzanian Sign Language [i-tza][w-tsl][a-2650][g-tanz1238]':8.18,'Thai Sign Language [i-tsq][w-ths][a-2621][g-thai1240]':8.18,'Turkish Sign Language [i-tsm][w-tui][a-2618][g-turk1288]':8.18,'Ugandan Sign Language [i-ugn][w-ugs][a-2659][g-ugan1238]':8.18,'Vlaamse Gebarentaal [i-vgt][w-vla][a-1089][g-vlaa1235]':8.18)'Sign Languages [i-][w-][a-][g-sign1237]';
Timor-Alor-Pantar	FAIL	NNLS: the distances matrix is too small	
Unclassified	FAIL	NNLS: the distances matrix is too small	
Village Sign Language	SUCCESS	NNLS	('Adamorobe Sign Language [i-ads][w-ada][a-836][g-adam1238]':10.4,'Bengkala Sign Language [i-bqy][w-kkl][a-1060][g-beng1239]':10.4,'Urubu-Kaapor Sign Language [i-uks][w-usl][a-2661][g-urub1243]':10.4)'Village Sign Language [i-][w-][a-][g-vill1243]';
Ramanos	FAIL	NNLS: too few languages	
Nilotic	SUCCESS	NNLS	('Nandi [i-niq][w-nan][a-299][g-nand1266]':7.67,(('Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':3.45,'Pari [i-lkr][w-par][a-1894][g-pari1256]':3.45,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':3.45)'Northern Lwoo [i-][w-][a-][g-nort2814]':2.82,('Luo {Kenya and Tanzania} [i-luo][w-luo][a-1919][g-luok1236]':6.27,'Lango {Uganda} [i-laj][w-lan][a-159][g-lang1324]':6.27)'Southern Lwoo [i-][w-][a-][g-sout2831]':0)'Luo-Burun [i-][w-][a-][g-luob1235]':1.41)'Nilotic [i-][w-][a-][g-nilo1247]';
Austronesian	SUCCESS	NNLS	('Yami [i-tao][w-ymi][a-2782][g-yami1254]':6.55,'Sarangani Blaan [i-bps][w-biq][a-1022][g-sara1326]':6.55,(('Hawaiian [i-haw][w-haw][a-1628][g-hawa1245]':6.55,'Tonga {Tonga Islands} [i-ton][w-tng][a-2602][g-tong1325]':6.55)'Polynesian [i-][w-][a-][g-poly1242]':0,'Rotuman [i-rtm][w-rot][a-2385][g-rotu1241]':6.55)'Central Pacific [i-][w-][a-][g-cent2060]':0,'Indonesian [i-ind][w-ind-inj][a-1324-1325-496][g-indo1316]':6.55)'Malayo-Polynesian [i-][w-][a-][g-mala1545]';
Eskimo-Aleut	FAIL	NNLS: too few languages with non-missing data	
Kiwaian	FAIL	NNLS: the distances matrix is too small	
Central Sudanic	SUCCESS	NNLS	('Ngiti [i-niy][w-nti][a-561][g-ngit1239]':17.4,('Baka {Sudan} [i-bdh][w-bka][a-986][g-baka1274]':5.57,('Kara {Central African Republic} [i-kah][w-kar][a-1697][g-kara1482]':4.96,('Gula {Chad} [i-glu][w-gul][a-1551][g-gula1269]':4.69,'Mango [i-mge][w-mgq][a-3160][g-mang1398]':4.69,'Furu [i-fuu][w-bgr][a-1510][g-furu1242]':4.69)'Saraic [i-][w-][a-][g-sara1349]':0.272)'Nuclear SBB Occidental [i-][w-][a-][g-nucl1719]':0.611)'Sara-Bongo-Bagirmi [i-][w-][a-][g-sara1341]':11.8)'Central Sudanic [i-][w-][a-][g-cent2225]';
Huarpean	FAIL	NNLS: the distances matrix is too small	
Muniche	FAIL	NNLS: too few languages	
Yamana	FAIL	NNLS: too few languages	
Takelma	FAIL	NNLS: too few languages	
Kunama	FAIL	NNLS: the distances matrix is too small	
Kehu	FAIL	NNLS: too few languages	
