Family	Success	Comments	Tree
Umbugarla	FAIL	NNLS: too few languages	
Deaf Sign Language	FAIL	NNLS: the distances matrix is too small	
Pidgin Sign Language	FAIL	NNLS: too few languages	
Sign Languages	SUCCESS	NNLS: 	('American Sign Language [i-ase][w-asl][a-930][g-amer1248]':42.5,'Argentine Sign Language [i-aed][w-lsa][a-840][g-arge1236]':42.5,'Australian Sign Language [i-asf][w-aus][a-931][g-aust1271]':42.5,'Brazilian Sign Language [i-bzs][w-lsb][a-1104][g-braz1236]':42.5,'British Sign Language [i-bfi][w-bsl][a-1012][g-brit1235]':42.5,'Dutch Sign Language [i-dse][w-ned][a-1400][g-dutc1253]':42.5,'Finnish Sign Language [i-fse][w-fsl][a-1502][g-finn1310]':42.5,'German Sign Language [i-gsg][w-dge][a-1563][g-germ1281]':42.5,'Greek Sign Language [i-gss][w-gsl][a-1564][g-gree1271]':42.5,'Hong Kong Sign Language [i-hks][w-hks][a-770][g-hong1241]':42.5,'Icelandic Sign Language [i-icl][w-ics][a-1635][g-icel1236]':42.5,'Indian Sign Language [i-ins][w-ipi][a-1648][g-indi1237]':42.5,'Irish Sign Language [i-isg][w-irs][a-1654][g-iris1235]':42.5,'Israeli Sign Language [i-isr][w-iss][a-1656][g-isra1236]':42.5,'Italian Sign Language [i-ise][w-lii][a-1653][g-ital1275]':42.5,'Japanese Sign Language [i-jsl][w-nih][a-1689][g-japa1238]':42.5,'Kenyan Sign Language [i-xki][w-ksl][a-2749][g-keny1241]':42.5,'Korean Sign Language [i-kvk][w-ssl][a-1842][g-kore1273]':42.5,'New Zealand Sign Language [i-nzs][w-nzs][a-2237][g-newz1236]':42.5,'Pakistan Sign Language [i-pks][w-ipk][a-2305][g-paki1242]':42.5,'Quebec Sign Language [i-fcs][w-lsq][a-1488][g-queb1245]':42.5,'Russian Sign Language [i-rsl][w-rsl][a-2383][g-russ1255]':42.5,'Spanish Sign Language [i-ssp][w-lse][a-2485][g-span1263]':42.5,'Swedish Sign Language [i-swl][w-svt][a-2503][g-swed1236]':42.5,'Tanzanian Sign Language [i-tza][w-tsl][a-2650][g-tanz1238]':42.5,'Thai Sign Language [i-tsq][w-ths][a-2621][g-thai1240]':42.5,'Turkish Sign Language [i-tsm][w-tui][a-2618][g-turk1288]':42.5,'Ugandan Sign Language [i-ugn][w-ugs][a-2659][g-ugan1238]':42.5,'Vlaamse Gebarentaal [i-vgt][w-vla][a-1089][g-vlaa1235]':42.5)'Sign Languages [i-][w-][a-][g-sign1237]';
Timor-Alor-Pantar	FAIL	NNLS: the distances matrix is too small	
Unclassified	FAIL	NNLS: the distances matrix is too small	
Village Sign Language	SUCCESS	NNLS: 	('Adamorobe Sign Language [i-ads][w-ada][a-836][g-adam1238]':56.6,'Bengkala Sign Language [i-bqy][w-kkl][a-1060][g-beng1239]':56.6,'Urubu-Kaapor Sign Language [i-uks][w-usl][a-2661][g-urub1243]':56.6)'Village Sign Language [i-][w-][a-][g-vill1243]';
Ramanos	FAIL	NNLS: too few languages	
Nilotic	SUCCESS	NNLS: 	('Nandi [i-niq][w-nan][a-299][g-nand1266]':90.6,(('Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':90.6,'Pari [i-lkr][w-par][a-1894][g-pari1256]':90.6,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':90.6)'Northern Lwoo [i-][w-][a-][g-nort2814]':0,('Luo {Kenya and Tanzania} [i-luo][w-luo][a-1919][g-luok1236]':76,'Lango {Uganda} [i-laj][w-lan][a-159][g-lang1324]':76)'Southern Lwoo [i-][w-][a-][g-sout2831]':14.6)'Luo-Burun [i-][w-][a-][g-luob1235]':0)'Nilotic [i-][w-][a-][g-nilo1247]';
Austronesian	SUCCESS	NNLS: 	(('Yami [i-tao][w-ymi][a-2782][g-yami1254]':18.6,('Sarangani Blaan [i-bps][w-biq][a-1022][g-sara1326]':5.99,'Tiruray [i-tiy][w-try][a-2576][g-tiru1241]':5.99)'Bilic [i-][w-][a-][g-bili1253]':12.6,(('Balantak [i-blz][w-blk][a-1040][g-bala1315]':14.4,'Padoe [i-pdo][w-pad][a-2283][g-pado1242]':14.4)'Eastern Celebic [i-][w-][a-][g-east2488]':1.42e-14,(('Pamona [i-pmf][w-pna][a-982][g-pamo1252]':8.26,'Napu [i-npy][w-npu][a-2134][g-napu1241]':8.26)'Kaili-Pamona [i-][w-][a-][g-kail1253]':3.39,'Wolio [i-wlo][w-wlo][a-2725][g-woli1241]':11.7)'Kaili-Pamona-Wotu-Wolio [i-][w-][a-][g-kail1255]':2.79)'Celebic [i-][w-][a-][g-cele1242]':4.11,'Pampanga [i-pam][w-kpm][a-2310][g-pamp1243]':18.6,(('Kola [i-kvv][w-koo][a-1845][g-kola1285]':13.2,'Paulohi [i-plh][w-plh][a-2307][g-paul1238]':13.2,'Kedang [i-ksx][w-ked][a-1824][g-keda1252]':13.2,'Keo [i-xxk][w-keo][a-2756][g-keoo1238]':13.2,('Kisar [i-kje][w-ksr][a-1762][g-kisa1266]':13.2,'Leti {Indonesia} [i-lti][w-let][a-1915][g-leti1246]':13.2)'Luang-Kisar [i-][w-][a-][g-luan1261]':1.42e-14)'Central Malayo-Polynesian [i-][w-][a-][g-cent2245]':5.34,((('Kele {Papua New Guinea} [i-sbc][w-kel][a-2396][g-kele1258]':17,'Loniu [i-los][w-lon][a-1911][g-loni1238]':17)'Manus [i-][w-][a-][g-manu1262]':1.59,((('East Futuna [i-fud][w-fue][a-1505][g-east2447]':18.6,('Niuafo`ou [i-num][w-nif][a-2216][g-niua1240]':7.52,'Wallisian [i-wls][w-wll][a-2699][g-wall1257]':7.52)'East Uvean-Niuafo`ou [i-][w-][a-][g-east2758]':11,('Samoan [i-smo][w-sam][a-346][g-samo1305]':18.6,'Tokelau [i-tkl][w-tke][a-2599][g-toke1240]':18.6)'Samoan-Tokelauan [i-][w-][a-][g-samo1310]':2.49e-14,(('Kapingamarangi [i-kpg][w-kpn][a-1801][g-kapi1249]':1.42e-14,'Nukuoro [i-nkr][w-nkr][a-2182][g-nuku1260]':1.42e-14)'Northern Ellicean Outlier [i-][w-][a-][g-nort3235]':18.6,(('Hawaiian [i-haw][w-haw][a-1628][g-hawa1245]':18.6,'Tahitian [i-tah][w-tah][a-][g-tahi1242]':18.6)'Central East Nuclear Polynesian [i-][w-][a-][g-cent2062]':7.11e-15,'Rapanui [i-rap][w-rap][a-564][g-rapa1244]':18.6)'East Nuclear Polynesian [i-][w-][a-][g-east2449]':0)'Northern Outlier Polynesian-East Polynesian [i-][w-][a-][g-nort3246]':1.07e-14)'Nuclear Polynesian [i-][w-][a-][g-nucl1485]':1.42e-14,('Niuean [i-niu][w-niu][a-2174][g-niue1239]':16.4,'Tonga {Tonga Islands} [i-ton][w-tng][a-2602][g-tong1325]':16.4)'Tongic [i-][w-][a-][g-tong1324]':2.16)'Polynesian [i-][w-][a-][g-poly1242]':1.42e-14,'Rotuman [i-rtm][w-rot][a-2385][g-rotu1241]':18.6)'Central Pacific [i-][w-][a-][g-cent2060]':1.07e-14,('Iaai [i-iai][w-iaa][a-1629][g-iaai1238]':18.6,'Nengone [i-nen][w-nne][a-2155][g-neng1238]':18.6)'Loyalty Islands [i-][w-][a-][g-loya1239]':1.42e-14,((('Mokilese [i-mkj][w-mok][a-2045][g-moki1238]':13.5,'Pingelapese [i-pif][w-pgl][a-2294][g-ping1243]':13.5)'Ponapeic [i-][w-][a-][g-pona1248]':1.42e-14,('Carolinian [i-cal][w-crl][a-1110][g-caro1242]':11,'Ulithian [i-uli][w-uli][a-2664][g-ulit1238]':11)'Trukic [i-][w-][a-][g-truk1243]':2.53)'Ponapeic-Trukic [i-][w-][a-][g-pona1247]':1.42e-14,'Nauru [i-nau][w-nau][a-2201][g-naur1243]':13.5)'Micronesian [i-][w-][a-][g-micr1243]':5.06,(('Lonwolwol [i-crc][w-lnw][a-1177][g-lonw1238]':8.53,('South Efate [i-erk][w-erk][a-3038][g-sout2856]':8.49,'Lamenu [i-lmu][w-lmu][a-3158][g-lame1260]':8.49)'Epi-Efate [i-][w-][a-][g-epie1239]':0.0407,('Port Sandwich [i-psw][w-psw][a-2836][g-port1285]':7,'Big Nambas [i-nmb][w-nbb][a-2184][g-bign1238]':7)'Malakula [i-][w-][a-][g-mala1539]':1.53)'Central Vanuatu [i-][w-][a-][g-cent2269]':10,('Araki {Vanuatu} [i-akr][w-ark][a-871][g-arak1252]':18.6,'Hano [i-lml][w-rag][a-1900][g-hano1246]':18.6)'Northern Vanuatu [i-][w-][a-][g-nort3205]':1.78e-14)'North and Central Vanuatu [i-][w-][a-][g-nort3195]':1.42e-14,('Gela [i-nlg][w-gel][a-2183][g-gela1263]':14.1,('Longgu [i-lgu][w-lgu][a-1884][g-long1395]':14.1,('Kwaio [i-kwd][w-kwa][a-1847][g-kwai1243]':14.1,'To`abaita [i-mlu][w-toq][a-2034][g-toab1237]':14.1)'Northern Malaita [i-][w-][a-][g-nort2833]':1.42e-14)'Malaita-San Cristobal [i-][w-][a-][g-mala1485]':1.42e-14)'Southeast Solomonic [i-][w-][a-][g-sout2853]':4.44,(('Cemuhi [i-cam][w-cem][a-1111][g-cemu1238]':17.7,'Dumbea [i-duf][w-pta][a-1438-2904][g-dumb1241]':17.7,'Fwai [i-fwa][w-poa][a-1512][g-fwai1237]':17.7,('Ajie [i-aji][w-aji][a-867][g-ajie1238]':17.7,'Tiri [i-cir][w-tin][a-1144][g-tiri1258]':17.7,'Xaracuu [i-ane][w-xar][a-893][g-xara1244]':17.7)'Southern New Caledonian [i-][w-][a-][g-sout3189]':1.78e-14)'New Caledonian [i-][w-][a-][g-newc1243]':1.42e-14,('Aneityum [i-aty][w-anj][a-935][g-anei1239]':11.9,'Ura {Vanuatu} [i-uur][w-ura][a-2678][g-urav1235]':11.9,'Kwamera [i-tnk][w-kwr][a-2593][g-kwam1252]':11.9)'South Vanuatu [i-][w-][a-][g-sout2868]':5.77)'Southern Melanesian [i-][w-][a-][g-sout3173]':0.895,('Ayiwo [i-nfl][w-ayw][a-13][g-ayiw1239]':13,'Teanu [i-tkw][w-bum][a-2579][g-tean1237]':13)'Temotu [i-][w-][a-][g-temo1244]':5.51,((('Nalik [i-nal][w-nal][a-2132][g-nali1244]':5.68,'Tungag [i-lcm][w-tnk][a-1874][g-tung1290]':5.68)'Tungak-Nalik [i-][w-][a-][g-tung1294]':3.49,((('Hoava [i-hoa][w-hoa][a-1614][g-hoav1238]':8.98,'Roviana [i-rug][w-rov][a-2387][g-rovi1238]':8.98)'East New Georgia [i-][w-][a-][g-east2761]':0.197,'Bannoni [i-bcm][w-bnn][a-977][g-bann1247]':9.17,'Kokota [i-kkk][w-kkt][a-1769][g-koko1269]':9.17)'Northwest Solomonic [i-][w-][a-][g-nort3225]':1.42e-14,'Siar-Lak [i-sjr][w-sir][a-2434][g-siar1238]':9.17,'Sursurunga [i-sgz][w-sur][a-2418][g-surs1246]':9.17)'St George linkage [i-][w-][a-][g-stge1234]':1.42e-14)'Meso Melanesian linkage [i-][w-][a-][g-meso1253]':6.84,((((('Aribwatsa [i-laz][w-ari][a-1866][g-arib1241]':4.4,'Musom [i-msu][w-msm][a-2086][g-muso1238]':4.4)'Busu [i-][w-][a-][g-busu1245]':4.94,'Labu [i-lbu][w-lab][a-3157][g-labu1248]':9.34)'Lower Markham [i-][w-][a-][g-lowe1411]':6.68,'Adzera [i-adz][w-adz][a-955][g-adze1240]':16)'Markham [i-][w-][a-][g-mark1257]':1.42e-14,('Kela {Papua New Guinea} [i-kcl][w-kap][a-1715][g-kela1255]':14.5,'Yabem [i-jae][w-jab][a-1669][g-yabe1254]':14.5)'North Huon Gulf [i-][w-][a-][g-nort2858]':1.49)'Huon Gulf [i-][w-][a-][g-huon1245]':1.42e-14,('Matukar [i-mjk][w-mtk][a-2018][g-matu1261]':9.47,'Sio [i-xsi][w-sio][a-2429][g-sioo1240]':9.47,'Amara [i-aie][w-ama][a-862][g-amar1272]':9.47)'Vitiaz linkage [i-][w-][a-][g-viti1243]':6.55,('Tobati [i-tti][w-tbt][a-2628][g-toba1266]':16,'Sobei [i-sob][w-sob][a-2462][g-sobe1238]':16)'Sarmi-Jayapura Bay [i-][w-][a-][g-sarm1241]':1.42e-14,('Kairiru [i-kxa][w-krr][a-1850][g-kair1263]':12.2,'Tumleo [i-tmq][w-tum][a-2588][g-tuml1238]':12.2)'Schouten [i-][w-][a-][g-scho1242]':3.78)'North New Guinea linkage [i-][w-][a-][g-nort3206]':1.42e-14,((('Gapapaiwa [i-pwg][w-gap][a-2346][g-gapa1238]':9.74,'Minaveha [i-mvn][w-mnv][a-2103][g-mina1269]':9.74)'Are-Taupota [i-][w-][a-][g-aret1241]':6.27,'Gumawana [i-gvs][w-gmw][a-1581][g-guma1254]':16)'North Papuan Mainland-D`Entrecasteaux [i-][w-][a-][g-nort2848]':1.42e-14,'Lala {Papua New Guinea} [i-nrz][w-all][a-2202][g-lala1268]':16)'Papuan Tip linkage [i-][w-][a-][g-papu1253]':1.42e-14)'Western Oceanic linkage [i-][w-][a-][g-west2818]':2.54,'Yapese [i-yap][w-yap][a-2786][g-yape1248]':18.6)'Oceanic [i-][w-][a-][g-ocea1241]':1.42e-14,('Warembori [i-wsa][w-wrm][a-402][g-ware1253]':12.9,'Mor {Mor Islands} [i-mhz][w-mor][a-1998][g-morm1235]':12.9,'Irarutu [i-irh][w-irr][a-1651][g-irar1238]':12.9)'South Halmahera-West New Guinea [i-][w-][a-][g-sout2850]':5.66)'Eastern Malayo-Polynesian [i-][w-][a-][g-east2712]':1.78e-14)'Central-Eastern Malayo-Polynesian [i-][w-][a-][g-cent2237]':1.07e-14,'Yakan [i-yka][w-ykn][a-2776][g-yaka1277]':18.6,((('Tausug [i-tsg][w-tsg][a-2616][g-taus1251]':8.22,'Aklanon [i-akl][w-akl][a-870][g-akla1241]':8.22)'Bisayan [i-][w-][a-][g-bisa1268]':1.42e-14,'Mamanwa [i-mmn][w-mmn][a-2038][g-mama1275]':8.22)'Central Philippine [i-][w-][a-][g-cent2246]':1.61,'Maranao [i-mrw][w-mrn][a-484][g-mara1404]':9.82,'Binukid [i-bkd][w-bkd][a-1030][g-binu1244]':9.82,('Batak [i-bya][w-bat][a-1077][g-bata1301]':9.69,'Tagbanwa [i-tbw][w-tgb][a-2528][g-tagb1258]':9.69)'Northern Palawanic [i-][w-][a-][g-nort3185]':0.127)'Greater Central Philippine [i-][w-][a-][g-grea1284]':8.73,('Komering [i-kge][w-kag][a-2692][g-kome1238]':15.4,'Lampung Api [i-ljp][w-lmp][a-1893][g-lamp1243]':15.4)'Lampung [i-][w-][a-][g-lamp1241]':3.13,((('Eastern Cham [i-cjm][w-cme][a-1150][g-east2563]':18.6,'Western Cham [i-cja][w-chw][a-1146][g-west2650]':18.6)'Cham [i-][w-][a-][g-cham1328]':1.07e-14,('Northern Roglai [i-rog][w-rgn][a-2375][g-nort2994]':5.58,'Tsat [i-huq][w-tst][a-1622][g-tsat1238]':5.58)'Northern Cham [i-][w-][a-][g-nort3219]':13)'Chamic [i-][w-][a-][g-cham1330]':1.42e-14,(('Betawi [i-bew][w-meb][a-998][g-beta1252]':18.6,('Indonesian [i-ind][w-ind-inj][a-1324-1325-496][g-indo1316]':18.6,'Standard Malay [i-zsm][w-mly][a-613][g-stan1306]':18.6)'Indonesian Archipelago Malay [i-][w-][a-][g-indo1326]':7.11e-15,'Negeri Sembilan Malay [i-zmi][w-mmu][a-2809][g-nege1240]':18.6,('Malay [i-zlm][w-ktp-myk][a-1357-1358][g-mala1479]':14.7,'Urak Lawoi` [i-urk][w-url][a-2675][g-urak1238]':14.7)'Singapore Archipelago Malay [i-][w-][a-][g-sing1270]':3.8)'Nuclear Malayic [i-][w-][a-][g-nucl1733]':1.07e-14,('Malay/ Manado [i-xmm][w-mds][a-2753][g-mala1481]':4.4,'Papuan Malay [i-pmy][w-iir][a-][g-papu1250]':4.4)'Eastern Indonesia Trade Malay [i-][w-][a-][g-east2743]':14.2)'Malayic [i-][w-][a-][g-mala1538]':1.42e-14)'North and East Malayo-Sumbawan [i-][w-][a-][g-nort3170]':1.07e-14,('Sa`ban [i-snv][w-sab][a-2461][g-saba1265]':7.76,'Bonggi [i-bdg][w-bgz][a-][g-bong1289]':7.76,('Coastal Kadazan [i-kzj][w-kdz][a-1859][g-coas1294]':6.93,'Tatana [i-txx][w-tat][a-2648][g-tata1257]':6.93)'Southwest Sabahan [i-][w-][a-][g-sout3154]':0.826)'North Bornean Malayo-Polynesian [i-][w-][a-][g-nort2892]':10.8,('Central Cagayan Agta [i-agt][w-agc][a-854][g-cent2084]':13.7,'Iloko [i-ilo][w-ilo][a-1644][g-ilok1237]':13.7,('Balangao [i-blw][w-blg][a-1039][g-bala1310]':13.7,('Karao [i-kyj][w-kao][a-1853][g-kara1487]':13.7,'Pangasinan [i-pag][w-pnn][a-2314][g-pang1290]':13.7)'West Southern Cordilleran [i-][w-][a-][g-west2550]':1.42e-14)'South-Central Cordilleran [i-][w-][a-][g-sout3211]':1.42e-14,'Casiguran Dumagat Agta [i-dgc][w-dca][a-1294][g-casi1235]':13.7)'Northern Luzon [i-][w-][a-][g-nort3238]':4.87,('Enggano [i-eno][w-eno][a-1474][g-engg1245]':14.8,'Simeulue [i-smr][w-sim][a-2452][g-sime1241]':14.8,'Batak Toba [i-bbc][w-bto][a-968][g-bata1289]':14.8)'Northwest Sumatra-Barrier Islands [i-][w-][a-][g-nort2829]':3.75,'Palauan [i-pau][w-pal][a-2309][g-pala1344]':18.6,('Bantik [i-bnq][w-bnt][a-1046][g-bant1286]':7.23,'Ratahan [i-rth][w-tor][a-2384][g-rata1244]':7.23)'Southern Sangiric [i-][w-][a-][g-sout3155]':11.3,'Selayar [i-sly][w-sly][a-2448][g-sela1260]':18.6)'Malayo-Polynesian [i-][w-][a-][g-mala1545]':35.9,'Paiwan [i-pwn][w-pai][a-327][g-paiw1248]':54.4)'Nuclear Austronesian [i-][w-][a-][g-nucl1752]';
