Family	Success	Comments	Tree
Umbugarla	FAIL	NNLS: too few languages	
Deaf Sign Language	FAIL	NNLS: the distances matrix is too small	
Pidgin Sign Language	FAIL	NNLS: too few languages	
Sign Languages	SUCCESS	NNLS: 	('American Sign Language [i-ase][w-asl][a-930][g-amer1248]':0.00261,'Argentine Sign Language [i-aed][w-lsa][a-840][g-arge1236]':0.00261,'Australian Sign Language [i-asf][w-aus][a-931][g-aust1271]':0.00261,'Brazilian Sign Language [i-bzs][w-lsb][a-1104][g-braz1236]':0.00261,'British Sign Language [i-bfi][w-bsl][a-1012][g-brit1235]':0.00261,'Dutch Sign Language [i-dse][w-ned][a-1400][g-dutc1253]':0.00261,'Finnish Sign Language [i-fse][w-fsl][a-1502][g-finn1310]':0.00261,'German Sign Language [i-gsg][w-dge][a-1563][g-germ1281]':0.00261,'Greek Sign Language [i-gss][w-gsl][a-1564][g-gree1271]':0.00261,'Hong Kong Sign Language [i-hks][w-hks][a-770][g-hong1241]':0.00261,'Icelandic Sign Language [i-icl][w-ics][a-1635][g-icel1236]':0.00261,'Indian Sign Language [i-ins][w-ipi][a-1648][g-indi1237]':0.00261,'Irish Sign Language [i-isg][w-irs][a-1654][g-iris1235]':0.00261,'Israeli Sign Language [i-isr][w-iss][a-1656][g-isra1236]':0.00261,'Italian Sign Language [i-ise][w-lii][a-1653][g-ital1275]':0.00261,'Japanese Sign Language [i-jsl][w-nih][a-1689][g-japa1238]':0.00261,'Kenyan Sign Language [i-xki][w-ksl][a-2749][g-keny1241]':0.00261,'Korean Sign Language [i-kvk][w-ssl][a-1842][g-kore1273]':0.00261,'New Zealand Sign Language [i-nzs][w-nzs][a-2237][g-newz1236]':0.00261,'Pakistan Sign Language [i-pks][w-ipk][a-2305][g-paki1242]':0.00261,'Quebec Sign Language [i-fcs][w-lsq][a-1488][g-queb1245]':0.00261,'Russian Sign Language [i-rsl][w-rsl][a-2383][g-russ1255]':0.00261,'Spanish Sign Language [i-ssp][w-lse][a-2485][g-span1263]':0.00261,'Swedish Sign Language [i-swl][w-svt][a-2503][g-swed1236]':0.00261,'Tanzanian Sign Language [i-tza][w-tsl][a-2650][g-tanz1238]':0.00261,'Thai Sign Language [i-tsq][w-ths][a-2621][g-thai1240]':0.00261,'Turkish Sign Language [i-tsm][w-tui][a-2618][g-turk1288]':0.00261,'Ugandan Sign Language [i-ugn][w-ugs][a-2659][g-ugan1238]':0.00261,'Vlaamse Gebarentaal [i-vgt][w-vla][a-1089][g-vlaa1235]':0.00261)'Sign Languages [i-][w-][a-][g-sign1237]';
Timor-Alor-Pantar	FAIL	NNLS: the distances matrix is too small	
Unclassified	FAIL	NNLS: the distances matrix is too small	
Village Sign Language	SUCCESS	NNLS: 	('Adamorobe Sign Language [i-ads][w-ada][a-836][g-adam1238]':0.00434,'Bengkala Sign Language [i-bqy][w-kkl][a-1060][g-beng1239]':0.00434,'Urubu-Kaapor Sign Language [i-uks][w-usl][a-2661][g-urub1243]':0.00434)'Village Sign Language [i-][w-][a-][g-vill1243]';
Ramanos	FAIL	NNLS: too few languages	
Nilotic	SUCCESS	NNLS: 	('Nandi [i-niq][w-nan][a-299][g-nand1266]':0.109,(('Luwo [i-lwo][w-jlu][a-1924][g-luwo1239]':0.0451,'Pari [i-lkr][w-par][a-1894][g-pari1256]':0.0451,'Shilluk [i-shk][w-shl][a-2423][g-shil1265]':0.0451)'Northern Lwoo [i-][w-][a-][g-nort2814]':0.0642,('Luo {Kenya and Tanzania} [i-luo][w-luo][a-1919][g-luok1236]':0.109,'Lango {Uganda} [i-laj][w-lan][a-159][g-lang1324]':0.109)'Southern Lwoo [i-][w-][a-][g-sout2831]':0)'Luo-Burun [i-][w-][a-][g-luob1235]':0)'Nilotic [i-][w-][a-][g-nilo1247]';
Austronesian	SUCCESS	NNLS: 	(('Yami [i-tao][w-ymi][a-2782][g-yami1254]':0.0472,('Sarangani Blaan [i-bps][w-biq][a-1022][g-sara1326]':0.013,'Tiruray [i-tiy][w-try][a-2576][g-tiru1241]':0.013)'Bilic [i-][w-][a-][g-bili1253]':0.0342,(('Balantak [i-blz][w-blk][a-1040][g-bala1315]':0.00521,'Padoe [i-pdo][w-pad][a-2283][g-pado1242]':0.00521)'Eastern Celebic [i-][w-][a-][g-east2488]':0.0225,(('Pamona [i-pmf][w-pna][a-982][g-pamo1252]':0.00781,'Napu [i-npy][w-npu][a-2134][g-napu1241]':0.00781)'Kaili-Pamona [i-][w-][a-][g-kail1253]':0.0199,'Wolio [i-wlo][w-wlo][a-2725][g-woli1241]':0.0277)'Kaili-Pamona-Wotu-Wolio [i-][w-][a-][g-kail1255]':5.2e-17)'Celebic [i-][w-][a-][g-cele1242]':0.0195,'Pampanga [i-pam][w-kpm][a-2310][g-pamp1243]':0.0472,(('Kola [i-kvv][w-koo][a-1845][g-kola1285]':0.0325,'Paulohi [i-plh][w-plh][a-2307][g-paul1238]':0.0325,'Kedang [i-ksx][w-ked][a-1824][g-keda1252]':0.0325,'Keo [i-xxk][w-keo][a-2756][g-keoo1238]':0.0325,('Kisar [i-kje][w-ksr][a-1762][g-kisa1266]':0.0325,'Leti {Indonesia} [i-lti][w-let][a-1915][g-leti1246]':0.0325)'Luang-Kisar [i-][w-][a-][g-luan1261]':5.55e-17)'Central Malayo-Polynesian [i-][w-][a-][g-cent2245]':0.0147,((('Kele {Papua New Guinea} [i-sbc][w-kel][a-2396][g-kele1258]':0.0417,'Loniu [i-los][w-lon][a-1911][g-loni1238]':0.0417)'Manus [i-][w-][a-][g-manu1262]':0.00553,((('East Futuna [i-fud][w-fue][a-1505][g-east2447]':0.0472,('Niuafo`ou [i-num][w-nif][a-2216][g-niua1240]':0.0286,'Wallisian [i-wls][w-wll][a-2699][g-wall1257]':0.0286)'East Uvean-Niuafo`ou [i-][w-][a-][g-east2758]':0.0185,('Samoan [i-smo][w-sam][a-346][g-samo1305]':0.0472,'Tokelau [i-tkl][w-tke][a-2599][g-toke1240]':0.0472)'Samoan-Tokelauan [i-][w-][a-][g-samo1310]':9.71e-17,(('Kapingamarangi [i-kpg][w-kpn][a-1801][g-kapi1249]':5.55e-17,'Nukuoro [i-nkr][w-nkr][a-2182][g-nuku1260]':5.55e-17)'Northern Ellicean Outlier [i-][w-][a-][g-nort3235]':0.0472,(('Hawaiian [i-haw][w-haw][a-1628][g-hawa1245]':0.0472,'Tahitian [i-tah][w-tah][a-][g-tahi1242]':0.0472)'Central East Nuclear Polynesian [i-][w-][a-][g-cent2062]':3.47e-17,'Rapanui [i-rap][w-rap][a-564][g-rapa1244]':0.0472)'East Nuclear Polynesian [i-][w-][a-][g-east2449]':5.55e-17)'Northern Outlier Polynesian-East Polynesian [i-][w-][a-][g-nort3246]':6.25e-17)'Nuclear Polynesian [i-][w-][a-][g-nucl1485]':4.86e-17,('Niuean [i-niu][w-niu][a-2174][g-niue1239]':0.0443,'Tonga {Tonga Islands} [i-ton][w-tng][a-2602][g-tong1325]':0.0443)'Tongic [i-][w-][a-][g-tong1324]':0.00292)'Polynesian [i-][w-][a-][g-poly1242]':5.55e-17,'Rotuman [i-rtm][w-rot][a-2385][g-rotu1241]':0.0472)'Central Pacific [i-][w-][a-][g-cent2060]':4.16e-17,('Iaai [i-iai][w-iaa][a-1629][g-iaai1238]':0.0472,'Nengone [i-nen][w-nne][a-2155][g-neng1238]':0.0472)'Loyalty Islands [i-][w-][a-][g-loya1239]':0,((('Mokilese [i-mkj][w-mok][a-2045][g-moki1238]':0.0435,'Pingelapese [i-pif][w-pgl][a-2294][g-ping1243]':0.0435)'Ponapeic [i-][w-][a-][g-pona1248]':5.55e-17,('Carolinian [i-cal][w-crl][a-1110][g-caro1242]':0.0435,'Ulithian [i-uli][w-uli][a-2664][g-ulit1238]':0.0435)'Trukic [i-][w-][a-][g-truk1243]':5.55e-17)'Ponapeic-Trukic [i-][w-][a-][g-pona1247]':5.55e-17,'Nauru [i-nau][w-nau][a-2201][g-naur1243]':0.0435)'Micronesian [i-][w-][a-][g-micr1243]':0.0037,(('Lonwolwol [i-crc][w-lnw][a-1177][g-lonw1238]':0.0329,('South Efate [i-erk][w-erk][a-3038][g-sout2856]':0.0313,'Lamenu [i-lmu][w-lmu][a-3158][g-lame1260]':0.0313)'Epi-Efate [i-][w-][a-][g-epie1239]':0.00169,('Port Sandwich [i-psw][w-psw][a-2836][g-port1285]':0.0329,'Big Nambas [i-nmb][w-nbb][a-2184][g-bign1238]':0.0329)'Malakula [i-][w-][a-][g-mala1539]':4.86e-17)'Central Vanuatu [i-][w-][a-][g-cent2269]':5.55e-17,('Araki {Vanuatu} [i-akr][w-ark][a-871][g-arak1252]':0.0329,'Hano [i-lml][w-rag][a-1900][g-hano1246]':0.0329)'Northern Vanuatu [i-][w-][a-][g-nort3205]':4.86e-17)'North and Central Vanuatu [i-][w-][a-][g-nort3195]':0.0143,('Gela [i-nlg][w-gel][a-2183][g-gela1263]':0.0472,('Longgu [i-lgu][w-lgu][a-1884][g-long1395]':0.0472,('Kwaio [i-kwd][w-kwa][a-1847][g-kwai1243]':0.0472,'To`abaita [i-mlu][w-toq][a-2034][g-toab1237]':0.0472)'Northern Malaita [i-][w-][a-][g-nort2833]':5.55e-17)'Malaita-San Cristobal [i-][w-][a-][g-mala1485]':5.55e-17)'Southeast Solomonic [i-][w-][a-][g-sout2853]':5.55e-17,(('Cemuhi [i-cam][w-cem][a-1111][g-cemu1238]':0.047,'Dumbea [i-duf][w-pta][a-1438-2904][g-dumb1241]':0.047,'Fwai [i-fwa][w-poa][a-1512][g-fwai1237]':0.047,('Ajie [i-aji][w-aji][a-867][g-ajie1238]':0.047,'Tiri [i-cir][w-tin][a-1144][g-tiri1258]':0.047,'Xaracuu [i-ane][w-xar][a-893][g-xara1244]':0.047)'Southern New Caledonian [i-][w-][a-][g-sout3189]':5.55e-17)'New Caledonian [i-][w-][a-][g-newc1243]':5.55e-17,('Aneityum [i-aty][w-anj][a-935][g-anei1239]':0.0443,'Ura {Vanuatu} [i-uur][w-ura][a-2678][g-urav1235]':0.0443,'Kwamera [i-tnk][w-kwr][a-2593][g-kwam1252]':0.0443)'South Vanuatu [i-][w-][a-][g-sout2868]':0.00268)'Southern Melanesian [i-][w-][a-][g-sout3173]':0.00024,('Ayiwo [i-nfl][w-ayw][a-13][g-ayiw1239]':0.026,'Teanu [i-tkw][w-bum][a-2579][g-tean1237]':0.026)'Temotu [i-][w-][a-][g-temo1244]':0.0212,((('Nalik [i-nal][w-nal][a-2132][g-nali1244]':0.013,'Tungag [i-lcm][w-tnk][a-1874][g-tung1290]':0.013)'Tungak-Nalik [i-][w-][a-][g-tung1294]':0.0183,((('Hoava [i-hoa][w-hoa][a-1614][g-hoav1238]':0.026,'Roviana [i-rug][w-rov][a-2387][g-rovi1238]':0.026)'East New Georgia [i-][w-][a-][g-east2761]':0.00531,'Bannoni [i-bcm][w-bnn][a-977][g-bann1247]':0.0314,'Kokota [i-kkk][w-kkt][a-1769][g-koko1269]':0.0314)'Northwest Solomonic [i-][w-][a-][g-nort3225]':5.55e-17,'Siar-Lak [i-sjr][w-sir][a-2434][g-siar1238]':0.0314,'Sursurunga [i-sgz][w-sur][a-2418][g-surs1246]':0.0314)'St George linkage [i-][w-][a-][g-stge1234]':5.55e-17)'Meso Melanesian linkage [i-][w-][a-][g-meso1253]':0.0125,((((('Aribwatsa [i-laz][w-ari][a-1866][g-arib1241]':0.0208,'Musom [i-msu][w-msm][a-2086][g-muso1238]':0.0208)'Busu [i-][w-][a-][g-busu1245]':0.0026,'Labu [i-lbu][w-lab][a-3157][g-labu1248]':0.0234)'Lower Markham [i-][w-][a-][g-lowe1411]':0.018,'Adzera [i-adz][w-adz][a-955][g-adze1240]':0.0414)'Markham [i-][w-][a-][g-mark1257]':5.55e-17,('Kela {Papua New Guinea} [i-kcl][w-kap][a-1715][g-kela1255]':0.0414,'Yabem [i-jae][w-jab][a-1669][g-yabe1254]':0.0414)'North Huon Gulf [i-][w-][a-][g-nort2858]':5.55e-17)'Huon Gulf [i-][w-][a-][g-huon1245]':5.55e-17,('Matukar [i-mjk][w-mtk][a-2018][g-matu1261]':0.0365,'Sio [i-xsi][w-sio][a-2429][g-sioo1240]':0.0365,'Amara [i-aie][w-ama][a-862][g-amar1272]':0.0365)'Vitiaz linkage [i-][w-][a-][g-viti1243]':0.00496,('Tobati [i-tti][w-tbt][a-2628][g-toba1266]':0.0414,'Sobei [i-sob][w-sob][a-2462][g-sobe1238]':0.0414)'Sarmi-Jayapura Bay [i-][w-][a-][g-sarm1241]':5.55e-17,('Kairiru [i-kxa][w-krr][a-1850][g-kair1263]':0.0414,'Tumleo [i-tmq][w-tum][a-2588][g-tuml1238]':0.0414)'Schouten [i-][w-][a-][g-scho1242]':5.55e-17)'North New Guinea linkage [i-][w-][a-][g-nort3206]':0.00247,((('Gapapaiwa [i-pwg][w-gap][a-2346][g-gapa1238]':0.0286,'Minaveha [i-mvn][w-mnv][a-2103][g-mina1269]':0.0286)'Are-Taupota [i-][w-][a-][g-aret1241]':0.0104,'Gumawana [i-gvs][w-gmw][a-1581][g-guma1254]':0.0391)'North Papuan Mainland-D`Entrecasteaux [i-][w-][a-][g-nort2848]':6.25e-17,'Lala {Papua New Guinea} [i-nrz][w-all][a-2202][g-lala1268]':0.0391)'Papuan Tip linkage [i-][w-][a-][g-papu1253]':0.00482)'Western Oceanic linkage [i-][w-][a-][g-west2818]':0.00331,'Yapese [i-yap][w-yap][a-2786][g-yape1248]':0.0472)'Oceanic [i-][w-][a-][g-ocea1241]':5.55e-17,('Warembori [i-wsa][w-wrm][a-402][g-ware1253]':0.033,'Mor {Mor Islands} [i-mhz][w-mor][a-1998][g-morm1235]':0.033,'Irarutu [i-irh][w-irr][a-1651][g-irar1238]':0.033)'South Halmahera-West New Guinea [i-][w-][a-][g-sout2850]':0.0142)'Eastern Malayo-Polynesian [i-][w-][a-][g-east2712]':6.25e-17)'Central-Eastern Malayo-Polynesian [i-][w-][a-][g-cent2237]':5.55e-17,'Yakan [i-yka][w-ykn][a-2776][g-yaka1277]':0.0472,((('Tausug [i-tsg][w-tsg][a-2616][g-taus1251]':0.0254,'Aklanon [i-akl][w-akl][a-870][g-akla1241]':0.0254)'Bisayan [i-][w-][a-][g-bisa1268]':5.55e-17,'Mamanwa [i-mmn][w-mmn][a-2038][g-mama1275]':0.0254)'Central Philippine [i-][w-][a-][g-cent2246]':5.55e-17,'Maranao [i-mrw][w-mrn][a-484][g-mara1404]':0.0254,'Binukid [i-bkd][w-bkd][a-1030][g-binu1244]':0.0254,('Batak [i-bya][w-bat][a-1077][g-bata1301]':0.0026,'Tagbanwa [i-tbw][w-tgb][a-2528][g-tagb1258]':0.0026)'Northern Palawanic [i-][w-][a-][g-nort3185]':0.0228)'Greater Central Philippine [i-][w-][a-][g-grea1284]':0.0218,('Komering [i-kge][w-kag][a-2692][g-kome1238]':0.0472,'Lampung Api [i-ljp][w-lmp][a-1893][g-lamp1243]':0.0472)'Lampung [i-][w-][a-][g-lamp1241]':4.86e-17,((('Eastern Cham [i-cjm][w-cme][a-1150][g-east2563]':0.037,'Western Cham [i-cja][w-chw][a-1146][g-west2650]':0.037)'Cham [i-][w-][a-][g-cham1328]':6.25e-17,('Northern Roglai [i-rog][w-rgn][a-2375][g-nort2994]':0.00521,'Tsat [i-huq][w-tst][a-1622][g-tsat1238]':0.00521)'Northern Cham [i-][w-][a-][g-nort3219]':0.0318)'Chamic [i-][w-][a-][g-cham1330]':0.0102,(('Betawi [i-bew][w-meb][a-998][g-beta1252]':0.0472,('Indonesian [i-ind][w-ind-inj][a-1324-1325-496][g-indo1316]':0.0472,'Standard Malay [i-zsm][w-mly][a-613][g-stan1306]':0.0472)'Indonesian Archipelago Malay [i-][w-][a-][g-indo1326]':4.86e-17,'Negeri Sembilan Malay [i-zmi][w-mmu][a-2809][g-nege1240]':0.0472,('Malay [i-zlm][w-ktp-myk][a-1357-1358][g-mala1479]':0.0472,'Urak Lawoi` [i-urk][w-url][a-2675][g-urak1238]':0.0472)'Singapore Archipelago Malay [i-][w-][a-][g-sing1270]':5.55e-17)'Nuclear Malayic [i-][w-][a-][g-nucl1733]':4.86e-17,('Malay/ Manado [i-xmm][w-mds][a-2753][g-mala1481]':0.0208,'Papuan Malay [i-pmy][w-iir][a-][g-papu1250]':0.0208)'Eastern Indonesia Trade Malay [i-][w-][a-][g-east2743]':0.0264)'Malayic [i-][w-][a-][g-mala1538]':4.86e-17)'North and East Malayo-Sumbawan [i-][w-][a-][g-nort3170]':5.55e-17,('Sa`ban [i-snv][w-sab][a-2461][g-saba1265]':0.025,'Bonggi [i-bdg][w-bgz][a-][g-bong1289]':0.025,('Coastal Kadazan [i-kzj][w-kdz][a-1859][g-coas1294]':0.0208,'Tatana [i-txx][w-tat][a-2648][g-tata1257]':0.0208)'Southwest Sabahan [i-][w-][a-][g-sout3154]':0.00417)'North Bornean Malayo-Polynesian [i-][w-][a-][g-nort2892]':0.0222,('Central Cagayan Agta [i-agt][w-agc][a-854][g-cent2084]':0.0375,'Iloko [i-ilo][w-ilo][a-1644][g-ilok1237]':0.0375,('Balangao [i-blw][w-blg][a-1039][g-bala1310]':0.0365,('Karao [i-kyj][w-kao][a-1853][g-kara1487]':0.0365,'Pangasinan [i-pag][w-pnn][a-2314][g-pang1290]':0.0365)'West Southern Cordilleran [i-][w-][a-][g-west2550]':5.55e-17)'South-Central Cordilleran [i-][w-][a-][g-sout3211]':0.00109,'Casiguran Dumagat Agta [i-dgc][w-dca][a-1294][g-casi1235]':0.0375)'Northern Luzon [i-][w-][a-][g-nort3238]':0.00965,('Enggano [i-eno][w-eno][a-1474][g-engg1245]':0.0382,'Simeulue [i-smr][w-sim][a-2452][g-sime1241]':0.0382,'Batak Toba [i-bbc][w-bto][a-968][g-bata1289]':0.0382)'Northwest Sumatra-Barrier Islands [i-][w-][a-][g-nort2829]':0.009,'Palauan [i-pau][w-pal][a-2309][g-pala1344]':0.0472,('Bantik [i-bnq][w-bnt][a-1046][g-bant1286]':0.00781,'Ratahan [i-rth][w-tor][a-2384][g-rata1244]':0.00781)'Southern Sangiric [i-][w-][a-][g-sout3155]':0.0394,'Selayar [i-sly][w-sly][a-2448][g-sela1260]':0.0472)'Malayo-Polynesian [i-][w-][a-][g-mala1545]':0.0926,'Paiwan [i-pwn][w-pai][a-327][g-paiw1248]':0.14)'Nuclear Austronesian [i-][w-][a-][g-nucl1752]';
