Family	Success	Comments	Tree
Fulnio	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Fulnio Proper [i-][w-][a-][g-fuln1248]':1,'Yate [i-][w-][a-][g-yate1241]':1)'Fulnio [i-fun][w-ful][a-1509][g-fuln1247]':1);
Dem	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Dem [i-dem][w-][a-][g-demm1245]':1)'Dem [i-dem][w-][a-][g-demm1245]':1);
Mixe-Zoque	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(((((((('Camotlin Mixe [i-][w-][a-][g-camo1252]':1,'Coatlin Mixe [i-][w-][a-][g-coat1239]':1)'Coatlan Mixe [i-mco][w-mco][a-1952][g-coat1238]':1,'Isthmus Mixe [i-mir][w-][a-][g-isth1238]':1,'Mazatlan Mixe [i-mzl][w-][a-][g-maza1292]':1)'Lowland Mixe [i-][w-][a-][g-lowl1263]':1,(('Nuclear Juquila Mixe [i-][w-][a-][g-nucl1646]':1,'Ocotepec Mixe [i-][w-][a-][g-ocot1241]':1)'Juquila Mixe [i-mxq][w-][a-][g-juqu1238]':1,('Atitlin Mixe [i-][w-][a-][g-atit1238]':1,'Cotzocon Mixe [i-][w-][a-][g-cotz1238]':1,'Mixe de San Juan Cotzocon [i-][w-][a-][g-mixe1283]':1,'Mixistlan [i-][w-][a-][g-mixi1242]':1,'Olotepec [i-][w-][a-][g-olot1240]':1,'Puxmetecin [i-][w-][a-][g-puxm1238]':1,'Zacatepec [i-][w-][a-][g-zaca1240]':1)'North Central Mixe [i-neq][w-][a-][g-nort2939]':1)'Midland Mixe [i-][w-][a-][g-midl1241]':1)'Lowland-Midland Mixe [i-][w-][a-][g-lowl1269]':1,'Tlahuitoltepec Mixe [i-mxp][w-mxx][a-2110][g-tlah1239]':1)'Lowland-Midland-South Highland Mixe [i-][w-][a-][g-lowl1268]':1,'Totontepec Mixe [i-mto][w-mtp][a-2091][g-toto1305]':1,'Ulterior-Mixe [i-][w-][a-][g-ulte1235]':1)'Oaxaca Mixe [i-][w-][a-][g-oaxa1241]':1,'Oluta Popoluca [i-plo][w-olu][a-2308][g-olut1240]':1,'Sayula Popoluca [i-pos][w-say][a-2323][g-sayu1241]':1,'Tapachultec [i-qcs][w-][a-][g-tapa1260]':1)'Mixe [i-mixe][w-][a-185][g-mixe1286]':1,((((('Coapila Zoque [i-][w-][a-][g-coap1234]':1,'Copainala Zoque [i-][w-][a-][g-copa1239]':1,'Tecpatan Zoque [i-][w-][a-][g-tecp1236]':1)'Central Chiapas Zoque [i-][w-][a-][g-cent2418]':1,'Southern Chiapas Zoque [i-][w-][a-][g-sout3409]':1)'Central-South Chiapas Zoque [i-zoc][w-zqc][a-1460-492][g-copa1236]':1,('Chapultenango [i-][w-][a-][g-chap1265]':1,'Ocotepec-Tapalapa [i-][w-][a-][g-ocot1242]':1,'Rayon-Pantepec Zoque [i-][w-][a-][g-rayo1236]':1)'Northeast Chiapas Zoque [i-zor][w-zqr][a-2815][g-rayo1235]':1,('Franciso Leon [i-][w-][a-][g-fran1272]':1,'Ostuacin [i-][w-][a-][g-ostu1241]':1,'San Pedro Yaspac [i-][w-][a-][g-sanp1256]':1)'Northern Chiapas Zoque [i-zos][w-zfl][a-2816][g-fran1266]':1)'Chiapas Zoque [i-][w-][a-][g-chia1265]':1,'Jitotolteco [i-][w-][a-][g-jito1235]':1)'Chiapas-Jitotolteco Zoque [i-][w-][a-][g-chia1261]':1,'Chimalapa Zoque [i-zoh][w-zch][a-2814][g-chim1300]':1,('Highland Popoluca [i-poi][w-zqs][a-474][g-high1276]':1,('Tabasco Zoque [i-zoq][w-][a-][g-taba1264]':1,'Texistepec Popoluca [i-poq][w-][a-2941][g-texi1237]':1)'Texistepec-Ayapa Zoque [i-][w-][a-][g-texi1238]':1)'Gulf Zoque [i-][w-][a-][g-gulf1238]':1)'Zoque [i-][w-][a-][g-zoqu1261]':1)'Mixe-Zoque [i-][w-][a-][g-mixe1284]':1);
Mure	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Mure [i-][w-][a-][g-mure1235]':1)'Mure [i-][w-][a-][g-mure1235]':1);
North Halmahera	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(((((('Kadai {Galela} [i-][w-][a-][g-kada1290]':1,'Kadina [i-][w-][a-][g-kadi1247]':1,'Morotai [i-][w-][a-][g-moro1290]':1,'Sopi [i-][w-][a-][g-sopi1242]':1)'Galela [i-gbi][w-gll][a-1523][g-gale1259]':1,('Bakun [i-][w-][a-][g-baku1264]':1)'Loloda-Laba [i-loa][w-][a-][g-lolo1264]':1)'Galela-Loloda [i-][w-][a-][g-gale1261]':1,(('North Modole [i-][w-][a-][g-nort2925]':1,'South Modole [i-][w-][a-][g-sout2945]':1)'Modole [i-mqo][w-][a-][g-modo1249]':1,('Kao [i-kax][w-][a-][g-kaoo1238]':1,('Isam [i-][w-][a-][g-isam1243]':1,'Nuclear Pagu [i-][w-][a-][g-nucl1627]':1,'Toliwiku [i-][w-][a-][g-toli1245]':1)'Pagu [i-pgu][w-pag][a-2290][g-pagu1249]':1)'Paguic [i-][w-][a-][g-pagu1251]':1)'Kao River [i-][w-][a-][g-kaor1242]':1,('Adu [i-][w-][a-][g-aduu1238]':1,'Nyeku [i-][w-][a-][g-nyek1238]':1)'Tabaru [i-tby][w-tbr][a-2529][g-taba1263]':1,(('Boeng [i-][w-][a-][g-boan1244]':1,'Dodinga [i-][w-][a-][g-dodi1239]':1,'Nuclear Tobelo [i-][w-][a-][g-nucl1628]':1)'Tobelo [i-tlb][w-tlo][a-2580][g-tobe1252]':1,('Kusuri [i-][w-][a-][g-kusu1253]':1,'Teluk Lili [i-][w-][a-][g-telu1264]':1)'Tugutil [i-tuj][w-][a-][g-tugu1246]':1)'Tobelo-Tugutil [i-][w-][a-][g-tobe1251]':1)'Mainland North Halmaheran [i-][w-][a-][g-main1282]':1,('Ibu [i-ibu][w-][a-][g-ibuu1240]':1,('Gamkonora [i-gak][w-][a-][g-gamk1238]':1,(('Pa``disua [i-][w-][a-][g-padi1242]':1,'Tala``i [i-][w-][a-][g-tala1288]':1)'Sahu [i-saj][w-sah][a-343][g-sahu1245]':1,'Waioli [i-wli][w-][a-][g-waio1238]':1)'Sahu-Waioli [i-][w-][a-][g-sahu1246]':1)'Nuclear Sahuan [i-][w-][a-][g-nucl1759]':1)'Sahuan [i-][w-][a-][g-sahu1244]':1,('Ternate [i-tft][w-trt][a-2557][g-tern1247]':1,'Tidore [i-tvo][w-tid][a-2643][g-tido1248]':1)'Ternatean [i-][w-][a-][g-tern1246]':1)'Northern North Halmahera [i-][w-][a-][g-nort2924]':1,'West Makian [i-mqs][w-wma][a-2072][g-west2600]':1)'North Halmahera [i-][w-][a-][g-nort2923]':1);
Tonkawa	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Tonkawa [i-tqw][w-ton][a-382][g-tonk1249]':1)'Tonkawa [i-tqw][w-ton][a-382][g-tonk1249]':1);
Otomaco-Taparita	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Otomaco [i-][w-][a-][g-otom1301]':1,'Taparita [i-][w-][a-][g-tapa1262]':1)'Otomaco-Taparita [i-][w-][a-][g-otom1276]':1);
Klamath-Modoc	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Klamath-Modoc [i-kla][w-klm][a-685][g-klam1254]':1)'Klamath-Modoc [i-kla][w-klm][a-685][g-klam1254]':1);
Fasu	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	(('Kaibu [i-][w-][a-][g-kaib1243]':1,'Namome [i-][w-][a-][g-namo1245]':1,'Some [i-][w-][a-][g-some1244]':1)'Fasu [i-faa][w-fas][a-1486][g-fasu1242]':1);
Chibchan	SUCCESS	Path length proportional to the number of splits with atomic branch length = 1	((((('Changuena [i-][w-][a-][g-chan1324]':1,'Dorasque [i-][w-][a-][g-dora1242]':1)'Doracic [i-][w-][a-][g-dora1241]':1,((('Bokota [i-][w-][a-][g-boko1272]':1,'Sabanero [i-][w-][a-][g-saba1272]':1)'Buglere [i-sab][w-bgl][a-2392][g-bugl1243]':1,('Eastern Guaymi [i-][w-][a-][g-east2570]':1,'Valiente [i-][w-][a-][g-vali1239]':1)'Ngabere [i-gym][w-nbr][a-90][g-ngab1239]':1)'Guaymiic [i-][w-][a-][g-guay1266]':1,('Border Kuna [i-kvn][w-kun][a-1833][g-bord1248]':1,('Bayano [i-][w-][a-][g-baya1263]':1,'Chuana [i-][w-][a-][g-chua1255]':1)'San Blas Kuna [i-cuk][w-][a-][g-sanb1242]':1)'Kuna [i-][w-][a-][g-kuna1280]':1)'Eastern Isthmic Chibchan [i-][w-][a-][g-east2569]':1,('Boruca [i-brn][w-brc][a-1066][g-boru1252]':1,'Teribe [i-tfr][w-trb][a-2556][g-teri1250]':1,(('Amubre-Katsi [i-][w-][a-][g-amub1238]':1,'Coroma [i-][w-][a-][g-coro1254]':1,'Salitre-Cabagra [i-][w-][a-][g-sali1302]':1)'Bribri [i-bzd][w-bri][a-519][g-brib1243]':1,('Chirripo [i-][w-][a-][g-chir1293]':1,'Estrella [i-][w-][a-][g-estr1249]':1,'Telire [i-][w-][a-][g-teli1245]':1,'Ujarras [i-][w-][a-][g-ujar1238]':1)'Cabecar [i-cjp][w-cab][a-1152][g-cabe1245]':1)'Viceitic [i-][w-][a-][g-vice1244]':1)'Western Isthmic Chibchan [i-][w-][a-][g-west2641]':1)'Isthmic Chibchan [i-][w-][a-][g-isth1243]':1,((('Cogui [i-kog][w-cog][a-1792][g-cogu1240]':1,('Arhuaco [i-arh][w-ika][a-532][g-arhu1242]':1,('Kankuamo [i-][w-][a-][g-kank1244]':1,'Malayo [i-mbp][w-dam][a-1940][g-mala1522]':1)'Eastern Arhuacic [i-][w-][a-][g-east2572]':1)'Eastern-Southern Arhuacic [i-][w-][a-][g-east2571]':1)'Arhuacic [i-][w-][a-][g-arhu1241]':1,'Chimila [i-cbg][w-cma][a-1122][g-chim1309]':1)'Northern Magdalenic [i-][w-][a-][g-nort3000]':1,('Bari [i-mot][w-mti][a-2059][g-bari1297]':1,('Chibcha [i-chb][w-msc][a-1121][g-chib1270]':1,'Duit [i-][w-][a-][g-duit1239]':1)'Chibcha-Duit [i-][w-][a-][g-chib1269]':1,('Angosturas Tunebo [i-tnd][w-][a-][g-ango1257]':1,'Barro Negro Tunebo [i-tbn][w-][a-][g-barr1251]':1,'Central Tunebo [i-tuf][w-tnb][a-2592][g-cent2150]':1,'Western Tunebo [i-tnb][w-][a-][g-west2651]':1)'Tunebo [i-][w-][a-][g-tune1260]':1)'Southern Magdalenic [i-][w-][a-][g-sout3015]':1)'Magdalenic [i-][w-][a-][g-magd1236]':1,('Antioquian [i-][w-][a-][g-anti1242]':1)'Unclassified Chibchan [i-][w-][a-][g-unun9943]':1,('Huetar [i-][w-][a-][g-huet1235]':1,'Maleku Jaika [i-gut][w-][a-][g-male1297]':1,'Rama [i-rma][w-ram][a-454][g-rama1270]':1)'Votic Chibchan [i-][w-][a-][g-voti1248]':1)'Core Chibchan [i-][w-][a-][g-core1252]':1,'Pech [i-pay][w-pec][a-2272][g-pech1241]':1)'Chibchan [i-][w-][a-][g-chib1249]':1);
