Family	Success	Comments	Tree
Torricelli	FAIL	NJ: the distances matrix has too few non-missing data	
Afro-Asiatic	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Sepik	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Niger-Congo	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
Guaicuruan	SUCCESS	NJ	('Pilaga [i-plg][w-pga][a-2306][g-pila1245]':0.113,'Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':0.0243,(('Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':0,'Toba [i-tob][w-tob][a-2596][g-toba1269]':0.262):0.0626,'Abipon [i-axb][w-abi][a-582][g-abip1241]':0.118):0.0515);
Northwest Caucasian	SUCCESS	NJ	('Adyghe {Temirgoy} [i-ady][w-adt][a-1210-1211-1212-458][g-adyg1241]':0.0512,'Adyghe {Shapsugh} [i-ady][w-ash][a-1210-1211-1212-458][g-adyg1241]':0.0512,(((('Abaza [i-abq][w-abz][a-824][g-abaz1241]':0.09,'Abkhaz [i-abk][w-abk][a-7][g-abkh1244]':0.0367):0.166,'Ubykh [i-uby][w-uby][a-2656][g-ubyk1235]':0):0.188,'Kabardian [i-kbd][w-kab][a-675][g-kaba1278]':0.0706):0.0581,'Adyghe {Abzakh} [i-ady][w-ady][a-1210-1211-1212-458][g-adyg1241]':0.0512):0.0512);
Muskogean	SUCCESS	NJ	('Mikasuki [i-mik][w-mki][a-2007][g-mika1239]':0.0736,'Chickasaw [i-cic][w-cck][a-1143][g-chic1270]':0,(('Alabama [i-akz][w-abm][a-618][g-alab1237]':0.033,'Koasati [i-cku][w-koa][a-135][g-koas1236]':0.101):0.0679,'Choctaw [i-cho][w-cct][a-54][g-choc1276]':0.0815):0.0645);
Australian	FAIL	NJ: error in njs(): too much missing data in the distance matrix	
West Papuan	SUCCESS	NJ	('Mpur [i-akc][w-mpu][a-869][g-mpur1239]':0,'Maybrat [i-ayz][w-may][a-438][g-maib1239]':0.0726,('Sahu [i-saj][w-sah][a-343][g-sahu1245]':0.17,'Tobelo [i-tlb][w-tlo][a-2580][g-tobe1252]':0.313):0.0812);
Timor-Alor-Pantar	FAIL	NJ: the distances matrix has too few non-missing data	
