Family	Success	Comments	Tree
Torricelli	SUCCESS	NNLS	('Walman [i-van][w-wal][a-2684][g-valm1241]':0.0925,'One [i-aun][w-one][a-938][g-molm1235]':0.0925,('Olo [i-ong][w-olo][a-2251][g-oloo1241]':0.0925,'Au [i-avt][w-au][a-943][g-auuu1241]':0.0925)'Central Wapei [i-][w-][a-][g-]':0)'Torricelli [i-][w-][a-][g-]';
Afro-Asiatic	SUCCESS	NNLS	('Masa [i-mcn][w-mas][a-1951][g-masa1322]':0.207,('Zayse [i-zay][w-zay][a-2805][g-zays1235]':0.0208,'Wolaytta [i-wal][w-wly][a-2707][g-wola1242]':0.0208,'Maale [i-mdy][w-mle][a-1964][g-male1284]':0.0208)'Ta-Ne-Omotic [i-][w-][a-][g-]':0.186,'Dizi [i-mdx][w-diz][a-65][g-dizi1235]':0.207,'Coptic [i-cop][w-cop][a-1172][g-copt1239]':0.207,('Kera [i-ker][w-ker][a-539][g-kera1255]':0.095,'Dangaleat {Western} [i-daa][w-dnw][a-1208][g-dang1274]':0.095)'East Chadic [i-][w-][a-][g-]':0.112,'Beja [i-bej][w-bej][a-34][g-beja1238]':0.207,'Tashlhiyt [i-shi][w-tas][a-2421-2969][g-tach1250]':0.207,('Tera [i-ttr][w-ter][a-373][g-tera1251]':0.0716,'Margi [i-mrt][w-mrg][a-177][g-marg1265]':0.0716)'Biu-Mandara [i-][w-][a-][g-]':0.135,'Kemant [i-ahg][w-kem][a-2351][g-qima1242]':0.207,('Pero [i-pip][w-per][a-2297][g-pero1241]':0.11,'Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]':0.11,'Mupun [i-sur][w-mup][a-2498][g-mwag1236]':0.11,'Kanakuru [i-kna][w-knk][a-121][g-dera1248]':0.11,'Hausa [i-hau][w-hau][a-98][g-haus1257]':0.11,'Angas [i-anc][w-anc][a-892][g-ngas1240]':0.11)'West Chadic [i-][w-][a-][g-]':0.0973,'Iraqw [i-irk][w-irq][a-534][g-iraq1241]':0.207,('Somali [i-som][w-som][a-355][g-soma1255]':0.202,'Oromo {Harar} [i-hae][w-orh][a-324][g-east2652]':0.202)'Lowland East Cushitic [i-][w-][a-][g-]':0.00512,('Arabic {Gulf} [i-afb][w-arg][a-842][g-gulf1241]':0.156,'Amharic [i-amh][w-amh][a-21][g-amha1245]':0.156,'Arabic {Egyptian} [i-arz][w-aeg][a-642][g-egyp1253]':0.156)'Semitic [i-][w-][a-][g-]':0.0507)'Afro-Asiatic [i-][w-][a-][g-]';
Sepik	SUCCESS	NNLS	('Wogamusin [i-wog][w-wog][a-2733][g-woga1249]':0.144,'Namia [i-nnm][w-nam][a-2190][g-nami1256]':0.144,'Mehek [i-nux][w-mhk][a-2222][g-mehe1243]':0.144,'Kwoma [i-kmo][w-kwo][a-1784][g-kwom1262]':0.144,'Awtuw [i-kmn][w-awt][a-28][g-awtu1239]':0.144,('Iatmul [i-ian][w-iat][a-1630][g-iatm1242]':0.0133,'Hanga Hundi [i-wos][w-hhu][a-2736][g-hang1263]':0.0133,'Ambulas [i-abt][w-amb][a-6][g-ambu1247]':0.0133)'Ndu [i-][w-][a-][g-]':0.131,('Sare [i-dju][w-sar][a-1336][g-kapr1245]':0.0532,'Alamblak [i-amp][w-ala][a-14][g-alam1246]':0.0532)'Sepik Hill [i-][w-][a-][g-]':0.0909)'Sepik [i-][w-][a-][g-]';
Niger-Congo	SUCCESS	NNLS	('Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.113,'Tiv [i-tiv][w-tiv][a-2574][g-tivv1240]':0.113,'Tikar [i-tik][w-tik][a-2570][g-tika1246]':0.113,'Ogbronuagum [i-ogu][w-obg][a-2243][g-ogbr1243]':0.113,'Noni [i-nhu][w-non][a-2168][g-noon1243]':0.113,('Noon [i-snf][w-noo][a-2455][g-noon1242]':0.0399,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.0399)'Cangin [i-][w-][a-][g-]':0.073,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.113,'Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.113,('Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.0098,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.0098,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.0098)'Mbumic [i-][w-][a-][g-]':0.103,'Kirma [i-cme][w-kir][a-1559][g-cerm1238]':0.113,'Koromfe [i-kfz][w-kfe][a-546][g-koro1298]':0.113,'Kabiye [i-kbp][w-kby][a-1708][g-kabi1261]':0.113,'Jukun [i-jbu][w-juk][a-1676][g-juku1254]':0.113,'Yoruba [i-yor][w-yor][a-421][g-yoru1245]':0.113,'Igbo [i-ibo][w-igb][a-531][g-nucl1417]':0.113,('Igede [i-ige][w-ige][a-1640][g-iged1239]':0.113,'Idoma [i-idu][w-ido][a-1636][g-idom1241]':0.113)'Idomoid [i-][w-][a-][g-]':0,('Kana [i-ogo][w-kan][a-1728][g-khan1278]':0.113,'Gokana [i-gkn][w-gok][a-1546][g-goka1239]':0.113)'Ogonoid [i-][w-][a-][g-]':0,'Gula Iro [i-glj][w-gir][a-1548][g-gula1265]':0.113,('Ngbaka {Minagende} [i-nga][w-ngb][a-2157][g-ngba1285]':0.0406,'Gbaya {Southwest} [i-gso][w-gbs][a-1961][g-sout2785]':0.0406,'Gbaya {Northwest} [i-gya][w-gbk][a-1586][g-nort2775]':0.0406,'Gbeya Bossangoa [i-gbp][w-gbb][a-85][g-gbay1287]':0.0406)'Gbaya-Manza-Ngbaka [i-][w-][a-][g-]':0.0723,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.113,'Fulfulde {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':0.113,'Nkem [i-isi][w-nke][a-1655][g-nkem1242]':0.113,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.113,'Obolo [i-ann][w-obo][a-897][g-obol1243]':0.113,('Nupe [i-nup][w-nup][a-2218][g-nupe1254]':0.0882,'Ebira [i-igb][w-ebi][a-1639][g-ebir1243]':0.0882)'Nupoid [i-][w-][a-][g-]':0.0246,('Tenyer [i-kza][w-tny][a-1856][g-west2466]':0.113,'Supyire [i-spp][w-sup][a-497][g-supy1237]':0.113)'Senufo [i-][w-][a-][g-]':1.39e-17,('Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.0333,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.0333)'Samba-Duru [i-][w-][a-][g-]':0.0795,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.113,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.113,'Basari [i-bsc][w-bsr][a-1071][g-bass1258]':0.113,('Engenni [i-enn][w-egn][a-1473][g-enge1239]':0.113,'Degema [i-deg][w-deg][a-1272][g-dege1246]':0.113,'Bini [i-bin][w-bni][a-1463][g-bini1246]':0.113)'Edoid [i-][w-][a-][g-]':0,('Moore [i-mos][w-moo][a-1991][g-moss1236]':0.0936,'Konni [i-kma][w-kni][a-1781][g-konn1242]':0.0936,'Dagbani [i-dag][w-dgb][a-1213][g-dagb1246]':0.0936,'Bimoba [i-bim][w-bmb][a-1020][g-bimo1239]':0.0936)'Oti-Volta [i-][w-][a-][g-]':0.0192,('Gworok [i-kcg][w-gwo][a-1713][g-tyap1238]':0.084,'Fyem [i-pym][w-fye][a-2348][g-fyam1238]':0.084,'Birom [i-bom][w-bir][a-1050][g-bero1242]':0.084)'Benue-Congo Plateau [i-][w-][a-][g-]':0.0288,('Temne [i-tem][w-tne][a-2546][g-timn1235]':0.0789,'Baga Sitemu [i-bsp][w-bgs][a-1073][g-baga1272]':0.0789)'Northern Mel [i-][w-][a-][g-]':0.0339,('Zande [i-zne][w-zan][a-2802][g-zand1248]':0.113,'Sango [i-sag][w-san][a-466][g-sang1328]':0.113,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.113,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.113,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.113,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.113,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.113,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.113,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.113,'Baka {in Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.113)'Ubangi [i-][w-][a-][g-]':0,('Duka [i-dud][w-duk][a-1437][g-huns1239]':0.113,'Amo [i-amo][w-amo][a-888][g-amoo1242]':0.113)'Central Kainji [i-][w-][a-][g-]':0,('Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.0506,'Baoule [i-bci][w-ble][a-974][g-baou1238]':0.0506,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.0506,'Akan [i-aka][w-akn][a-2645][g-akan1250]':0.0506)'Tano [i-][w-][a-][g-]':0.0623,('Yao {in Malawi} [i-yao][w-yao][a-2764][g-yaoo1241]':0.06,'Xhosa [i-xho][w-xho][a-2754][g-xhos1239]':0.06,'Venda [i-ven][w-ven][a-2688][g-vend1245]':0.06,'Tunen [i-tvu][w-tnn][a-966][g-tune1261]':0.06,'Tuki [i-bag][w-tki][a-959][g-tuki1240]':0.06,'Tabwa [i-tap][w-tbw][a-2518][g-taab1238]':0.06,'Talinga [i-tlj][w-tal][a-2582][g-tali1258]':0.06,'Swati [i-ssw][w-swt][a-2505][g-swat1243]':0.06,'Sotho {Northern} [i-nso][w-stn][a-2478][g-pedi1238]':0.06,'Sukuma [i-suk][w-skm][a-2492][g-suku1261]':0.06,'Shambala [i-ksb][w-shm][a-1817][g-sham1280]':0.06,'Sangu [i-snq][w-sgu][a-2460][g-sang1333]':0.06,'Sengele [i-szg][w-sgl][a-2507][g-seng1278]':0.06,'Sesotho [i-sot][w-ses][a-2484][g-sout2807]':0.06,'Runyoro-Rutooro [i-nyo][w-rru][a-2231][g-nyor1246]':0.06,'Runyankore [i-nyn][w-rny][a-2229][g-nyan1307]':0.06,'Rimi [i-rim][w-rim][a-2370][g-nyat1246]':0.06,'Ronga [i-rng][w-rga][a-2377][g-rong1268]':0.06,'Pare [i-asa][w-pre][a-929][g-asut1235]':0.06,'Pogoro [i-poy][w-pog][a-2327][g-pogo1243]':0.06,'Pangwa [i-pbr][w-png][a-2276][g-pang1287]':0.06,'Nyamwezi [i-nym][w-nym][a-2234][g-nyam1276]':0.06,'Ntomba [i-nto][w-nto][a-2213][g-ntom1248]':0.06,'Nsenga [i-nse][w-nse][a-2203][g-nsen1242]':0.06,'Nyanga [i-nyj][w-nng][a-2227][g-nyan1304]':0.06,'Nkore-Kiga [i-cgg][w-nko][a-562][g-chig1238]':0.06,'Ngoni [i-ngo][w-ngo][a-2163][g-ngon1269]':0.06,'Ndumu [i-nmd][w-ndu][a-2185][g-ndum1239]':0.06,'Ndonga [i-ndo][w-ndo][a-2147][g-ndon1254]':0.06,'Nande [i-nnb][w-nde][a-1776][g-nand1264]':0.06,'Mwera [i-mwe][w-mwe][a-2105][g-mwer1248]':0.06,'Matuumbi [i-mgw][w-mtb][a-1985][g-matu1259]':0.06,'Mpongwe [i-mye][w-mpo][a-2116][g-myen1241]':0.06,'Makaa [i-mcp][w-mkz][a-1953][g-maka1304]':0.06,'Makonde [i-kde][w-mkd][a-1721][g-mako1251]':0.06,'Mbalanhu [i-lnb][w-mhu][a-1903][g-mbal1255]':0.06,'Mongo [i-lol][w-mgo][a-2056][g-mong1338]':0.06,'Mbole [i-mdq][w-mbl][a-1962][g-mbol1247]':0.06,'Mbere [i-mdt][w-mbe][a-1963][g-mber1257]':0.06,'Luvale [i-lue][w-luv][a-553][g-luva1239]':0.06,'Lucazi [i-lch][w-luc][a-1873][g-luch1239]':0.06,'Lingala [i-lin][w-lin][a-1888][g-ling1263]':0.06,'Langi [i-lag][w-lgi][a-1864][g-lang1320]':0.06,'Lebeo [i-agh][w-leb][a-850][g-ngel1238]':0.06,'Lunda [i-lun][w-lbu][a-1923][g-lund1266]':0.06,'Kwangali [i-kwn][w-kwn][a-1849][g-kwan1273]':0.06,'Kete [i-kcv][w-kte][a-1720][g-kete1252]':0.06,'Shona [i-sna][w-shn][a-2420][g-shon1251]':0.06,'Kinyarwanda [i-kin][w-kin][a-2386][g-kiny1244]':0.06,'Kiluba [i-lub][w-kil][a-1917][g-luba1250]':0.06,'Kikuyu [i-kik][w-kik][a-740][g-kiku1240]':0.06,'Kagulu [i-kki][w-kgr][a-1768][g-kagu1239]':0.06,'Kinga [i-zga][w-kga][a-1759][g-nucl1379]':0.06,'Kamba [i-kam][w-kba][a-1756][g-kamb1297]':0.06,'Ila [i-ilb][w-ila][a-1643][g-ilaa1246]':0.06,'Haya [i-hay][w-hya][a-1599][g-haya1250]':0.06,'Holoholo [i-hoo][w-hol][a-1616][g-holo1240]':0.06,'Hunde [i-hke][w-hnd][a-1608][g-hund1239]':0.06,'Hemba [i-hem][w-hem][a-1603][g-hemb1242]':0.06,'Hehe [i-heh][w-heh][a-1601][g-hehe1240]':0.06,'Ewondo [i-ewo][w-ewo][a-1485][g-ewon1239]':0.06,'Ekoti [i-eko][w-eko][a-1465][g-koti1238]':0.06,'Duala [i-dua][w-dua][a-1381][g-dual1243]':0.06,'Duma [i-dma][w-dma][a-1353][g-duma1253]':0.06,'Bubi [i-bvb][w-bub][a-1086][g-bube1242]':0.06,'Bushoong [i-buf][w-bsh][a-1080][g-bush1247]':0.06,'Bera [i-brf][w-brq][a-1021][g-bera1259]':0.06,'Bolia [i-bli][w-bol][a-1037][g-boli1255]':0.06,'Bobangi [i-bni][w-bob][a-1045][g-bang1354]':0.06,'Bankon [i-abb][w-bnk][a-821][g-bank1256]':0.06,'Bakueri [i-bri][w-bku][a-1064][g-mokp1239]':0.06,'Londo [i-bdu][w-ldo][a-2162-992][g-orok1266]':0.06,'Babole [i-bvx][w-bbl][a-1090][g-dibo1245]':0.06,'Basaa [i-bas][w-bas][a-957][g-basa1284]':0.06)'Bantu [i-][w-][a-][g-]':0.0529,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.113,'Klao [i-klu][w-kla][a-1780][g-klao1243]':0.113,('Mungaka [i-mhk][w-mgk][a-1990][g-mung1266]':0.0706,'Mbili [i-baw][w-mbi][a-964][g-bamb1266]':0.0706,'Bafut [i-bfd][w-baf][a-1001][g-bafu1246]':0.0706,'Babungo [i-bav][w-bab][a-488][g-veng1238]':0.0706)'Wide Grassfields [i-][w-][a-][g-]':0.0422,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.113)'Niger-Congo [i-][w-][a-][g-]';
Guaicuruan	SUCCESS	NNLS	((('Toba [i-tob][w-tob][a-2596][g-toba1269]':0.117,'Pilaga [i-plg][w-pga][a-2306][g-pila1245]':0.117,'Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':0.117)'Qom [i-][w-][a-][g-]':0,('Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':0.0583)'Kadiweu [i-][w-][a-][g-]':0.0583,('Abipon [i-axb][w-abi][a-582][g-abip1241]':0.0583)'Abipon [i-][w-][a-][g-]':0.0583)'Guaicuruan [i-][w-][a-][g-]':1);
Northwest Caucasian	SUCCESS	NNLS	((('Ubykh [i-uby][w-uby][a-2656][g-ubyk1235]':0.0761,'Kabardian [i-kbd][w-kab][a-675][g-kaba1278]':0.0761,'Adyghe {Abzakh} [i-ady][w-ady][a-1210-1211-1212-458][g-adyg1241]':0.0761,'Abaza [i-abq][w-abz][a-824][g-abaz1241]':0.0761,'Abkhaz [i-abk][w-abk][a-7][g-abkh1244]':0.0761)'Northwest Caucasian [i-][w-][a-][g-]':1)'Northwest Caucasian [i-][w-][a-][g-]':1);
Muskogean	SUCCESS	NNLS	('Mikasuki [i-mik][w-mki][a-2007][g-mika1239]':0.0387,'Koasati [i-cku][w-koa][a-135][g-koas1236]':0.0387,'Choctaw [i-cho][w-cct][a-54][g-choc1276]':0.0387,'Chickasaw [i-cic][w-cck][a-1143][g-chic1270]':0.0387,'Alabama [i-akz][w-abm][a-618][g-alab1237]':0.0387)'Muskogean [i-][w-][a-][g-]';
Pama-Nyungan	SUCCESS	NNLS	(('Yanyuwa [i-jao][w-yny][a-658][g-yany1243]':0.133,'Yankuntjatjara [i-kdd][w-ynk][a-416][g-yank1247]':0.133,'Yingkarta [i-yia][w-yng][a-2770-795][g-ying1247]':0.133,'Yindjibarndi [i-yij][w-yin][a-2773][g-yind1247]':0.133,'Warlpiri [i-wbp][w-wrl][a-404][g-warl1254]':0.133,'Watjarri [i-wbv][w-wat][a-2710][g-waja1257]':0.133,'Ritharngu [i-rit][w-rit][a-2371][g-rita1239]':0.133,'Panyjima [i-pnw][w-pny][a-2316][g-pany1241]':0.133,'Pitjantjatjara [i-pjt][w-pit][a-510][g-pitj1243]':0.133,'Ngaanyatjarra [i-ntj][w-ntj][a-2211-810][g-ngaa1240]':0.133,'Martuthunira [i-vma][w-mrt][a-179][g-mart1255]':0.133,'Ngadjumaja [i-nju][w-ngj][a-2179][g-ngad1258]':0.133,'Karadjeri [i-gbd][w-krj][a-1522][g-kara1476]':0.133,'Gugada [i-ktd][w-gug][a-1825][g-koka1244]':0.133,'Djaru [i-ddj][w-djr][a-1262][g-jaru1254]':0.133,'Djinang [i-dji][w-djn][a-1333][g-djin1253]':0.133,'Djambarrpuyngu [i-djr][w-djm][a-1335][g-djam1256]':0.133,'Dhargari [i-dhr][w-dhr][a-1318][g-dhar1247]':0.133,'Badimaya [i-bia][w-bdm][a-1015][g-badi1246]':0.133)'Western Pama-Nyungan [i-][w-][a-][g-]':0,('Yorta Yorta [i-xyy][w-yyo][a-813-815][g-yort1237]':0.0919,'Wathawurrung [i-wth][w-wth][a-808][g-wath1238]':0.0919,'Warrnambool [i-gjm][w-wrb][a-806][g-warr1257]':0.0919,'Ngiyambaa [i-wyb][w-ngi][a-210][g-wang1291]':0.0919,'Muruwari [i-zmu][w-mrw][a-2813][g-muru1266]':0.0919,'Gumbaynggir [i-kgs][w-gum][a-1744][g-kumb1268]':0.0919,'Yuwaalaraay [i-kld][w-yuw][a-1344-1774][g-gami1243]':0.0919,'Gureng Gureng [i-gnr][w-ggu][a-1553][g-gure1255]':0.0919,'Dharawal [i-tbh][w-dhw][a-2524][g-thur1254]':0.0919)'Southeastern Pama-Nyungan [i-][w-][a-][g-]':0.0408,('Yidiny [i-yii][w-yid][a-580][g-yidi1250]':0.117,'Warrgamay [i-wgy][w-wrg][a-2719][g-warr1255]':0.117,'Wik Ngathana [i-wig][w-wn][a-2721][g-wikn1245]':0.117,'Wik Munkan [i-wim][w-wmu][a-2722][g-wikm1247]':0.117,'Kuuk Thaayorre [i-thd][w-thy][a-2562][g-thay1249]':0.117,'Nyawaygi [i-nyt][w-nya][a-2233][g-nyaw1247]':0.117,'Ngawun [i-nxn][w-ngw][a-2225][g-ngaw1240]':0.117,'Margany [i-zmc][w-mny][a-2808][g-marg1253]':0.117,'Kuku-Yalanji [i-gvn][w-kya][a-1579][g-kuku1273]':0.117,'Kugu Nganhcara [i-uwa][w-knc][a-2679][g-kuku1280]':0.117,'Kala Lagaw Ya [i-mwp][w-kly][a-659][g-kala1377]':0.117,'Kalkatungu [i-ktg][w-kgu][a-1826][g-kalk1246]':0.117,'Guugu Yimidhirr [i-kky][w-guu][a-1772][g-gugu1255]':0.117,'Djabugay [i-dyy][w-dja][a-1459][g-dyaa1242]':0.117,'Biri [i-bzr][w-bii][a-1103][g-biri1256]':0.117)'Northern Pama-Nyungan [i-][w-][a-][g-]':0.0152,('Pitta Pitta [i-pit][w-ppi][a-2300][g-pitt1247]':0.125,'Paakantyi [i-drl][w-pkn][a-1392][g-darl1243]':0.125,'Diyari [i-dif][w-diy][a-64][g-dier1241]':0.125,'Arrernte {Western} [i-are][w-awe][a-919][g-west2441]':0.125,'Arrernte {Mparntwe} [i-aer][w-amp][a-193][g-east2379]':0.125,'Alyawarra [i-aly][w-aly][a-883][g-alya1239]':0.125,'Adynyamathanha [i-adt][w-adn][a-837][g-adny1235]':0.125,'Arabana [i-ard][w-abn][a-918][g-arab1267]':0.125)'Central Pama-Nyungan [i-][w-][a-][g-]':0.00805)'Pama-Nyungan [i-][w-][a-][g-]';
Abun	FAIL	NNLS: too few languages	
Greater West Bomberai	FAIL	NNLS: too few languages with non-missing data	
