Family	Success	Comments	Tree
Torricelli	SUCCESS	NNLS: 	((('Urim [i-uri][w-uri][a-2674][g-urim1252]':5.49)'Urim [i-][w-][a-][g-]':5.49,('One [i-aun][w-one][a-938][g-molm1235]':5.49)'West Wapei [i-][w-][a-][g-]':5.49,('Kamasau [i-kms][w-kmz][a-3075][g-kama1367]':5.49)'Marienberg [i-][w-][a-][g-]':5.49,('Yil [i-yll][w-yil][a-2780][g-yill1241]':9.29,'Walman [i-van][w-wal][a-2684][g-valm1241]':9.29,'Urat [i-urt][w-urt][a-3180][g-urat1244]':9.29,'Olo [i-ong][w-olo][a-2251][g-oloo1241]':9.29,'Ningil [i-niz][w-nin][a-2175][g-ning1273]':9.29,'Au [i-avt][w-au][a-943][g-auuu1241]':9.29)'Wapei-Palei [i-][w-][a-][g-]':1.7,('Kombio [i-xbi][w-xbi][a-3072][g-komb1272]':10.9,'Arapesh {Mountain} [i-ape][w-arp][a-499][g-buki1249]':10.9,'Mufian [i-aoj][w-aoj][a-3070][g-mufi1238]':10.9,'Arapesh {Abu} [i-][w-aab][a-][g-]':10.9)'Kombio-Arapesh [i-][w-][a-][g-]':0.0744)'Torricelli [i-][w-][a-][g-]':1);
Afro-Asiatic	FAIL	NNLS: error in nnls.tree()	
Sepik	FAIL	NNLS: error in nnls.tree()	
Niger-Congo	FAIL	NNLS: error in nnls.tree()	
Guaicuruan	SUCCESS	NNLS: 	((('Toba [i-tob][w-tob][a-2596][g-toba1269]':7.56,'Pilaga [i-plg][w-pga][a-2306][g-pila1245]':7.56,'Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':7.56,'Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':7.56,'Abipon [i-axb][w-abi][a-582][g-abip1241]':7.56)'Guaicuruan [i-][w-][a-][g-]':1)'Guaicuruan [i-][w-][a-][g-]':1);
Northwest Caucasian	SUCCESS	NNLS: 	((('Ubykh [i-uby][w-uby][a-2656][g-ubyk1235]':4.68,'Kabardian [i-kbd][w-kab][a-675][g-kaba1278]':4.68,'Adyghe {Shapsugh} [i-ady][w-ash][a-1210-1211-1212-458][g-adyg1241]':4.68,'Adyghe {Abzakh} [i-ady][w-ady][a-1210-1211-1212-458][g-adyg1241]':4.68,'Adyghe {Temirgoy} [i-ady][w-adt][a-1210-1211-1212-458][g-adyg1241]':4.68,'Abaza [i-abq][w-abz][a-824][g-abaz1241]':4.68,'Abkhaz [i-abk][w-abk][a-7][g-abkh1244]':4.68)'Northwest Caucasian [i-][w-][a-][g-]':1)'Northwest Caucasian [i-][w-][a-][g-]':1);
Muskogean	SUCCESS	NNLS: 	((('Seminole [i-mus][w-smn][a-1182-1255][g-cree1270]':4.95,'Mikasuki [i-mik][w-mki][a-2007][g-mika1239]':4.95,'Koasati [i-cku][w-koa][a-135][g-koas1236]':4.95,'Creek [i-mus][w-crk][a-1182-1255][g-cree1270]':4.95,'Choctaw [i-cho][w-cct][a-54][g-choc1276]':4.95,'Chickasaw [i-cic][w-cck][a-1143][g-chic1270]':4.95,'Alabama [i-akz][w-abm][a-618][g-alab1237]':4.95)'Muskogean [i-][w-][a-][g-]':1)'Muskogean [i-][w-][a-][g-]':1);
Australian	FAIL	NNLS: error in nnls.tree()	
West Papuan	SUCCESS	NNLS: 	((('Tehit [i-kps][w-tht][a-369][g-tehi1237]':0)'West Bird`s Head [i-][w-][a-][g-]':0,('Mpur [i-akc][w-mpu][a-869][g-mpur1239]':0)'Kebar [i-][w-][a-][g-]':0,('Hatam [i-had][w-hat][a-645][g-hata1243]':0)'Hatam [i-][w-][a-][g-]':0,('West Makian [i-mqs][w-wma][a-2072][g-west2600]':0,'Ternate [i-tft][w-trt][a-2557][g-tern1247]':0,'Tobelo [i-tlb][w-tlo][a-2580][g-tobe1252]':0,'Tidore [i-tvo][w-tid][a-2643][g-tido1248]':0,'Tabaru [i-tby][w-tbr][a-2529][g-taba1263]':0,'Sahu [i-saj][w-sah][a-343][g-sahu1245]':0,'Pagu [i-pgu][w-pag][a-2290][g-pagu1249]':0,'Galela [i-gbi][w-gll][a-1523][g-gale1259]':0)'North Halmaheran [i-][w-][a-][g-]':0,('Maybrat [i-ayz][w-may][a-438][g-maib1239]':0,'Abun [i-kgr][w-abu][a-1743][g-abun1252]':0)'North-Central Bird`s Head [i-][w-][a-][g-]':0)'West Papuan [i-][w-][a-][g-]':1);
Timor-Alor-Pantar	SUCCESS	NNLS: 	((('Makasae [i-mkz][w-mkj][a-3033-3034][g-maka1316]':0)'Makasae-Fataluku-Oirata [i-][w-][a-][g-]':0,('Tanglapui [i-swt][w-tgp][a-][g-sawi1256]':0,'Kolana [i-kvw][w-kln][a-137][g-wers1238]':0)'Kolana-Tanglapui [i-][w-][a-][g-]':0,('Woisika [i-woi][w-woi][a-2734][g-kama1365]':0,'Kui {in Indonesia} [i-kvd][w-kiu][a-146][g-kuii1253]':0,'Adang [i-adn][w-adg][a-2878][g-adan1251]':0,'Abui [i-abz][w-abv][a-2985][g-abui1241]':0)'Greater Alor [i-][w-][a-][g-]':0)'Timor-Alor-Pantar [i-][w-][a-][g-]':1);
