Family	Success	Comments	Tree
Torricelli	SUCCESS	NNLS	('Walman [i-van][w-wal][a-2684][g-valm1241]':0.208,'Urat [i-urt][w-urt][a-3180][g-urat1244]':0.208,'One [i-aun][w-one][a-938][g-molm1235]':0.208,'Kamasau [i-kms][w-kmz][a-3075][g-kama1367]':0.208,('Olo [i-ong][w-olo][a-2251][g-oloo1241]':0.13,'Au [i-avt][w-au][a-943][g-auuu1241]':0.13)'Central Wapei [i-][w-][a-][g-]':0.0789,('Kombio [i-xbi][w-xbi][a-3072][g-komb1272]':0.208,'Arapesh {Mountain} [i-ape][w-arp][a-499][g-buki1249]':0.208,'Mufian [i-aoj][w-aoj][a-3070][g-mufi1238]':0.208,'Arapesh {Abu} [i-aah][w-aab][a-][g-abua1245]':0.208)'Kombio-Arapesh [i-][w-][a-][g-]':0)'Torricelli [i-][w-][a-][g-]';
Afro-Asiatic	SUCCESS	NNLS	('Masa [i-mcn][w-mas][a-1951][g-masa1322]':0.284,('Zayse [i-zay][w-zay][a-2805][g-zays1235]':0.02,'Wolaytta [i-wal][w-wly][a-2707][g-wola1242]':0.02)'Ta-Ne-Omotic [i-][w-][a-][g-]':0.264,'Coptic [i-cop][w-cop][a-1172][g-copt1239]':0.284,'Kera [i-ker][w-ker][a-539][g-kera1255]':0.284,'Beja [i-bej][w-bej][a-34][g-beja1238]':0.284,('Tashlhiyt [i-shi][w-tas][a-2421-2969][g-tach1250]':0.195,'Kabyle [i-kab][w-kbl][a-120-2882][g-kaby1243]':0.195,'Berber {Middle Atlas} [i-tzm][w-bma][a-1435-571-750][g-cent2194]':0.195)'Berber [i-][w-][a-][g-]':0.0886,('Tera [i-ttr][w-ter][a-373][g-tera1251]':0.109,'Margi [i-mrt][w-mrg][a-177][g-marg1265]':0.109)'Biu-Mandara [i-][w-][a-][g-]':0.175,'Kemant [i-ahg][w-kem][a-2351][g-qima1242]':0.284,('Pero [i-pip][w-per][a-2297][g-pero1241]':0.179,'Ngizim [i-ngi][w-ngz][a-2160][g-ngiz1242]':0.179,'Mupun [i-sur][w-mup][a-2498][g-mwag1236]':0.179,'Kanakuru [i-kna][w-knk][a-121][g-dera1248]':0.179,'Hausa [i-hau][w-hau][a-98][g-haus1257]':0.179,'Angas [i-anc][w-anc][a-892][g-ngas1240]':0.179)'West Chadic [i-][w-][a-][g-]':0.104,'Iraqw [i-irk][w-irq][a-534][g-iraq1241]':0.284,('Somali [i-som][w-som][a-355][g-soma1255]':0.256,'Qafar [i-aar][w-qaf][a-846][g-afar1241]':0.256,'Oromo {Harar} [i-hae][w-orh][a-324][g-east2652]':0.256)'Lowland East Cushitic [i-][w-][a-][g-]':0.0276,('Tigre [i-tig][w-tgr][a-1427-2567][g-tigr1270]':0.215,'Hebrew {Modern} [i-heb][w-heb][a-1315-583][g-hebr1245]':0.215,'Arabic {Gulf} [i-afb][w-arg][a-842][g-gulf1241]':0.215,'Amharic [i-amh][w-amh][a-21][g-amha1245]':0.215,'Arabic {Egyptian} [i-arz][w-aeg][a-642][g-egyp1253]':0.215)'Semitic [i-][w-][a-][g-]':0.069)'Afro-Asiatic [i-][w-][a-][g-]';
Sepik	SUCCESS	NNLS	('Wogamusin [i-wog][w-wog][a-2733][g-woga1249]':0.217,'Namia [i-nnm][w-nam][a-2190][g-nami1256]':0.217,'Mehek [i-nux][w-mhk][a-2222][g-mehe1243]':0.217,'Kwoma [i-kmo][w-kwo][a-1784][g-kwom1262]':0.217,'Iwam [i-iwm][w-iwm][a-1663][g-iwam1256]':0.217,'Awtuw [i-kmn][w-awt][a-28][g-awtu1239]':0.217,('Iatmul [i-ian][w-iat][a-1630][g-iatm1242]':0.0128,'Hanga Hundi [i-wos][w-hhu][a-2736][g-hang1263]':0.0128,'Ambulas [i-abt][w-amb][a-6][g-ambu1247]':0.0128)'Ndu [i-][w-][a-][g-]':0.204,('Sare [i-dju][w-sar][a-1336][g-kapr1245]':0.162,'Alamblak [i-amp][w-ala][a-14][g-alam1246]':0.162)'Sepik Hill [i-][w-][a-][g-]':0.0549)'Sepik [i-][w-][a-][g-]';
Niger-Congo	SUCCESS	NNLS	('Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.209,'Southern Toussian [i-wib][w-tou][a-2720][g-sout2797]':0.209,'Tiv [i-tiv][w-tiv][a-2574][g-tivv1240]':0.209,'Tikar [i-tik][w-tik][a-2570][g-tika1246]':0.209,'Ogbronuagum [i-ogu][w-obg][a-2243][g-ogbr1243]':0.209,'Noni [i-nhu][w-non][a-2168][g-noon1243]':0.209,('Noon [i-snf][w-noo][a-2455][g-noon1242]':0.0179,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.0179)'Cangin [i-][w-][a-][g-]':0.191,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.209,'Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.209,('Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.0407,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.0407,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.0407,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.0407)'Mbumic [i-][w-][a-][g-]':0.168,'Kisi [i-kss][w-kis][a-][g-kiss1245]':0.209,'Kirma [i-cme][w-kir][a-1559][g-cerm1238]':0.209,'Koromfe [i-kfz][w-kfe][a-546][g-koro1298]':0.209,('Kasem [i-xsm][w-ksm][a-1702][g-kase1253]':0,'Kabiye [i-kbp][w-kby][a-1708][g-kabi1261]':0)'Grusi [i-][w-][a-][g-]':0.209,'Jukun [i-jbu][w-juk][a-1676][g-juku1254]':0.209,'Yoruba [i-yor][w-yor][a-421][g-yoru1245]':0.209,('Izi [i-izz][w-izi][a-][g-izie1238]':0.182,'Igbo [i-ibo][w-igb][a-531][g-nucl1417]':0.182)'Igboid [i-][w-][a-][g-]':0.027,'Igede [i-ige][w-ige][a-1640][g-iged1239]':0.209,('Kana [i-ogo][w-kan][a-1728][g-khan1278]':0.125,'Gokana [i-gkn][w-gok][a-1546][g-goka1239]':0.125)'Ogonoid [i-][w-][a-][g-]':0.0838,('Ngbaka {Minagende} [i-nga][w-ngb][a-2157][g-ngba1285]':0.102,'Mbodomo [i-gmm][w-mdo][a-][g-gbay1281]':0.102,'Gbaya {Southwest} [i-gso][w-gbs][a-1961][g-sout2785]':0.102,'Gbeya Bossangoa [i-gbp][w-gbb][a-85][g-gbay1287]':0.102)'Gbaya-Manza-Ngbaka [i-][w-][a-][g-]':0.107,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.209,'Fulfulde {Adamawa} [i-fub][w-fua][a-1290-80][g-adam1253]':0.209,'Nkem [i-isi][w-nke][a-1655][g-nkem1242]':0.209,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.209,('Obolo [i-ann][w-obo][a-897][g-obol1243]':0.125,'Efik [i-efi][w-efi][a-604][g-efik1245]':0.125)'Lower Cross [i-][w-][a-][g-]':0.0838,('Nupe [i-nup][w-nup][a-2218][g-nupe1254]':0.209,'Ebira [i-igb][w-ebi][a-1639][g-ebir1243]':0.209)'Nupoid [i-][w-][a-][g-]':0,('Tenyer [i-kza][w-tny][a-1856][g-west2466]':0.209,'Supyire [i-spp][w-sup][a-497][g-supy1237]':0.209)'Senufo [i-][w-][a-][g-]':0,('Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.0938,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.0938)'Samba-Duru [i-][w-][a-][g-]':0.115,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.209,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.209,('Emai [i-ema][w-ora][a-1468][g-emai1241]':0.114,'Engenni [i-enn][w-egn][a-1473][g-enge1239]':0.114,'Degema [i-deg][w-deg][a-1272][g-dege1246]':0.114,'Bini [i-bin][w-bni][a-1463][g-bini1246]':0.114)'Edoid [i-][w-][a-][g-]':0.0947,('Waama [i-wwa][w-wwa][a-3189][g-waam1244]':0.123,'Ncam [i-bud][w-ncm][a-3165][g-ntch1242]':0.123,'Moore [i-mos][w-moo][a-1991][g-moss1236]':0.123,'Konni [i-kma][w-kni][a-1781][g-konn1242]':0.123,'Dagbani [i-dag][w-dgb][a-1213][g-dagb1246]':0.123,'Dagaare [i-dga][w-dga][a-][g-sout2789]':0.123,'Bimoba [i-bim][w-bmb][a-1020][g-bimo1239]':0.123)'Oti-Volta [i-][w-][a-][g-]':0.0859,('Izere [i-izr][w-jar][a-][g-izer1241]':0.102,'Gworok [i-kcg][w-gwo][a-1713][g-tyap1238]':0.102,'Fyem [i-pym][w-fye][a-2348][g-fyam1238]':0.102,'Birom [i-bom][w-bir][a-1050][g-bero1242]':0.102)'Benue-Congo Plateau [i-][w-][a-][g-]':0.107,('Temne [i-tem][w-tne][a-2546][g-timn1235]':0.143,'Baga Sitemu [i-bsp][w-bgs][a-1073][g-baga1272]':0.143)'Northern Mel [i-][w-][a-][g-]':0.066,('Zande [i-zne][w-zan][a-2802][g-zand1248]':0.191,'Sango [i-sag][w-san][a-466][g-sang1328]':0.191,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.191,'Ngbaka {Ma`bo} [i-nbm][w-nbm][a-2913][g-ngba1284]':0.191,'Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.191,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.191,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.191,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.191,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.191,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.191,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.191,'Baka {in Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.191)'Ubangi [i-][w-][a-][g-]':0.0177,('Duka [i-dud][w-duk][a-1437][g-huns1239]':0.167,'Amo [i-amo][w-amo][a-888][g-amoo1242]':0.167)'Central Kainji [i-][w-][a-][g-]':0.0422,'Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.209,('Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.209,'Baoule [i-bci][w-ble][a-974][g-baou1238]':0.209,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.209,'Akan [i-aka][w-akn][a-2645][g-akan1250]':0.209)'Tano [i-][w-][a-][g-]':0,('Zulu [i-zul][w-zul][a-1461-1462-581][g-zulu1248]':0.122,'Yao {in Malawi} [i-yao][w-yao][a-2764][g-yaoo1241]':0.122,'Xhosa [i-xho][w-xho][a-2754][g-xhos1239]':0.122,'Venda [i-ven][w-ven][a-2688][g-vend1245]':0.122,'Tonga {in Zambia} [i-toi][w-toz][a-2597][g-tong1318]':0.122,'Tunen [i-tvu][w-tnn][a-966][g-tune1261]':0.122,'Tuki [i-bag][w-tki][a-959][g-tuki1240]':0.122,'Tetela [i-tll][w-tet][a-2547][g-tete1250]':0.122,'Tabwa [i-tap][w-tbw][a-2518][g-taab1238]':0.122,'Talinga [i-tlj][w-tal][a-2582][g-tali1258]':0.122,'Swati [i-ssw][w-swt][a-2505][g-swat1243]':0.122,'Swahili [i-swh][w-swa][a-][g-swah1253]':0.122,'Sotho {Northern} [i-nso][w-stn][a-2478][g-pedi1238]':0.122,'Suku [i-sub][w-sku][a-3174][g-suku1259]':0.122,'Shambala [i-ksb][w-shm][a-1817][g-sham1280]':0.122,'Sangu [i-snq][w-sgu][a-2460][g-sang1333]':0.122,'Sengele [i-szg][w-sgl][a-2507][g-seng1278]':0.122,'Sesotho [i-sot][w-ses][a-2484][g-sout2807]':0.122,'Runyoro-Rutooro [i-nyo][w-rru][a-2231][g-nyor1246]':0.122,'Runyankore [i-nyn][w-rny][a-2229][g-nyan1307]':0.122,'Ronga [i-rng][w-rga][a-2377][g-rong1268]':0.122,'Pare [i-asa][w-pre][a-929][g-asut1235]':0.122,'Pogoro [i-poy][w-pog][a-2327][g-pogo1243]':0.122,'Pangwa [i-pbr][w-png][a-2276][g-pang1287]':0.122,'Nyamwezi [i-nym][w-nym][a-2234][g-nyam1276]':0.122,'Ntomba [i-nto][w-nto][a-2213][g-ntom1248]':0.122,'Nsenga [i-nse][w-nse][a-2203][g-nsen1242]':0.122,'Nkore-Kiga [i-cgg][w-nko][a-562][g-chig1238]':0.122,'Ngoni [i-ngo][w-ngo][a-2163][g-ngon1269]':0.122,'Ndumu [i-nmd][w-ndu][a-2185][g-ndum1239]':0.122,'Ndonga [i-ndo][w-ndo][a-2147][g-ndon1254]':0.122,'Ndebele [i-nde][w-ndb][a-][g-nort2795]':0.122,'Mwera [i-mwe][w-mwe][a-2105][g-mwer1248]':0.122,'Makua [i-mgh][w-mua][a-][g-makh1261]':0.122,'Matuumbi [i-mgw][w-mtb][a-1985][g-matu1259]':0.122,'Mpongwe [i-mye][w-mpo][a-2116][g-myen1241]':0.122,'Makonde [i-kde][w-mkd][a-1721][g-mako1251]':0.122,'Mongo [i-lol][w-mgo][a-2056][g-mong1338]':0.122,'Mbosi [i-mdw][w-mdw][a-3159][g-mbos1242]':0.122,'Mbole [i-mdq][w-mbl][a-1962][g-mbol1247]':0.122,'Mbere [i-mdt][w-mbe][a-1963][g-mber1257]':0.122,'Luvale [i-lue][w-luv][a-553][g-luva1239]':0.122,'Lamba [i-lam][w-lmb][a-1860][g-lamb1271]':0.122,'Lingala [i-lin][w-lin][a-1888][g-ling1263]':0.122,'Langi [i-lag][w-lgi][a-1864][g-lang1320]':0.122,'Lebeo [i-agh][w-leb][a-850][g-ngel1238]':0.122,'Luganda [i-lug][w-lda][a-165][g-gand1255]':0.122,'Lunda [i-lun][w-lbu][a-1923][g-lund1266]':0.122,'Iwoyo [i-yom][w-kwy][a-][g-yomb1244]':0.122,'Kwangali [i-kwn][w-kwn][a-1849][g-kwan1273]':0.122,'Kete [i-kcv][w-kte][a-1720][g-kete1252]':0.122,'Shona [i-sna][w-shn][a-2420][g-shon1251]':0.122,'Kongo [i-kng][w-kon][a-][g-koon1244]':0.122,'Kinyarwanda [i-kin][w-kin][a-2386][g-kiny1244]':0.122,'Kiluba [i-lub][w-kil][a-1917][g-luba1250]':0.122,'Kikuyu [i-kik][w-kik][a-740][g-kiku1240]':0.122,'Kagulu [i-kki][w-kgr][a-1768][g-kagu1239]':0.122,'Kinga [i-zga][w-kga][a-1759][g-nucl1379]':0.122,'Kamba [i-kam][w-kba][a-1756][g-kamb1297]':0.122,'Ila [i-ilb][w-ila][a-1643][g-ilaa1246]':0.122,'Ifumu [i-ifm][w-ifm][a-1638][g-teke1274]':0.122,'Haya [i-hay][w-hya][a-1599][g-haya1250]':0.122,'Holoholo [i-hoo][w-hol][a-1616][g-holo1240]':0.122,'Hunde [i-hke][w-hnd][a-1608][g-hund1239]':0.122,'Hemba [i-hem][w-hem][a-1603][g-hemb1242]':0.122,'Hehe [i-heh][w-heh][a-1601][g-hehe1240]':0.122,'Ewondo [i-ewo][w-ewo][a-1485][g-ewon1239]':0.122,'Bwele [i-ngc][w-dok][a-][g-bwel1238]':0.122,'Duma [i-dma][w-dma][a-1353][g-duma1253]':0.122,'Chichewa [i-nya][w-cic][a-2226][g-nyan1308]':0.122,'Chaga [i-old][w-cga][a-][g-moch1256]':0.122,'Bushoong [i-buf][w-bsh][a-1080][g-bush1247]':0.122,'Bolia [i-bli][w-bol][a-1037][g-boli1255]':0.122,'Bobangi [i-bni][w-bob][a-1045][g-bang1354]':0.122,'Bankon [i-abb][w-bnk][a-821][g-bank1256]':0.122,'Bakueri [i-bri][w-bku][a-1064][g-mokp1239]':0.122,'Londo [i-bdu][w-ldo][a-2162-992][g-orok1266]':0.122,'Budu [i-buu][w-bdu][a-3139][g-budu1250]':0.122,'Babole [i-bvx][w-bbl][a-1090][g-dibo1245]':0.122,'Basaa [i-bas][w-bas][a-957][g-basa1284]':0.122)'Bantu [i-][w-][a-][g-]':0.0868,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':0.187,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.187,'Ewe [i-ewe][w-ewe][a-1289-75][g-ewee1241]':0.187,'Ajagbe [i-ajg][w-ajg][a-3045][g-ajab1235]':0.187)'Gbe [i-][w-][a-][g-]':0.0218,('Neyo [i-ney][w-ney][a-3166][g-neyo1238]':0.195,'Klao [i-klu][w-kla][a-1780][g-klao1243]':0.195,'Grebo [i-grj][w-grb][a-][g-sout2826]':0.195)'Kru [i-][w-][a-][g-]':0.0137,('Mungaka [i-mhk][w-mgk][a-1990][g-mung1266]':0.177,'Mbili [i-baw][w-mbi][a-964][g-bamb1266]':0.177,'Bafut [i-bfd][w-baf][a-1001][g-bafu1246]':0.177,'Babungo [i-bav][w-bab][a-488][g-veng1238]':0.177,'Aghem [i-agq][w-agh][a-852][g-aghe1239]':0.177)'Wide Grassfields [i-][w-][a-][g-]':0.0314,'Leggbo [i-agb][w-agb][a-3133][g-legb1242]':0.209,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.209)'Niger-Congo [i-][w-][a-][g-]';
Guaicuruan	SUCCESS	NNLS	((('Toba [i-tob][w-tob][a-2596][g-toba1269]':0.12,'Pilaga [i-plg][w-pga][a-2306][g-pila1245]':0.12,'Mocovi [i-moc][w-mcv][a-2050][g-moco1246]':0.12)'Qom [i-][w-][a-][g-]':0.0228,('Kadiweu [i-kbc][w-kdw][a-1706][g-kadi1248]':0.0715)'Kadiweu [i-][w-][a-][g-]':0.0715,('Abipon [i-axb][w-abi][a-582][g-abip1241]':0.0715)'Abipon [i-][w-][a-][g-]':0.0715)'Guaicuruan [i-][w-][a-][g-]':1);
Northwest Caucasian	SUCCESS	NNLS	((('Ubykh [i-uby][w-uby][a-2656][g-ubyk1235]':0.0728,'Kabardian [i-kbd][w-kab][a-675][g-kaba1278]':0.0728,'Adyghe {Abzakh} [i-ady][w-ady][a-1210-1211-1212-458][g-adyg1241]':0.0728,'Abaza [i-abq][w-abz][a-824][g-abaz1241]':0.0728,'Abkhaz [i-abk][w-abk][a-7][g-abkh1244]':0.0728)'Northwest Caucasian [i-][w-][a-][g-]':1)'Northwest Caucasian [i-][w-][a-][g-]':1);
Muskogean	SUCCESS	NNLS	('Mikasuki [i-mik][w-mki][a-2007][g-mika1239]':0.0901,'Koasati [i-cku][w-koa][a-135][g-koas1236]':0.0901,'Seminole [i-mus][w-smn][a-1182-1255][g-cree1270]':0.0901,'Choctaw [i-cho][w-cct][a-54][g-choc1276]':0.0901)'Muskogean [i-][w-][a-][g-]';
Pama-Nyungan	SUCCESS	NNLS	(('Yanyuwa [i-jao][w-yny][a-658][g-yany1243]':0.222,'Yankuntjatjara [i-kdd][w-ynk][a-416][g-yank1247]':0.222,'Yingkarta [i-yia][w-yng][a-2770-795][g-ying1247]':0.222,'Yindjibarndi [i-yij][w-yin][a-2773][g-yind1247]':0.222,'Warlpiri [i-wbp][w-wrl][a-404][g-warl1254]':0.222,'Watjarri [i-wbv][w-wat][a-2710][g-waja1257]':0.222,'Panyjima [i-pnw][w-pny][a-2316][g-pany1241]':0.222,'Pitjantjatjara [i-pjt][w-pit][a-510][g-pitj1243]':0.222,'Nhanda [i-nha][w-nha][a-][g-nhan1238]':0.222,'Martuthunira [i-vma][w-mrt][a-179][g-mart1255]':0.222,'Djaru [i-ddj][w-djr][a-1262][g-jaru1254]':0.222,'Djapu [i-dwu][w-djp][a-][g-djap1238]':0.222)'Western Pama-Nyungan [i-][w-][a-][g-]':0,('Ngiyambaa [i-wyb][w-ngi][a-210][g-wang1291]':0.204,'Muruwari [i-zmu][w-mrw][a-2813][g-muru1266]':0.204,'Wembawemba [i-xww][w-wem][a-][g-west2443]':0.204,'Gumbaynggir [i-kgs][w-gum][a-1744][g-kumb1268]':0.204,'Yuwaalaraay [i-kld][w-yuw][a-1344-1774][g-gami1243]':0.204)'Southeastern Pama-Nyungan [i-][w-][a-][g-]':0.0178,('Yidiny [i-yii][w-yid][a-580][g-yidi1250]':0.162,'Warrgamay [i-wgy][w-wrg][a-2719][g-warr1255]':0.162,'Wik Munkan [i-wim][w-wmu][a-2722][g-wikm1247]':0.162,'Warrongo [i-wrg][w-wgu][a-2738][g-waru1264]':0.162,'Uradhi [i-urf][w-uhi][a-][g-atam1239]':0.162,'Ngawun [i-nxn][w-ngw][a-2225][g-ngaw1240]':0.162,'Margany [i-zmc][w-mny][a-2808][g-marg1253]':0.162,'Kuku-Yalanji [i-gvn][w-kya][a-1579][g-kuku1273]':0.162,'Kugu Nganhcara [i-uwa][w-knc][a-2679][g-kuku1280]':0.162,'Kalkatungu [i-ktg][w-kgu][a-1826][g-kalk1246]':0.162,'Guugu Yimidhirr [i-kky][w-guu][a-1772][g-gugu1255]':0.162,'Dyirbal [i-dbl][w-dyi][a-2928-71][g-dyir1250]':0.162,'Djabugay [i-dyy][w-dja][a-1459][g-dyaa1242]':0.162,'Anguthimri [i-awg][w-agt][a-][g-angu1242]':0.162)'Northern Pama-Nyungan [i-][w-][a-][g-]':0.0595,('Pitta Pitta [i-pit][w-ppi][a-2300][g-pitt1247]':0.2,'Paakantyi [i-drl][w-pkn][a-1392][g-darl1243]':0.2,'Diyari [i-dif][w-diy][a-64][g-dier1241]':0.2,'Arrernte {Mparntwe} [i-aer][w-amp][a-193][g-east2379]':0.2,'Alyawarra [i-aly][w-aly][a-883][g-alya1239]':0.2,'Arabana [i-ard][w-abn][a-918][g-arab1267]':0.2)'Central Pama-Nyungan [i-][w-][a-][g-]':0.0216)'Pama-Nyungan [i-][w-][a-][g-]';
Abun	FAIL	NNLS: too few languages	
Greater West Bomberai	SUCCESS	NNLS	('Makasae [i-mkz][w-mkj][a-3033-3034][g-maka1316]':0.156,('Iha [i-ihp][w-iha][a-1642][g-ihaa1241]':0,'Baham [i-bdw][w-bdw][a-3196][g-baha1258]':0)'West Bomberai [i-][w-][a-][g-]':0.156,('Woisika [i-woi][w-woi][a-2734][g-kama1365]':0.156,'Adang [i-adn][w-adg][a-2878][g-adan1251]':0.156,'Abui [i-abz][w-abv][a-2985][g-abui1241]':0.156)'Alor-Pantar [i-][w-][a-][g-]':0)'Greater West Bomberai [i-][w-][a-][g-]';
